Date,Open,High,Low,Close,Volume,Adj Close
2007-04-27,17.76,17.860001,17.719999,17.83,22100,17.83
2007-04-26,18.00,18.00,17.610001,17.85,13900,17.85
2007-04-25,18.01,18.049999,17.799999,18.049999,11000,18.049999
2007-04-24,17.879999,18.09,17.799999,18.09,11200,18.09
2007-04-23,18.389999,18.389999,17.799999,17.98,21800,17.98
2007-04-20,18.15,18.629999,18.059999,18.40,38800,18.40
2007-04-19,17.799999,18.139999,17.799999,18.139999,21700,18.139999
2007-04-18,17.75,17.860001,17.67,17.780001,16000,17.780001
2007-04-17,17.75,18.00,17.50,17.690001,27800,17.690001
2007-04-16,17.559999,17.700001,17.43,17.700001,23200,17.700001
2007-04-13,16.889999,17.65,16.65,17.65,38400,17.65
2007-04-12,16.40,16.969999,16.25,16.969999,43600,16.969999
2007-04-11,15.84,16.40,15.84,16.40,24300,16.40
2007-04-10,15.56,15.90,15.56,15.80,11900,15.80
2007-04-09,14.93,15.53,14.93,15.49,21200,15.49
2007-04-05,14.99,15.06,14.96,15.03,18000,15.03
2007-04-04,14.93,15.05,14.85,14.96,41000,14.96
2007-04-03,15.00,15.11,14.85,15.01,74900,15.01
2007-04-02,15.40,15.50,15.00,15.06,40500,15.06
2007-03-30,15.50,15.60,15.22,15.40,57100,15.40
2007-03-29,15.89,15.99,15.57,15.81,21400,15.81
2007-03-28,16.25,16.450001,15.95,15.99,30100,15.99
2007-03-27,16.25,16.309999,16.129999,16.200001,25900,16.200001
2007-03-26,16.27,16.49,16.23,16.27,12800,16.27
2007-03-23,16.50,16.50,16.27,16.27,14400,16.27
2007-03-22,16.35,16.50,16.34,16.49,13600,16.49
2007-03-21,16.10,16.290001,16.10,16.290001,26100,16.290001
2007-03-20,16.200001,16.25,16.059999,16.10,10400,16.10
2007-03-19,15.91,16.25,15.82,16.200001,17800,16.200001
2007-03-16,16.50,16.50,15.88,15.92,13100,15.92
2007-03-15,15.77,16.450001,15.70,16.379999,20800,16.379999
2007-03-14,16.15,16.15,15.51,15.62,33800,15.62
2007-03-13,16.23,16.23,16.00,16.17,11600,16.17
2007-03-12,16.18,16.24,16.00,16.110001,26700,16.110001
2007-03-09,16.42,16.42,16.15,16.18,8300,16.18
2007-03-08,16.50,16.74,16.219999,16.24,36400,16.24
2007-03-07,16.25,16.50,15.91,16.00,38200,16.00
2007-03-06,16.17,16.48,16.01,16.389999,12100,16.389999
