Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,50.41,50.490002,50.400002,50.490002,9800,50.490002
2016-01-22,50.341999,50.41,50.18,50.41,5900,50.41
2016-01-21,50.43,50.459999,50.367001,50.409,1900,50.409
2016-01-20,50.630001,50.84,50.509998,50.799999,3900,50.672
2016-01-19,50.580002,50.77,50.471001,50.599998,40900,50.472503
2016-01-15,50.50,50.66,50.452,50.452,6100,50.324877
2016-01-14,50.48,50.490002,50.445999,50.48,5500,50.352807
2016-01-13,50.41,50.580002,50.41,50.57,4100,50.44258
2016-01-12,50.57,50.57,50.439999,50.509998,1100,50.38273
2016-01-11,50.57,50.82,50.380001,50.793999,3000,50.666015
2016-01-08,50.459999,50.880001,50.459999,50.744999,18900,50.617138
2016-01-07,50.740002,50.740002,50.41,50.580002,15600,50.452557
2016-01-06,50.610001,50.630001,50.529999,50.598999,3700,50.471506
2016-01-05,50.439999,50.460999,50.439999,50.458,900,50.330863
2016-01-04,50.639999,50.639999,50.389,50.389,1600,50.262036
2015-12-31,50.429001,50.429001,50.429001,50.429001,400,50.301937
2015-12-30,50.259998,50.400002,50.259998,50.360001,1600,50.23311
2015-12-29,50.32,50.459999,50.259998,50.259998,2900,50.13336
2015-12-28,50.349998,50.400002,50.349998,50.389,2500,50.262036
2015-12-24,50.34,50.34,50.259998,50.259998,1900,50.13336
2015-12-23,50.450001,50.450001,50.450001,50.450001,500,50.322884
2015-12-22,50.43,50.580002,50.349998,50.43,3300,50.175256
2015-12-21,50.509998,50.509998,50.509998,50.509998,300,50.25485
2015-12-18,50.630001,50.658001,50.299999,50.650002,3600,50.394146
2015-12-17,50.604,50.619999,50.290001,50.578999,5300,50.323502
2015-12-16,50.467999,50.599998,50.424999,50.490002,2100,50.234955
2015-12-15,50.50,50.50,50.50,50.50,300,50.244903
2015-12-14,50.52,50.560001,50.278999,50.389999,1800,50.135458
2015-12-11,50.41,50.52,50.41,50.459999,3900,50.205104
2015-12-10,50.368999,50.368999,50.349998,50.349998,400,50.095659
2015-12-09,50.389999,50.450001,50.389999,50.450001,800,50.195156
2015-12-08,50.400002,50.43,50.400002,50.43,400,50.175256
2015-12-07,50.439999,50.50,50.41,50.459999,3100,50.205104
2015-12-04,50.360001,50.439999,50.349998,50.439999,2300,50.185204
