Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.44,8.54,8.06,8.46,1800,8.46
2016-01-22,8.82,8.85,7.71,8.83,2800,8.83
2016-01-21,8.84,8.90,8.50,8.50,3600,8.50
2016-01-20,9.23,9.23,8.26,8.65,13000,8.65
2016-01-19,8.514,8.90,8.514,8.90,2000,8.90
2016-01-15,8.51,8.75,8.51,8.75,5600,8.75
2016-01-14,9.00,9.00,8.28,8.80,36400,8.80
2016-01-13,8.90,8.90,8.15,8.69,13000,8.69
2016-01-12,8.93,8.975,8.50,8.50,4600,8.50
2016-01-11,8.89,8.89,8.51,8.75,1700,8.75
2016-01-08,9.01,9.01,8.50,8.513,2200,8.513
2016-01-07,8.95,8.95,8.50,8.50,1500,8.50
2016-01-06,8.473,9.01,8.473,9.01,400,9.01
2016-01-05,8.254,8.99,8.25,8.99,2600,8.99
2016-01-04,8.50,9.00,8.50,8.50,1800,8.50
2015-12-31,8.791,8.89,8.51,8.89,1100,8.89
2015-12-30,8.98,8.98,8.91,8.91,600,8.91
2015-12-29,8.95,8.95,8.51,8.95,4400,8.95
2015-12-28,8.951,8.951,8.951,8.951,100,8.951
2015-12-24,8.99,8.99,8.99,8.99,200,8.99
2015-12-23,8.98,9.00,8.52,9.00,1100,9.00
2015-12-22,9.00,9.00,9.00,9.00,000,9.00
2015-12-21,8.98,9.00,8.75,9.00,7200,9.00
2015-12-18,9.06,9.06,9.01,9.01,1500,9.01
2015-12-17,9.11,9.60,9.01,9.06,8800,9.06
