Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.95,13.11,12.55,12.93,16400,12.93
2016-01-22,12.05,13.00,12.05,12.95,28300,12.95
2016-01-21,13.18,13.24,11.52,12.20,53900,12.20
2016-01-20,13.02,13.27,12.16,13.27,47400,13.27
2016-01-19,13.31,13.31,12.85,13.15,18800,13.15
2016-01-15,13.15,13.31,12.66,13.21,32900,13.21
2016-01-14,13.71,13.71,13.05,13.23,50900,13.23
2016-01-13,13.45,13.96,13.36,13.72,21800,13.72
2016-01-12,14.01,14.03,13.43,13.45,17100,13.45
2016-01-11,14.35,14.44,13.81,13.99,16500,13.99
2016-01-08,14.24,14.45,14.00,14.01,24900,14.01
2016-01-07,14.45,14.60,14.135,14.30,38100,14.30
2016-01-06,14.57,14.78,14.48,14.68,21900,14.68
2016-01-05,14.25,14.78,14.21,14.78,6800,14.78
2016-01-04,14.50,14.50,14.13,14.23,20000,14.23
2015-12-31,13.60,14.90,13.60,14.64,66500,14.64
2015-12-30,14.59,14.59,13.30,13.74,103100,13.74
2015-12-29,14.85,14.85,14.10,14.44,42300,14.44
2015-12-28,14.50,14.98,14.31,14.81,50100,14.81
2015-12-24,14.40,14.74,14.31,14.33,27800,14.33
2015-12-23,14.36,14.50,13.84,14.47,52500,14.47
2015-12-22,13.80,14.925,13.80,14.06,31000,14.06
2015-12-21,13.213,13.86,13.213,13.68,11400,13.68
2015-12-18,13.665,14.02,13.32,13.67,46400,13.67
2015-12-17,13.65,13.65,13.25,13.30,40000,13.30
2015-12-16,13.40,14.135,13.20,13.40,44800,13.40
2015-12-15,13.12,13.553,13.10,13.28,44700,13.28
2015-12-14,13.77,13.77,13.01,13.14,30500,13.14
2015-12-11,13.47,13.81,13.274,13.40,41500,13.40
2015-12-10,13.80,14.00,13.754,13.76,30100,13.76
2015-12-09,14.29,14.44,13.62,13.86,36900,13.86
2015-12-08,13.99,14.39,13.48,13.94,37600,13.94
2015-12-07,14.18,14.515,13.69,14.12,23400,14.12
2015-12-04,14.42,14.42,13.875,14.10,24900,14.10
2015-12-03,14.60,14.60,13.00,14.35,74600,14.35
2015-12-02,14.88,14.99,14.50,14.70,57500,14.70
2015-12-01,14.76,15.21,14.76,14.82,29600,14.82
2015-11-30,15.00,15.059,14.53,14.60,32000,14.60
2015-11-27,15.07,15.15,14.87,14.87,17200,14.87
2015-11-25,15.56,15.66,15.14,15.175,15300,15.175
2015-11-24,15.84,15.84,15.47,15.585,16600,15.585
2015-11-23,15.784,16.00,15.78,15.78,15000,15.78
2015-11-20,15.75,16.00,15.703,15.75,21600,15.75
