Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.02,12.31,11.97,12.10,61900,12.10
2016-01-22,12.12,12.235,11.85,12.05,92300,12.05
2016-01-21,12.20,12.48,12.02,12.06,156300,12.06
2016-01-20,12.57,12.65,12.11,12.20,100300,12.20
2016-01-19,12.66,12.86,12.32,12.86,61300,12.86
2016-01-15,12.52,12.86,11.972,12.56,105300,12.56
2016-01-14,13.00,13.09,12.56,12.86,155600,12.86
2016-01-13,13.10,13.40,12.71,12.86,75400,12.86
2016-01-12,13.22,13.22,12.44,12.97,60000,12.97
2016-01-11,12.40,13.19,12.31,13.07,96500,13.07
2016-01-08,12.86,13.17,12.38,12.52,60700,12.52
2016-01-07,13.30,13.58,12.79,12.82,130600,12.82
2016-01-06,13.17,13.45,13.12,13.34,76600,13.34
2016-01-05,13.40,13.97,13.175,13.60,168800,13.60
2016-01-04,13.41,13.76,12.76,13.38,65600,13.38
2015-12-31,13.52,14.02,13.49,13.70,60500,13.70
2015-12-30,13.88,14.045,13.38,13.52,140500,13.52
2015-12-29,13.49,14.155,13.46,13.82,66100,13.82
2015-12-28,13.89,14.21,13.57,13.66,44500,13.66
2015-12-24,13.84,14.43,13.23,14.15,25500,14.15
2015-12-23,14.18,14.365,13.72,14.17,38100,14.17
2015-12-22,14.04,14.25,13.84,14.08,73900,14.08
2015-12-21,14.29,14.43,14.09,14.13,59700,14.13
2015-12-18,14.74,14.74,14.02,14.30,77500,14.30
2015-12-17,14.70,14.82,14.25,14.62,62400,14.62
2015-12-16,14.28,14.82,13.50,14.74,53300,14.74
2015-12-15,13.99,14.28,13.54,14.26,47500,14.26
2015-12-14,14.19,14.29,13.341,13.88,71400,13.88
2015-12-11,13.89,14.18,13.865,14.03,78300,14.03
2015-12-10,14.06,14.15,13.90,14.10,32600,14.10
2015-12-09,13.85,14.17,13.74,14.08,94900,14.08
2015-12-08,13.57,14.04,13.53,13.86,81700,13.86
2015-12-07,13.84,13.855,13.66,13.78,62700,13.78
2015-12-04,14.14,14.14,13.79,13.98,101000,13.98
2015-12-03,14.37,14.37,14.12,14.19,58100,14.19
2015-12-02,14.441,14.66,14.08,14.37,120100,14.37
2015-12-01,14.015,14.695,13.96,14.51,53000,14.51
2015-11-30,14.09,14.63,13.96,14.35,133100,14.35
2015-11-27,14.26,14.40,13.07,14.11,15500,14.11
2015-11-25,14.15,14.51,14.00,14.28,82700,14.28
2015-11-24,14.11,14.24,13.74,14.15,58500,14.15
2015-11-23,13.72,14.15,13.67,14.11,56500,14.11
2015-11-20,13.30,13.81,13.13,13.69,67400,13.69
2015-11-19,13.70,13.89,13.135,13.23,98300,13.23
2015-11-18,13.73,14.50,13.122,13.78,90500,13.78
2015-11-17,13.51,13.77,13.12,13.64,69700,13.64
2015-11-16,13.80,13.97,13.19,13.57,52400,13.57
2015-11-13,13.49,13.87,13.26,13.77,79100,13.77
2015-11-12,13.76,13.95,13.21,13.55,105100,13.55
2015-11-11,14.69,14.69,13.60,13.81,110800,13.81
2015-11-10,14.50,14.69,13.77,14.63,106000,14.63
2015-11-09,14.40,14.75,14.09,14.50,99200,14.50
2015-11-06,13.97,14.75,13.81,14.40,198500,14.40
2015-11-05,13.93,14.02,12.952,13.70,81000,13.70
2015-11-04,13.95,14.171,13.62,13.96,122700,13.96
2015-11-03,13.29,14.06,13.28,13.84,180400,13.84
2015-11-02,13.17,13.31,13.02,13.25,115500,13.25
2015-10-30,13.63,13.66,12.91,13.17,204600,13.17
2015-10-29,13.83,13.97,13.33,13.57,143400,13.57
2015-10-28,13.16,14.77,13.16,13.84,200200,13.84
2015-10-27,13.63,13.90,13.08,13.16,271500,13.16
2015-10-26,14.63,14.71,13.58,13.66,121300,13.66
2015-10-23,14.18,14.79,13.73,14.66,158200,14.66
2015-10-22,14.51,14.64,13.95,14.10,160000,14.10
2015-10-21,14.63,14.63,13.97,14.49,140000,14.49
2015-10-20,13.77,14.60,13.39,14.51,198500,14.51
2015-10-19,13.47,14.17,12.72,13.77,92400,13.77
2015-10-16,14.04,14.18,13.49,13.73,139900,13.73
2015-10-15,13.57,14.00,13.266,13.97,139200,13.97
2015-10-14,13.33,13.67,13.21,13.50,155500,13.50
2015-10-13,13.15,13.675,12.90,13.46,133800,13.46
2015-10-12,13.45,13.889,13.11,13.18,80000,13.18
2015-10-09,13.60,13.60,13.15,13.31,96100,13.31
2015-10-08,13.21,13.69,13.02,13.52,141100,13.52
2015-10-07,12.602,13.53,12.602,13.30,237100,13.30
2015-10-06,12.70,13.56,12.51,13.42,491300,13.42
2015-10-05,12.91,13.36,12.68,12.69,193700,12.69
2015-10-02,12.61,14.09,12.457,12.77,152700,12.77
2015-10-01,13.05,13.50,12.46,12.72,171800,12.72
2015-09-30,13.55,13.98,12.76,12.96,1451000,12.96
2015-09-29,11.55,13.92,10.95,13.52,434000,13.52
2015-09-28,11.815,11.85,10.70,11.64,267000,11.64
2015-09-25,12.28,12.419,11.93,12.17,165900,12.17
2015-09-24,12.30,12.55,11.99,12.25,137700,12.25
2015-09-23,12.52,12.70,12.18,12.48,79600,12.48
2015-09-22,12.98,13.27,12.36,12.58,110400,12.58
2015-09-21,13.73,14.11,12.72,13.02,295600,13.02
2015-09-18,14.37,14.87,13.22,13.51,481000,13.51
2015-09-17,14.52,14.98,13.408,14.39,132500,14.39
2015-09-16,13.68,14.70,13.68,14.66,153100,14.66
2015-09-15,15.15,15.33,13.56,13.90,184000,13.90
2015-09-14,14.42,15.16,14.35,15.09,170600,15.09
2015-09-11,15.20,15.20,13.63,14.19,180500,14.19
2015-09-10,14.92,15.39,14.834,15.26,60200,15.26
2015-09-09,15.32,15.49,14.84,14.99,43700,14.99
2015-09-08,14.99,15.69,14.99,15.35,94500,15.35
2015-09-04,15.19,15.22,14.755,14.99,49100,14.99
2015-09-03,15.41,15.50,14.45,15.17,84500,15.17
2015-09-02,14.99,15.50,14.67,15.46,83700,15.46
2015-09-01,15.09,15.26,14.506,15.07,84600,15.07
2015-08-31,14.33,15.00,14.33,14.90,73700,14.90
2015-08-28,14.61,14.92,13.784,14.33,148400,14.33
2015-08-27,15.45,15.64,14.20,14.57,523200,14.57
2015-08-26,15.47,15.88,14.76,15.29,132000,15.29
2015-08-25,15.36,16.195999,14.94,15.10,188400,15.10
2015-08-24,14.45,15.23,14.31,15.10,210800,15.10
2015-08-21,15.19,15.35,14.914,14.94,135100,14.94
2015-08-20,14.80,15.27,14.52,14.97,140000,14.97
2015-08-19,15.37,15.55,14.95,15.17,76000,15.17
2015-08-18,15.55,15.97,14.81,15.25,283200,15.25
2015-08-17,16.469999,16.469999,15.42,15.60,55500,15.60
2015-08-14,15.626,16.450001,15.626,16.23,63400,16.23
2015-08-13,15.72,15.90,15.62,15.79,34900,15.79
2015-08-12,14.80,15.96,14.80,15.77,55700,15.77
2015-08-11,15.07,15.15,14.71,14.92,163300,14.92
2015-08-10,15.20,15.60,14.713,15.25,120800,15.25
2015-08-07,15.30,15.30,14.14,15.14,142700,15.14
2015-08-06,15.49,15.749,15.332,15.49,29000,15.49
2015-08-05,15.53,15.92,15.169,15.43,77300,15.43
2015-08-04,15.95,15.95,15.41,15.62,57900,15.62
2015-08-03,15.30,15.88,15.30,15.60,151500,15.60
2015-07-31,15.51,15.72,15.15,15.30,128600,15.30
2015-07-30,15.23,15.76,15.23,15.60,143600,15.60
2015-07-29,15.26,15.75,15.24,15.48,212800,15.48
2015-07-28,15.27,15.69,15.00,15.47,148500,15.47
2015-07-27,15.95,15.95,15.25,15.42,168900,15.42
2015-07-24,15.57,15.82,15.31,15.66,56500,15.66
2015-07-23,15.55,15.95,15.55,15.67,41900,15.67
2015-07-22,15.59,15.91,15.30,15.65,67100,15.65
2015-07-21,15.13,15.79,15.00,15.65,204000,15.65
2015-07-20,15.92,16.10,15.01,15.11,314100,15.11
2015-07-17,15.50,16.139999,15.31,15.92,4330300,15.92
