Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,4.69,4.69,4.425,4.52,12700,4.52
2016-01-22,4.08,4.67,4.08,4.27,3500,4.27
2016-01-21,5.00,5.45,4.25,4.27,21100,4.27
2016-01-20,6.39,6.39,5.00,5.06,15300,5.06
2016-01-19,5.95,5.98,5.62,5.63,5000,5.63
2016-01-15,5.83,6.31,5.77,5.85,15800,5.85
2016-01-14,5.84,6.04,5.74,5.85,9100,5.85
2016-01-13,6.09,6.45,5.96,6.00,17100,6.00
2016-01-12,5.78,6.46,5.74,6.005,21300,6.005
2016-01-11,5.80,5.90,5.60,5.64,5600,5.64
2016-01-08,5.80,6.06,5.55,5.60,25100,5.60
2016-01-07,6.42,6.42,5.80,5.80,20600,5.80
2016-01-06,6.14,6.55,5.95,6.23,20300,6.23
2016-01-05,6.09,6.48,5.87,6.10,18700,6.10
2016-01-04,6.17,6.65,6.00,6.21,8800,6.21
2015-12-31,5.87,6.35,5.77,6.25,38300,6.25
2015-12-30,6.07,6.27,5.68,5.72,29300,5.72
2015-12-29,6.00,6.20,5.89,6.15,22700,6.15
2015-12-28,6.51,6.842,5.86,5.96,63000,5.96
2015-12-24,6.50,6.78,6.50,6.50,6500,6.50
2015-12-23,6.90,6.97,6.33,6.62,14800,6.62
2015-12-22,6.88,7.32,6.30,6.69,32700,6.69
2015-12-21,7.40,7.77,6.68,6.77,76700,6.77
2015-12-18,8.96,11.01,7.21,7.21,226800,7.21
2015-12-17,8.00,10.00,7.55,9.43,63000,9.43
2015-12-16,7.91,7.99,7.27,7.60,25800,7.60
2015-12-15,8.00,8.00,6.551,7.89,21200,7.89
2015-12-14,7.10,7.99,6.795,7.99,34200,7.99
2015-12-11,6.80,7.25,6.80,7.10,12800,7.10
2015-12-10,6.51,6.98,6.50,6.60,15700,6.60
2015-12-09,5.90,6.40,5.90,6.40,12300,6.40
2015-12-08,6.05,6.19,5.75,6.18,14800,6.18
2015-12-07,5.94,6.22,5.77,6.07,12500,6.07
2015-12-04,6.03,6.24,5.77,6.13,3900,6.13
2015-12-03,6.20,6.25,5.99,6.17,7000,6.17
2015-12-02,6.15,6.30,5.992,6.25,10100,6.25
2015-12-01,5.80,6.43,5.62,6.015,69600,6.015
2015-11-30,5.99,6.00,5.622,5.73,18500,5.73
2015-11-27,5.71,6.00,5.71,5.97,3900,5.97
2015-11-25,5.80,6.19,5.64,5.94,34400,5.94
2015-11-24,5.90,5.94,5.81,5.84,3800,5.84
2015-11-23,5.95,5.95,5.66,5.85,11200,5.85
2015-11-20,6.14,6.20,5.68,5.86,17800,5.86
2015-11-19,5.912,6.20,5.85,6.16,15300,6.16
2015-11-18,5.95,6.05,5.85,6.025,2400,6.025
2015-11-17,5.95,6.23,5.76,6.01,4700,6.01
2015-11-16,5.73,6.13,5.55,5.68,25700,5.68
2015-11-13,6.20,6.25,6.01,6.09,10400,6.09
2015-11-12,6.24,6.25,5.96,6.16,9100,6.16
2015-11-11,5.90,6.21,5.79,6.21,5700,6.21
2015-11-10,6.01,6.22,6.00,6.085,5000,6.085
2015-11-09,6.49,6.49,6.03,6.23,8000,6.23
2015-11-06,5.96,6.29,5.77,6.27,12300,6.27
2015-11-05,5.90,6.36,5.82,5.94,5500,5.94
2015-11-04,5.88,5.89,5.80,5.88,7400,5.88
2015-11-03,5.80,5.89,5.73,5.77,3200,5.77
2015-11-02,5.75,6.015,5.73,5.80,35700,5.80
2015-10-30,5.78,6.30,5.72,5.78,8100,5.78
2015-10-29,6.00,6.832,5.85,5.93,97700,5.93
2015-10-28,5.78,6.02,5.78,5.84,3600,5.84
2015-10-27,6.20,6.20,5.73,5.89,6800,5.89
2015-10-26,5.80,7.23,5.70,6.022,41700,6.022
2015-10-23,5.62,5.77,5.62,5.77,58200,5.77
2015-10-22,5.66,5.69,5.54,5.66,4900,5.66
2015-10-21,5.75,5.84,5.75,5.78,16300,5.78
2015-10-20,5.80,5.82,5.78,5.82,8200,5.82
2015-10-19,6.47,6.50,5.85,5.94,21800,5.94
2015-10-16,6.32,6.32,6.00,6.00,55800,6.00
2015-10-15,6.16,6.557,6.15,6.29,12500,6.29
2015-10-14,6.45,6.66,6.14,6.25,18400,6.25
2015-10-13,6.36,6.70,6.29,6.303,6500,6.303
2015-10-12,6.11,6.77,6.11,6.46,9700,6.46
2015-10-09,6.35,6.35,6.02,6.15,7300,6.15
2015-10-08,6.52,6.75,5.74,6.23,30100,6.23
2015-10-07,7.02,7.24,6.28,6.43,40600,6.43
2015-10-06,7.01,7.05,6.95,7.02,61700,7.02
2015-10-05,7.05,7.24,6.95,7.00,112200,7.00
2015-10-02,6.90,7.12,6.82,7.04,158500,7.04
2015-10-01,7.25,7.99,7.00,7.05,1282600,7.05
2015-09-30,7.00,7.00,7.00,7.00,000,7.00
