Date,Open,High,Low,Close,Volume,Adj Close
2012-08-20,32.599998,32.700001,32.18,32.310001,164900,31.224392
2012-08-17,32.84,33.25,32.48,32.619999,135100,31.523974
2012-08-16,31.73,33.080002,31.559999,32.93,258400,31.823559
2012-08-15,31.57,31.84,31.530001,31.74,187400,30.673542
2012-08-14,31.959999,31.969999,31.379999,31.48,177600,30.422278
2012-08-13,33.130001,33.130001,31.07,31.77,261400,30.702535
2012-08-10,32.98,33.57,32.68,33.240002,186200,32.123144
2012-08-09,32.830002,33.23,32.75,33.00,106100,31.891207
2012-08-08,32.68,32.959999,32.68,32.869999,125700,31.765574
2012-08-07,32.860001,33.330002,32.439999,32.77,234800,31.668935
2012-08-06,32.560001,33.459999,32.459999,32.84,322800,31.630278
2012-08-03,30.82,32.75,30.530001,32.580002,327000,31.379857
2012-08-02,29.879999,30.43,29.379999,30.379999,156600,29.260895
2012-08-01,30.25,30.610001,30.00,30.00,226600,28.894894
2012-07-31,30.76,31.049999,30.190001,30.219999,132000,29.106789
2012-07-30,31.26,31.469999,30.77,30.860001,296000,29.723215
2012-07-27,31.50,31.610001,31.17,31.34,285400,30.185533
2012-07-26,30.790001,31.35,30.25,31.299999,427700,30.147005
2012-07-25,29.01,30.549999,27.790001,30.35,280800,29.232002
2012-07-24,28.860001,28.92,28.190001,28.60,177900,27.546466
2012-07-23,28.780001,29.129999,28.42,28.860001,189400,27.796889
2012-07-20,29.780001,29.799999,28.77,29.209999,336500,28.133994
2012-07-19,31.18,31.18,29.709999,30.09,383700,28.981579
2012-07-18,28.860001,29.360001,28.799999,29.290001,109900,28.211049
2012-07-17,28.969999,29.139999,28.540001,28.879999,81900,27.816151
2012-07-16,29.110001,29.139999,28.74,28.799999,84200,27.739098
2012-07-13,28.49,29.379999,28.469999,29.15,145300,28.076205
2012-07-12,28.15,28.57,27.92,28.52,220000,27.469413
2012-07-11,27.959999,28.33,27.940001,28.25,217600,27.209359
2012-07-10,28.360001,28.85,27.879999,28.00,255500,26.968568
2012-07-09,27.50,28.200001,27.27,28.120001,402100,27.084148
2012-07-06,27.07,27.690001,27.07,27.41,163000,26.400301
2012-07-05,26.98,27.57,26.98,27.43,219000,26.419565
2012-07-03,26.83,27.129999,26.799999,27.10,207800,26.101721
2012-07-02,26.83,27.49,26.639999,26.879999,441600,25.889824
2012-06-29,26.709999,26.99,26.459999,26.639999,583100,25.658665
2012-06-28,26.75,26.92,26.139999,26.219999,251500,25.254137
2012-06-27,27.01,27.219999,26.82,26.83,234400,25.841667
2012-06-26,26.93,27.190001,26.84,26.92,306700,25.928352
2012-06-25,27.00,27.26,26.77,26.83,220700,25.841667
2012-06-22,27.440001,27.459999,27.219999,27.33,1370400,26.323248
2012-06-21,28.049999,28.08,27.040001,27.139999,402000,26.140247
2012-06-20,28.280001,28.60,27.950001,28.120001,164100,27.084148
2012-06-19,28.42,28.610001,28.15,28.370001,298800,27.324939
2012-06-18,28.719999,29.26,28.299999,28.41,397700,27.363465
2012-06-15,28.969999,29.10,28.360001,28.91,291300,27.845046
2012-06-14,30.57,30.85,28.93,29.00,312000,27.931731
2012-06-13,30.07,30.92,30.049999,30.629999,195000,29.501686
2012-06-12,30.17,30.379999,29.719999,30.200001,342500,29.087527
2012-06-11,31.120001,31.26,30.110001,30.120001,289900,29.010475
2012-06-08,30.719999,31.040001,30.450001,30.93,126900,29.790636
2012-06-07,31.33,31.639999,30.709999,30.76,129800,29.626898
2012-06-06,30.50,31.110001,30.190001,31.00,240700,29.858057
2012-06-05,30.059999,30.959999,29.90,30.360001,308300,29.241633
2012-06-04,30.68,30.73,29.85,30.32,280200,29.203106
2012-06-01,31.790001,31.82,30.58,30.639999,544400,29.511318
2012-05-31,32.50,32.509998,31.889999,32.290001,230700,31.100539
2012-05-30,32.150002,32.450001,32.00,32.330002,153000,31.139066
2012-05-29,32.400002,32.830002,32.099998,32.439999,131600,31.245011
2012-05-25,31.73,32.290001,31.51,32.27,189200,31.081275
2012-05-24,32.439999,32.439999,31.219999,31.83,437500,30.657483
2012-05-23,31.620001,32.490002,30.940001,32.360001,533000,31.16796
2012-05-22,32.169998,32.50,31.690001,31.870001,198700,30.69601
2012-05-21,32.00,32.77,31.60,32.110001,262100,30.927169
2012-05-18,31.92,32.189999,31.469999,31.99,413700,30.811589
2012-05-17,32.25,32.529999,31.860001,32.00,330900,30.82122
2012-05-16,32.540001,33.200001,32.02,32.25,235000,31.062011
2012-05-15,31.690001,33.400002,31.50,32.389999,406900,31.196853
2012-05-14,31.76,31.969999,31.41,31.49,237000,30.330007
2012-05-11,31.73,32.279999,31.50,32.080002,506200,30.898275
2012-05-10,32.32,32.50,31.690001,32.09,354000,30.907905
2012-05-09,32.09,32.34,32.00,32.150002,284600,30.965696
2012-05-08,32.509998,32.830002,32.00,32.43,271600,31.235381
2012-05-07,33.09,33.290001,32.759998,32.799999,105100,31.485803
2012-05-04,33.200001,33.200001,31.450001,33.119999,784700,31.792981
2012-05-03,33.650002,33.810001,33.240002,33.57,301100,32.224952
2012-05-02,34.029999,34.110001,33.549999,33.689999,363700,32.340143
2012-05-01,34.369999,35.049999,34.310001,34.439999,325900,33.060093
2012-04-30,34.630001,34.740002,34.130001,34.310001,251200,32.935304
2012-04-27,34.98,35.43,34.509998,34.75,247000,33.357673
2012-04-26,35.189999,35.310001,34.27,35.02,263500,33.616856
2012-04-25,36.27,36.75,34.990002,35.389999,333800,33.97203
2012-04-24,35.66,36.560001,35.470001,36.049999,136300,34.605585
2012-04-23,35.779999,35.860001,35.169998,35.75,217000,34.317606
2012-04-20,36.959999,36.959999,36.049999,36.41,150900,34.951162
2012-04-19,36.220001,36.779999,35.810001,36.470001,110800,35.008759
2012-04-18,36.259998,36.459999,35.990002,36.119999,116300,34.67278
2012-04-17,37.009998,37.310001,36.25,36.450001,198000,34.98956
2012-04-16,35.970001,37.259998,35.970001,36.77,295900,35.296738
2012-04-13,35.93,36.459999,35.490002,35.709999,282500,34.279208
2012-04-12,36.139999,36.43,32.700001,35.93,1608800,34.490395
2012-04-11,36.59,36.630001,36.02,36.389999,139000,34.931963
2012-04-10,36.689999,36.889999,35.919998,36.209999,191100,34.759175
2012-04-09,36.549999,36.889999,36.34,36.619999,104600,35.152747
2012-04-05,36.139999,37.509998,36.139999,37.450001,162500,35.949493
2012-04-04,37.130001,37.490002,36.869999,36.98,122200,35.498323
2012-04-03,37.599998,37.639999,37.029999,37.549999,232600,36.045485
2012-04-02,37.299999,37.73,36.98,37.650002,173800,36.141481
2012-03-30,37.830002,37.950001,37.240002,37.290001,169100,35.795904
2012-03-29,37.389999,37.610001,37.00,37.50,202800,35.997489
2012-03-28,37.580002,37.810001,37.040001,37.790001,277200,36.275871
2012-03-27,37.669998,37.810001,37.09,37.43,223900,35.930294
2012-03-26,37.549999,37.790001,37.00,37.529999,212600,36.026286
2012-03-23,36.330002,37.119999,36.209999,37.060001,233700,35.57512
2012-03-22,35.00,37.25,34.66,36.32,416500,34.864768
2012-03-21,36.330002,36.349998,34.900002,34.919998,487600,33.52086
2012-03-20,36.220001,36.50,36.00,36.41,161400,34.951162
2012-03-19,35.869999,36.68,35.669998,36.50,211100,35.037556
2012-03-16,35.240002,36.130001,34.93,35.939999,445700,34.499992
2012-03-15,35.790001,35.860001,34.93,35.200001,339000,33.789644
2012-03-14,36.68,36.849998,35.380001,35.650002,238200,34.221614
2012-03-13,36.049999,37.060001,35.93,36.950001,270700,35.469527
2012-03-12,35.869999,36.00,35.610001,35.900002,201400,34.461598
2012-03-09,35.650002,35.93,35.419998,35.860001,213200,34.423199
2012-03-08,35.029999,35.84,34.700001,35.720001,250700,34.288809
2012-03-07,35.029999,35.189999,34.790001,34.970001,128200,33.56886
2012-03-06,34.330002,35.080002,34.080002,34.799999,240200,33.405669
2012-03-05,34.290001,34.779999,34.049999,34.59,609000,33.204084
2012-03-02,33.970001,34.91,33.970001,34.299999,248500,32.925703
2012-03-01,33.209999,34.23,32.73,33.830002,256600,32.474537
2012-02-29,33.57,33.950001,33.09,33.119999,272900,31.792981
2012-02-28,33.470001,33.82,33.139999,33.400002,204300,32.061765
2012-02-27,33.00,33.529999,32.700001,33.450001,183500,32.109761
2012-02-24,33.470001,33.75,32.540001,33.07,511900,31.744985
2012-02-23,31.82,34.169998,31.469999,33.459999,2899200,32.119359
2012-02-22,30.66,31.27,30.190001,30.530001,412000,29.306756
2012-02-21,32.43,32.43,31.83,32.049999,111300,30.765853
2012-02-17,32.84,33.41,32.029999,32.32,134600,31.025036
2012-02-16,31.860001,33.25,31.84,32.650002,129000,31.341815
2012-02-15,32.490002,32.84,31.67,31.860001,84000,30.583467
2012-02-14,33.080002,33.220001,31.879999,32.27,90000,30.97704
2012-02-13,32.610001,33.560001,32.509998,33.25,175500,31.81218
2012-02-10,31.799999,32.419998,31.799999,32.23,230800,30.836288
2012-02-09,32.490002,32.650002,31.57,32.040001,249100,30.654505
2012-02-08,32.860001,33.389999,32.279999,32.400002,92700,30.998938
2012-02-07,32.939999,33.389999,32.700001,32.849998,89700,31.429476
2012-02-06,34.060001,34.130001,32.740002,32.91,167800,31.486883
2012-02-03,34.880001,35.419998,34.200001,34.349998,222500,32.864612
2012-02-02,33.580002,34.860001,33.200001,33.98,308400,32.510613
2012-02-01,31.50,33.82,31.32,33.360001,536700,31.917424
2012-01-31,31.16,31.639999,30.940001,31.059999,107900,29.716881
2012-01-30,30.870001,31.26,30.639999,30.90,75600,29.5638
2012-01-27,30.879999,31.23,30.50,31.139999,109800,29.793422
2012-01-26,31.629999,31.85,30.879999,31.00,132200,29.659477
2012-01-25,31.00,31.540001,30.68,31.41,146800,30.051747
2012-01-24,30.860001,31.190001,30.610001,30.969999,133100,29.630773
2012-01-23,31.66,31.77,31.120001,31.15,57700,29.80299
2012-01-20,31.690001,31.77,31.49,31.73,83100,30.357909
2012-01-19,31.469999,31.85,31.35,31.709999,57500,30.338773
2012-01-18,30.52,31.58,30.49,31.450001,91700,30.090018
2012-01-17,30.780001,31.27,30.540001,30.559999,136100,29.238503
2012-01-13,30.40,30.940001,30.27,30.639999,100700,29.315043
2012-01-12,30.73,31.08,30.309999,30.870001,90300,29.535099
2012-01-11,31.959999,32.009998,30.700001,30.77,106400,29.439423
2012-01-10,32.169998,32.23,31.74,32.16,122400,30.769315
2012-01-09,31.15,31.85,31.00,31.709999,261100,30.338773
2012-01-06,31.15,31.41,30.709999,30.879999,166400,29.544665
2012-01-05,29.870001,31.120001,29.299999,31.10,221000,29.755153
2012-01-04,29.219999,30.02,28.940001,30.01,246700,28.712287
2012-01-03,31.00,31.40,29.16,29.26,242400,27.994719
2011-12-30,30.34,30.530001,30.01,30.110001,117400,28.807963
2011-12-29,30.110001,30.93,30.110001,30.209999,218300,28.903637
2011-12-28,29.51,30.700001,29.51,29.93,290800,28.635746
2011-12-27,29.40,29.74,29.16,29.450001,249400,28.176503
2011-12-23,29.66,29.92,29.370001,29.469999,82700,28.195637
2011-12-22,29.00,30.049999,29.00,29.51,145300,28.233908
2011-12-21,30.049999,30.209999,28.129999,29.25,512400,27.985151
2011-12-20,29.58,31.59,29.549999,31.16,355300,29.812558
2011-12-19,28.83,29.15,28.790001,28.950001,211700,27.698125
2011-12-16,28.59,28.93,28.43,28.68,281100,27.4398
2011-12-15,27.370001,28.639999,27.09,28.26,185100,27.037962
2011-12-14,27.35,27.559999,26.90,26.950001,184400,25.78461
2011-12-13,28.959999,29.190001,27.51,27.629999,128000,26.435204
2011-12-12,28.18,28.67,27.74,28.60,220300,27.363259
2011-12-09,28.190001,28.73,27.67,28.450001,199900,27.219746
2011-12-08,28.57,28.809999,27.93,28.00,175900,26.789205
2011-12-07,28.93,29.23,28.41,28.790001,393900,27.545044
2011-12-06,28.059999,29.469999,28.059999,29.25,259200,27.985151
2011-12-05,29.18,29.18,27.74,28.01,128400,26.798772
2011-12-02,29.17,29.879999,28.790001,28.870001,100900,27.621584
2011-12-01,28.790001,29.360001,28.52,28.700001,130300,27.458935
2011-11-30,28.879999,28.950001,28.42,28.940001,267500,27.688557
2011-11-29,27.889999,28.08,27.299999,27.85,122000,26.645691
2011-11-28,26.969999,27.940001,26.48,27.879999,152500,26.674393
2011-11-25,26.940001,26.940001,26.299999,26.370001,39600,25.229691
2011-11-23,26.360001,27.379999,26.35,27.09,158900,25.918556
2011-11-22,26.959999,27.18,26.16,26.65,103500,25.497582
2011-11-21,26.969999,27.15,26.690001,26.91,84600,25.746339
2011-11-18,27.049999,27.620001,26.950001,27.52,130600,26.329962
2011-11-17,27.799999,27.91,26.67,27.02,190600,25.851583
2011-11-16,28.540001,28.58,27.709999,27.77,191900,26.569151
2011-11-15,27.879999,29.049999,27.879999,28.809999,118800,27.564178
2011-11-14,28.10,28.17,27.690001,28.09,97800,26.875313
2011-11-11,28.02,28.50,27.84,28.440001,209100,27.210178
2011-11-10,28.25,28.25,27.42,27.639999,125500,26.444771
2011-11-09,28.91,29.440001,27.75,27.84,146700,26.636124
2011-11-08,28.68,29.790001,28.469999,29.709999,175400,28.425259
2011-11-07,28.65,28.940001,27.83,28.85,143900,27.516342
2011-11-04,29.43,29.610001,28.16,28.40,415800,27.087143
2011-11-03,29.440001,31.450001,28.959999,31.01,292000,29.576491
2011-11-02,29.00,29.049999,27.73,28.950001,553800,27.611719
2011-11-01,28.51,29.77,28.50,28.889999,255600,27.554492
2011-10-31,29.469999,29.790001,29.110001,29.23,173100,27.878775
2011-10-28,30.07,30.50,29.299999,29.84,327000,28.460576
2011-10-27,28.549999,30.280001,27.870001,30.139999,330400,28.746708
2011-10-26,27.459999,28.34,26.52,27.610001,304700,26.333664
2011-10-25,27.23,27.23,26.50,26.60,150000,25.370353
