Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,25.50,25.565001,25.290001,25.33,34000,25.33
2016-01-22,24.969999,25.41,24.66,25.41,102900,25.41
2016-01-21,24.34,24.49,23.91,24.48,43100,24.48
2016-01-20,24.60,24.780001,23.917,24.200001,65700,24.200001
2016-01-19,24.860001,24.870001,24.610001,24.790001,33100,24.790001
2016-01-15,24.92,24.92,24.530001,24.639999,48300,24.639999
2016-01-14,24.90,25.00,24.57,24.799999,29700,24.799999
2016-01-13,25.10,25.290001,24.860001,24.950001,14800,24.950001
2016-01-12,25.389999,25.389999,25.00,25.02,32600,25.02
2016-01-11,25.50,25.50,25.25,25.290001,12200,25.290001
2016-01-08,25.60,25.60,25.427999,25.436001,5400,25.436001
2016-01-07,25.499001,25.499001,25.309999,25.316999,34600,25.316999
2016-01-06,25.35,25.541,25.35,25.51,19700,25.51
2016-01-05,25.309999,25.530001,25.309999,25.41,19600,25.41
2016-01-04,25.299999,25.379999,25.08,25.32,10900,25.32
2015-12-31,25.200001,25.329,25.200001,25.280001,4800,25.280001
2015-12-30,25.379999,25.379999,25.049999,25.200001,10500,25.200001
2015-12-29,25.66,25.809999,25.497,25.75,30800,25.281001
2015-12-28,25.50,25.77,25.33,25.527,26900,25.062063
2015-12-24,25.540001,25.74,25.51,25.540001,23900,25.074826
2015-12-23,25.43,25.50,25.281,25.459999,17900,24.996282
2015-12-22,25.33,25.43,25.33,25.43,4900,24.966829
2015-12-21,25.209999,25.33,25.200001,25.32,11800,24.858832
2015-12-18,25.16,25.200001,25.110001,25.200001,7900,24.741019
2015-12-17,25.26,25.266001,25.15,25.200001,9100,24.741019
2015-12-16,24.860001,25.229,24.809999,25.16,15700,24.701746
2015-12-15,24.690001,24.91,24.48,24.860001,28200,24.407211
2015-12-14,25.049999,25.055,24.469999,24.50,53100,24.053768
2015-12-11,25.15,25.26,25.00,25.040001,43500,24.583933
2015-12-10,25.26,25.278,25.15,25.17,13800,24.711565
2015-12-09,25.379999,25.389999,25.10,25.15,24200,24.691928
2015-12-08,25.27,25.34,25.219999,25.299999,4400,24.839196
2015-12-07,25.360001,25.450001,25.27,25.379999,16600,24.917739
2015-12-04,25.450001,25.450001,25.389999,25.450001,11200,24.986465
2015-12-03,25.424,25.49,25.34,25.41,10100,24.947193
2015-12-02,25.389999,25.49,25.360001,25.379999,11600,24.917739
2015-12-01,25.309999,25.42,25.280001,25.360001,15400,24.898104
2015-11-30,25.41,25.437,25.370001,25.370001,8200,24.907923
2015-11-27,25.40,25.469999,25.389999,25.41,3800,24.947193
2015-11-25,25.43,25.43,25.25,25.370001,19900,24.907923
2015-11-24,25.27,25.360001,25.24,25.309999,13300,24.849014
2015-11-23,25.299999,25.469999,25.25,25.34,26200,24.878468
2015-11-20,25.35,25.391001,25.280001,25.34,11300,24.878468
2015-11-19,25.25,25.379999,25.219999,25.379999,20600,24.917739
2015-11-18,25.195,25.25,25.139999,25.200001,22000,24.741019
2015-11-17,25.194,25.26,25.09,25.17,14900,24.711565
2015-11-16,25.200001,25.26,25.09,25.16,21200,24.701746
2015-11-13,25.264999,25.264999,25.077,25.139999,18500,24.68211
2015-11-12,25.24,25.250999,25.16,25.225,12900,24.765563
2015-11-11,25.40,25.40,25.02,25.200001,38600,24.741019
2015-11-10,25.25,25.469999,25.209999,25.32,26500,24.858832
2015-11-09,25.35,25.360001,25.15,25.219999,36000,24.760653
2015-11-06,25.40,25.469999,25.15,25.320999,27900,24.859813
2015-11-05,25.50,25.549999,25.35,25.49,22300,25.025736
2015-11-04,25.41,25.50,25.41,25.450001,10700,24.986465
2015-11-03,25.379999,25.549999,25.27,25.549999,19500,25.084643
2015-11-02,25.25,25.41,25.25,25.32,17900,24.858832
2015-10-30,25.219999,25.389,25.219999,25.389,14700,24.926576
2015-10-29,25.35,25.423,25.209999,25.34,27800,24.878468
2015-10-28,25.33,25.389999,25.246,25.370001,17500,24.907923
2015-10-27,25.25,25.299999,25.209999,25.290001,22800,24.82938
2015-10-26,25.280001,25.358999,25.228001,25.299999,8700,24.839196
2015-10-23,25.24,25.34,25.15,25.25,15800,24.790107
2015-10-22,25.25,25.25,25.08,25.129999,23100,24.672292
2015-10-21,25.129999,25.24,25.059999,25.209999,13500,24.750835
2015-10-20,25.030001,25.17,25.030001,25.049999,14500,24.593749
2015-10-19,25.10,25.105,25.030001,25.105,18800,24.647748
2015-10-16,25.08,25.120001,24.959999,25.10,21600,24.64284
2015-10-15,25.049999,25.120001,25.01,25.049999,25100,24.593749
2015-10-14,25.059999,25.059999,25.01,25.02,8000,24.564297
2015-10-13,24.950001,25.049999,24.950001,25.01,11500,24.554479
2015-10-12,25.02,25.50,24.99,25.049999,12200,24.593749
2015-10-09,25.00,25.10,25.00,25.08,10200,24.623204
2015-10-08,25.129999,25.190001,24.959999,25.040001,24100,24.583933
2015-10-07,25.26,25.26,24.959999,25.040001,25000,24.583933
2015-10-06,25.02,25.43,24.809999,25.139999,37700,24.68211
2015-10-05,24.879999,25.040001,24.879999,24.99,53300,24.534843
2015-10-02,25.700001,25.700001,24.790001,24.84,38200,24.387575
2015-10-01,24.93,24.950001,24.809999,24.91,23700,24.4563
2015-09-30,25.059999,25.07,24.853001,24.860001,26200,24.407211
2015-09-29,25.08,25.110001,24.809999,25.030001,28900,24.574115
2015-09-28,25.549999,25.549999,25.280001,25.43,33500,24.506371
2015-09-25,25.299999,25.549999,25.299999,25.50,72900,24.573829
2015-09-24,25.049999,25.34,24.98,25.24,74300,24.323272
2015-09-23,25.120001,25.299999,24.98,25.09,25200,24.17872
2015-09-22,24.90,25.219999,24.90,25.120001,11600,24.207631
2015-09-21,25.259001,25.326,25.01,25.24,19700,24.323272
2015-09-18,24.90,25.34,24.90,25.299999,16300,24.381092
2015-09-17,24.610001,25.129999,24.610001,25.08,23100,24.169083
2015-09-16,24.700001,25.18,24.700001,25.110001,8800,24.197994
2015-09-15,24.780001,24.90,24.65,24.889999,14800,23.985983
2015-09-14,24.76,24.90,24.76,24.90,3100,23.99562
2015-09-11,24.83,24.889999,24.67,24.82,24100,23.918526
2015-09-10,24.940001,24.959999,24.549999,24.75,29000,23.851069
2015-09-09,25.07,25.07,24.77,25.07,13600,24.159446
2015-09-08,25.07,25.07,24.700001,24.93,22800,24.024532
2015-09-04,24.889999,25.059999,24.700001,24.969999,30000,24.063078
2015-09-03,24.700001,24.950001,24.700001,24.950001,15500,24.043806
2015-09-02,24.799999,24.799999,24.67,24.790001,20600,23.889617
2015-09-01,24.43,24.73,24.43,24.690001,14500,23.793249
2015-08-31,24.50,24.790001,24.43,24.73,29500,23.831795
2015-08-28,24.68,24.799999,24.42,24.559999,27500,23.667969
2015-08-27,24.879999,24.879999,24.60,24.709999,59400,23.812521
2015-08-26,24.795,24.795,24.530001,24.690001,23100,23.793249
2015-08-25,24.84,24.84,24.549999,24.65,31400,23.754701
2015-08-24,24.52,24.84,24.08,24.60,49300,23.706517
2015-08-21,24.719999,24.790001,24.58,24.790001,39700,23.889617
2015-08-20,24.799999,24.84,24.556999,24.76,37600,23.860706
2015-08-19,24.719999,24.92,24.719999,24.85,33900,23.947437
2015-08-18,24.959999,24.969999,24.790001,24.950001,23700,24.043806
2015-08-17,24.98,25.110001,24.728001,24.940001,64200,24.034169
2015-08-14,24.75,25.09,24.73,24.98,73500,24.072715
2015-08-13,25.01,25.030001,24.84,24.84,36000,23.9378
2015-08-12,25.18,25.18,25.00,25.01,21300,24.101626
2015-08-11,25.120001,25.16,24.91,25.08,84600,24.169083
2015-08-10,25.17,25.200001,25.120001,25.200001,22300,24.284725
2015-08-07,25.00,25.139999,24.98,25.08,41100,24.169083
2015-08-06,25.17,25.17,24.959999,25.01,44700,24.101626
2015-08-05,25.299999,25.299999,25.02,25.17,95400,24.255814
2015-08-04,25.25,25.299999,25.23,25.27,6500,24.352183
2015-08-03,25.290001,25.32,25.15,25.27,13700,24.352183
2015-07-31,25.200001,25.299999,25.15,25.27,11000,24.352183
2015-07-30,25.120001,25.280001,25.110001,25.110001,20800,24.197994
2015-07-29,25.190001,25.290001,25.110001,25.120001,37000,24.207631
2015-07-28,25.290001,25.290001,25.07,25.120001,48300,24.207631
2015-07-27,25.34,25.370001,25.129999,25.139999,29300,24.226903
2015-07-24,25.450001,25.450001,25.26,25.379999,25600,24.458186
2015-07-23,25.35,25.65,25.299999,25.440001,135000,24.516008
2015-07-22,25.41,25.41,25.26,25.40,39200,24.47746
2015-07-21,25.459999,25.579,25.34,25.42,46000,24.496734
2015-07-20,25.40,25.450001,25.26,25.40,86500,24.47746
2015-07-17,25.48,25.65,25.23,25.379999,548000,24.458186
2015-07-16,25.459999,25.58,25.389999,25.43,58700,24.506371
2015-07-15,25.690001,25.690001,25.450001,25.459999,94800,24.535281
2015-07-14,25.499001,25.690001,25.459999,25.60,105500,24.670197
2015-07-13,25.50,25.50,25.41,25.469999,49800,24.544918
2015-07-10,25.60,25.60,25.41,25.450001,37300,24.525645
2015-07-09,25.60,25.60,25.35,25.440001,69900,24.516008
2015-07-08,25.50,25.57,25.290001,25.57,40700,24.641286
2015-07-07,25.65,25.690001,25.51,25.60,53100,24.670197
2015-07-06,25.23,25.73,25.15,25.690001,98900,24.756928
2015-07-02,25.17,25.26,25.07,25.23,53600,24.313635
2015-07-01,25.09,25.190001,25.011,25.190001,54100,24.275088
2015-06-30,24.99,25.049999,24.92,25.02,138900,24.111263
2015-06-29,25.190001,25.25,24.851,24.99,77100,24.082352
2015-06-26,25.50,25.621,25.40,25.60,42600,24.127645
2015-06-25,25.50,25.67,25.360001,25.50,67900,24.033396
2015-06-24,25.50,25.50,25.26,25.49,97700,24.023971
2015-06-23,25.41,25.50,25.299999,25.370001,69600,23.910873
2015-06-22,25.799999,25.799999,25.200001,25.370001,118200,23.910873
2015-06-19,25.35,25.549999,25.25,25.40,86300,23.939147
2015-06-18,25.15,25.52,25.15,25.25,86500,23.797774
2015-06-17,25.18,25.200001,25.09,25.139999,70500,23.6941
2015-06-16,25.15,25.18,25.07,25.15,51300,23.703525
2015-06-15,25.059999,25.129999,25.00,25.129999,32700,23.684675
2015-06-12,25.09,25.10,24.98,25.049,39100,23.608334
2015-06-11,25.07,25.07,24.90,24.969999,132700,23.533877
2015-06-10,25.040001,25.049999,25.00,25.045,74400,23.604565
2015-06-09,25.07,25.07,25.00,25.040001,127400,23.599853
