Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.60,23.719999,23.459999,23.459999,6900,23.459999
2016-01-22,23.059999,23.73,23.059999,23.566,17400,23.566
2016-01-21,23.16,23.16,22.886,23.01,11700,23.01
2016-01-20,23.34,23.360001,22.905001,23.15,10900,23.15
2016-01-19,23.52,23.601999,23.292999,23.500999,27200,23.500999
2016-01-15,23.604,23.879999,23.17,23.290001,38000,23.290001
2016-01-14,24.110001,24.110001,23.704,23.790001,41200,23.790001
2016-01-13,24.254,24.35,24.049999,24.049999,29600,24.049999
2016-01-12,24.50,24.50,24.23,24.23,27600,24.23
2016-01-11,24.539,24.549999,24.379999,24.48,20000,24.48
2016-01-08,24.459999,24.549999,24.42,24.549999,36600,24.549999
2016-01-07,24.450001,24.49,24.389999,24.422001,25800,24.422001
2016-01-06,24.50,24.60,24.50,24.51,20900,24.51
2016-01-05,24.32,24.469999,24.32,24.450001,36300,24.450001
2016-01-04,24.450001,24.450001,24.35,24.42,5800,24.42
2015-12-31,24.450001,24.559999,24.40,24.559999,11800,24.559999
2015-12-30,24.49,24.49,24.403999,24.450001,10200,24.450001
2015-12-29,24.23,24.49,24.204,24.49,14500,24.49
2015-12-28,24.35,24.429001,24.25,24.32,21400,24.32
2015-12-24,24.190001,24.33,24.190001,24.32,4300,24.32
2015-12-23,23.959999,24.25,23.959999,24.25,18400,24.25
2015-12-22,24.059999,24.16,24.030001,24.16,18800,24.16
2015-12-21,23.99,24.059999,23.950001,23.969999,21300,23.969999
2015-12-18,23.809999,23.950001,23.761,23.90,23100,23.90
2015-12-17,23.889999,23.98,23.469999,23.737,15200,23.737
2015-12-16,23.628,23.90,23.628,23.889999,23200,23.889999
2015-12-15,23.35,23.67,23.10,23.66,48100,23.66
2015-12-14,23.959999,23.959999,23.18,23.290001,50800,23.290001
2015-12-11,24.18,24.18,23.940001,23.973,24700,23.973
2015-12-10,24.219999,24.238001,24.049999,24.129999,18300,24.129999
2015-12-09,24.318001,24.344,24.07,24.167,53900,24.167
2015-12-08,24.25,24.370001,24.25,24.354,11200,24.354
2015-12-07,24.483999,24.50,24.299999,24.360001,17000,24.360001
2015-12-04,24.389999,24.530001,24.389999,24.52,8700,24.52
2015-12-03,24.40,24.549999,24.264,24.530001,31600,24.530001
2015-12-02,24.40,24.50,24.40,24.40,18500,24.40
2015-12-01,24.33,24.40,24.32,24.370001,52500,24.370001
2015-11-30,24.440001,24.440001,24.209999,24.32,11400,24.32
2015-11-27,24.190001,24.448999,24.16,24.33,11800,24.33
2015-11-25,24.700001,24.780001,24.65,24.75,30000,24.75
