Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.67,13.31,12.17,12.24,607400,12.24
2016-01-22,12.75,12.94,12.21,12.68,282200,12.68
2016-01-21,12.59,13.09,12.00,12.37,343300,12.37
2016-01-20,11.64,12.71,10.75,12.48,718700,12.48
2016-01-19,12.67,12.77,11.33,11.63,461200,11.63
2016-01-15,12.10,12.90,11.60,12.45,426400,12.45
2016-01-14,11.95,13.16,11.12,12.91,505600,12.91
2016-01-13,13.89,14.23,11.83,11.91,499300,11.91
2016-01-12,13.67,14.35,13.14,13.76,405900,13.76
2016-01-11,14.50,14.50,12.35,13.54,865400,13.54
2016-01-08,13.17,13.92,13.00,13.78,611900,13.78
2016-01-07,14.75,14.75,12.88,12.96,569600,12.96
2016-01-06,15.40,15.49,14.72,15.04,507400,15.04
2016-01-05,15.82,16.25,15.60,15.63,297500,15.63
2016-01-04,16.90,16.90,15.54,15.75,565500,15.75
2015-12-31,18.48,18.48,17.209999,17.33,317900,17.33
2015-12-30,17.129999,18.74,17.129999,18.52,524700,18.52
2015-12-29,16.860001,17.26,16.799999,17.23,198700,17.23
2015-12-28,16.799999,17.02,16.24,16.790001,176100,16.790001
2015-12-24,17.299999,17.469999,16.780001,16.959999,112400,16.959999
2015-12-23,16.32,17.450001,15.958,17.15,331400,17.15
2015-12-22,16.700001,16.700001,15.78,16.219999,326900,16.219999
2015-12-21,15.81,15.99,15.17,15.89,256000,15.89
2015-12-18,15.58,16.285,15.15,15.67,3207900,15.67
2015-12-17,17.709999,17.959999,15.58,15.67,636400,15.67
2015-12-16,17.610001,18.200001,16.889999,17.690001,561000,17.690001
2015-12-15,16.40,17.57,16.10,17.48,676400,17.48
2015-12-14,15.34,16.35,14.98,16.219999,645600,16.219999
2015-12-11,15.33,15.40,14.62,15.06,269000,15.06
2015-12-10,15.31,15.72,15.06,15.66,254600,15.66
2015-12-09,15.71,15.88,14.65,15.45,427800,15.45
2015-12-08,15.74,16.469999,15.26,15.94,333800,15.94
2015-12-07,15.63,15.92,14.51,15.86,413000,15.86
2015-12-04,16.00,16.07,14.27,15.51,470700,15.51
2015-12-03,17.32,17.709999,15.67,15.99,491400,15.99
2015-12-02,16.610001,17.85,16.42,17.139999,466100,17.139999
2015-12-01,16.51,16.76,16.10,16.49,277300,16.49
2015-11-30,16.49,16.49,15.762,16.309999,372400,16.309999
2015-11-27,16.620001,16.709999,16.139999,16.299999,108600,16.299999
2015-11-25,15.80,17.90,15.80,16.620001,677200,16.620001
2015-11-24,15.21,15.79,15.07,15.74,301300,15.74
2015-11-23,15.80,15.99,15.36,15.42,187200,15.42
2015-11-20,15.63,16.25,15.326,15.77,156300,15.77
2015-11-19,15.58,16.040001,15.11,15.54,154700,15.54
2015-11-18,14.92,15.83,14.51,15.71,346200,15.71
2015-11-17,15.87,16.295,14.46,14.70,443500,14.70
2015-11-16,15.60,16.50,14.90,15.72,318500,15.72
2015-11-13,17.09,17.32,15.31,15.68,433400,15.68
2015-11-12,16.879999,18.298,16.299999,17.200001,545700,17.200001
2015-11-11,17.129999,17.351999,15.25,16.25,482200,16.25
2015-11-10,18.07,18.49,16.959999,17.129999,319500,17.129999
2015-11-09,17.01,18.83,16.43,18.219999,501700,18.219999
2015-11-06,17.82,18.82,16.67,17.190001,497500,17.190001
2015-11-05,17.719999,19.427999,17.25,17.889999,1073400,17.889999
2015-11-04,15.95,18.17,15.19,17.860001,1223500,17.860001
