Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.99,9.42,8.95,9.18,233500,9.18
2016-01-22,8.67,9.165,8.555,9.06,205600,9.06
2016-01-21,8.70,8.86,8.41,8.58,161800,8.58
2016-01-20,8.58,8.99,7.82,8.76,504100,8.76
2016-01-19,8.88,9.00,8.25,8.63,329200,8.63
2016-01-15,8.56,8.92,7.96,8.82,595100,8.82
2016-01-14,8.84,8.86,8.20,8.76,262700,8.76
2016-01-13,9.02,10.19,8.10,8.93,374800,8.93
2016-01-12,8.61,9.25,7.90,9.05,304800,9.05
2016-01-11,9.75,9.76,7.95,8.74,544500,8.74
2016-01-08,9.86,10.15,9.75,9.78,569400,9.78
2016-01-07,10.20,10.25,9.75,9.89,186800,9.89
2016-01-06,9.98,10.60,9.94,10.46,540800,10.46
2016-01-05,10.13,10.50,9.72,10.37,592300,10.37
2016-01-04,10.06,10.79,10.06,10.34,803600,10.34
2015-12-31,10.89,11.02,10.22,10.80,453900,10.80
2015-12-30,10.81,11.15,10.38,11.10,377400,11.10
2015-12-29,11.19,11.27,10.06,10.80,896500,10.80
2015-12-28,11.21,11.99,11.00,11.34,109400,11.34
2015-12-24,11.28,11.37,11.02,11.27,37300,11.27
2015-12-23,11.34,11.44,10.80,11.20,152500,11.20
2015-12-22,11.52,11.95,10.83,11.21,296600,11.21
2015-12-21,11.68,11.83,11.40,11.57,173200,11.57
2015-12-18,10.88,12.14,10.77,11.64,346800,11.64
2015-12-17,10.85,11.27,10.515,10.91,160000,10.91
2015-12-16,10.73,11.00,10.52,10.75,131900,10.75
2015-12-15,10.36,10.70,10.30,10.66,93900,10.66
2015-12-14,10.44,10.56,10.11,10.29,128500,10.29
2015-12-11,10.52,10.79,10.28,10.39,195100,10.39
2015-12-10,10.04,10.75,9.963,10.68,246000,10.68
2015-12-09,9.93,10.196,9.35,10.00,73900,10.00
2015-12-08,9.57,10.17,9.52,9.92,76300,9.92
2015-12-07,9.32,9.76,9.13,9.70,135600,9.70
2015-12-04,9.15,9.48,8.78,9.30,178300,9.30
2015-12-03,9.66,9.70,9.03,9.14,80900,9.14
2015-12-02,9.04,10.11,8.77,9.64,134100,9.64
2015-12-01,9.01,9.02,8.72,8.97,215600,8.97
2015-11-30,8.68,9.21,8.24,8.89,102000,8.89
2015-11-27,8.93,9.26,8.58,8.62,52900,8.62
2015-11-25,8.77,9.01,8.55,8.90,95400,8.90
2015-11-24,8.89,8.96,8.52,8.73,79900,8.73
2015-11-23,8.78,9.45,8.65,8.89,83500,8.89
2015-11-20,9.05,9.21,8.63,8.78,141200,8.78
2015-11-19,9.77,9.896,9.00,9.02,120300,9.02
2015-11-18,9.35,9.99,9.06,9.74,85700,9.74
