Date,Open,High,Low,Close,Volume,Adj Close
2013-11-19,3.85,4.04,3.32,3.87,35100,3.87
2013-11-18,3.50,3.89,3.14,3.48,46700,3.48
2013-11-15,3.15,3.20,2.31,3.00,35700,3.00
2013-11-14,3.50,3.95,3.15,3.18,12600,3.18
2013-11-13,3.35,3.90,3.3353,3.51,22400,3.51
2013-11-12,4.00,4.40,3.15,3.21,80700,3.21
2013-11-11,3.25,3.88,2.8741,3.46,102900,3.46
2013-11-08,2.05,4.485,2.049,2.35,123300,2.35
2013-11-07,1.991,2.00,1.60,1.60,6000,1.60
2013-11-06,1.85,1.85,1.85,1.85,000,1.85
2013-11-05,1.70,1.85,1.70,1.85,300,1.85
2013-11-04,1.99,2.00,1.65,1.65,400,1.65
2013-11-01,2.05,2.05,1.63,1.701,3000,1.701
2013-10-31,1.90,1.90,1.90,1.90,000,1.90
2013-10-30,1.90,1.90,1.90,1.90,000,1.90
2013-10-29,1.90,1.90,1.90,1.90,000,1.90
2013-10-28,1.90,1.90,1.90,1.90,000,1.90
2013-10-25,1.90,1.90,1.90,1.90,000,1.90
2013-10-24,1.90,1.90,1.90,1.90,000,1.90
2013-10-23,1.90,1.90,1.90,1.90,000,1.90
2013-10-22,1.90,1.90,1.90,1.90,000,1.90
2013-10-21,2.05,2.05,1.57,1.90,1300,1.90
2013-10-18,2.05,2.05,2.05,2.05,000,2.05
2013-10-17,2.05,2.05,2.05,2.05,000,2.05
2013-10-16,2.05,2.05,2.05,2.05,000,2.05
2013-10-15,2.05,2.05,2.05,2.05,000,2.05
2013-10-14,2.05,2.05,2.05,2.05,500,2.05
2013-10-11,2.05,2.05,2.05,2.05,000,2.05
2013-10-10,2.05,2.05,2.05,2.05,000,2.05
2013-10-09,2.05,2.05,2.05,2.05,000,2.05
2013-10-08,2.05,2.05,2.049,2.05,1600,2.05
2013-10-07,2.00,2.00,2.00,2.00,500,2.00
2013-10-04,2.20,2.20,2.00,2.00,2900,2.00
2013-10-03,2.00,2.00,2.00,2.00,000,2.00
2013-10-02,2.00,2.00,2.00,2.00,000,2.00
2013-10-01,2.00,2.00,2.00,2.00,000,2.00
2013-09-30,2.00,2.00,2.00,2.00,000,2.00
2013-09-27,2.05,2.05,2.00,2.00,2100,2.00
2013-09-26,2.05,2.05,2.00,2.00,6200,2.00
2013-09-25,2.0999,2.0999,2.0999,2.0999,1000,2.0999
2013-09-24,2.10,2.10,2.10,2.10,2000,2.10
2013-09-23,1.92,1.92,1.92,1.92,1200,1.92
2013-09-20,1.9201,1.9201,1.92,1.92,5300,1.92
2013-09-19,1.92,1.92,1.92,1.92,100,1.92
2013-09-18,1.92,1.92,1.92,1.92,700,1.92
2013-09-17,2.00,2.0898,2.00,2.0898,2300,2.0898
2013-09-16,2.00,2.00,2.00,2.00,000,2.00
2013-09-13,2.00,2.00,2.00,2.00,000,2.00
2013-09-12,2.00,2.00,2.00,2.00,4800,2.00
2013-09-11,2.00,2.00,2.00,2.00,000,2.00
2013-09-10,2.00,2.00,2.00,2.00,000,2.00
2013-09-09,2.0392,2.0392,2.00,2.00,1600,2.00
