Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.90,9.90,9.90,9.90,000,9.90
2016-01-22,9.90,9.90,9.90,9.90,000,9.90
2016-01-21,9.90,9.90,9.90,9.90,000,9.90
2016-01-20,9.90,9.90,9.90,9.90,000,9.90
2016-01-19,9.90,9.90,9.90,9.90,000,9.90
2016-01-15,9.90,9.90,9.90,9.90,000,9.90
2016-01-14,9.90,9.90,9.90,9.90,000,9.90
2016-01-13,9.90,9.90,9.90,9.90,000,9.90
2016-01-12,9.90,9.90,9.90,9.90,000,9.90
2016-01-11,9.90,9.90,9.90,9.90,000,9.90
2016-01-08,9.90,9.90,9.90,9.90,000,9.90
2016-01-07,9.90,9.90,9.90,9.90,000,9.90
2016-01-06,9.90,9.90,9.90,9.90,000,9.90
2016-01-05,9.90,9.90,9.90,9.90,000,9.90
2016-01-04,9.90,9.90,9.90,9.90,100,9.90
2015-12-31,9.85,9.85,9.85,9.85,300,9.85
2015-12-30,9.85,9.85,9.85,9.85,000,9.85
2015-12-29,9.85,9.85,9.85,9.85,000,9.85
2015-12-28,9.85,9.85,9.85,9.85,000,9.85
2015-12-24,9.85,9.85,9.85,9.85,000,9.85
2015-12-23,9.85,9.85,9.85,9.85,000,9.85
2015-12-22,9.85,9.85,9.85,9.85,3100,9.85
2015-12-21,9.90,9.90,9.90,9.90,000,9.90
2015-12-18,9.90,9.90,9.90,9.90,100,9.90
2015-12-17,9.84,9.84,9.84,9.84,000,9.84
2015-12-16,9.84,9.84,9.84,9.84,000,9.84
2015-12-15,9.84,9.84,9.84,9.84,300,9.84
2015-12-14,9.80,9.80,9.80,9.80,300,9.80
2015-12-11,9.90,9.90,9.90,9.90,100,9.90
2015-12-10,9.90,9.90,9.90,9.90,000,9.90
2015-12-09,9.90,9.90,9.90,9.90,900,9.90
2015-12-08,9.87,9.87,9.87,9.87,000,9.87
2015-12-07,9.87,9.87,9.87,9.87,000,9.87
2015-12-04,9.87,9.87,9.87,9.87,000,9.87
2015-12-03,9.87,9.87,9.87,9.87,000,9.87
2015-12-02,9.87,9.87,9.87,9.87,000,9.87
2015-12-01,9.85,9.87,9.85,9.87,1700,9.87
2015-11-30,9.88,9.88,9.88,9.88,000,9.88
2015-11-27,9.88,9.88,9.88,9.88,000,9.88
2015-11-25,9.88,9.88,9.88,9.88,000,9.88
2015-11-24,9.88,9.88,9.88,9.88,100,9.88
2015-11-23,9.80,9.80,9.80,9.80,000,9.80
2015-11-20,9.80,9.80,9.80,9.80,000,9.80
2015-11-19,9.80,9.80,9.80,9.80,000,9.80
2015-11-18,9.80,9.80,9.80,9.80,1300,9.80
2015-11-17,9.90,9.90,9.85,9.85,11400,9.85
2015-11-16,9.86,9.86,9.86,9.86,100000,9.86
2015-11-13,9.87,9.87,9.87,9.87,1000,9.87
2015-11-06,9.91,9.91,9.91,9.91,3800,9.91
2015-11-05,9.92,9.92,9.92,9.92,18700,9.92
