Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,7.59,7.95,7.345,7.87,369800,7.87
2016-01-22,8.04,8.70,7.52,7.80,1101400,7.80
2016-01-21,9.10,9.115,7.61,7.70,568500,7.70
2016-01-20,9.00,9.00,8.132,8.88,293300,8.88
2016-01-19,8.97,9.05,8.68,8.94,203500,8.94
2016-01-15,9.23,9.35,8.695,8.97,356400,8.97
2016-01-14,9.40,9.70,9.12,9.42,153000,9.42
2016-01-13,9.75,9.90,9.27,9.45,167800,9.45
2016-01-12,10.23,10.38,9.68,9.88,632800,9.88
2016-01-11,10.53,10.53,9.59,10.37,334800,10.37
2016-01-08,10.19,10.51,10.16,10.28,162300,10.28
2016-01-07,10.50,10.765,10.10,10.30,271600,10.30
2016-01-06,10.83,11.065,10.67,10.78,211100,10.78
2016-01-05,10.72,11.10,10.72,11.08,264900,11.08
2016-01-04,10.39,10.90,10.30,10.90,335000,10.90
2015-12-31,10.47,10.89,9.75,10.66,416100,10.66
2015-12-30,10.32,10.61,10.20,10.52,343000,10.52
2015-12-29,10.45,10.475,10.16,10.37,173700,10.37
2015-12-28,10.42,10.59,10.06,10.50,234700,10.50
2015-12-24,9.97,10.62,9.94,10.62,142300,10.62
2015-12-23,9.98,10.20,9.93,10.09,148800,10.09
2015-12-22,10.34,10.34,9.91,10.05,221900,10.05
2015-12-21,9.78,10.18,9.51,10.07,257400,10.07
2015-12-18,9.97,10.58,9.72,9.72,2731700,9.72
2015-12-17,9.73,10.03,9.705,9.94,540000,9.94
2015-12-16,10.03,10.23,9.72,9.75,394400,9.75
2015-12-15,9.95,10.28,9.915,9.98,424300,9.98
2015-12-14,10.21,10.29,9.95,9.97,178200,9.97
2015-12-11,10.13,10.35,10.02,10.17,314600,10.17
2015-12-10,10.20,10.20,9.95,9.99,159500,9.99
2015-12-09,10.05,10.20,9.95,9.98,412000,9.98
2015-12-08,10.04,10.10,9.96,10.00,164100,10.00
2015-12-07,10.11,10.401,9.95,9.97,400000,9.97
2015-12-04,9.84,10.05,9.80,9.95,180300,9.95
2015-12-03,9.95,9.95,9.50,9.78,304400,9.78
2015-12-02,9.46,10.02,9.41,9.94,274700,9.94
2015-12-01,9.77,9.77,9.16,9.54,471700,9.54
2015-11-30,9.56,10.09,9.56,9.71,520200,9.71
2015-11-27,9.74,9.99,9.52,9.66,145500,9.66
2015-11-25,9.85,10.14,9.53,9.70,185500,9.70
2015-11-24,10.31,10.74,9.78,9.94,431300,9.94
2015-11-23,10.75,10.99,10.33,10.42,489800,10.42
2015-11-20,10.10,10.719,9.572,10.71,499000,10.71
2015-11-19,10.06,10.16,8.42,10.10,750000,10.10
2015-11-18,10.28,10.37,10.00,10.10,372700,10.10
2015-11-17,10.52,10.64,10.02,10.28,272900,10.28
2015-11-16,10.75,10.965,10.52,10.75,209000,10.75
2015-11-13,12.00,12.00,9.66,10.91,1177200,10.91
2015-11-12,12.50,12.50,10.05,11.74,1340900,11.74
2015-11-11,12.54,12.58,12.16,12.30,575200,12.30
2015-11-10,11.76,12.40,11.724,12.11,193300,12.11
2015-11-09,12.30,12.30,11.71,11.87,146000,11.87
2015-11-06,12.34,12.34,11.66,11.90,323200,11.90
2015-11-05,11.97,12.23,11.80,12.13,377000,12.13
2015-11-04,11.50,11.73,11.41,11.70,477300,11.70
2015-11-03,11.32,11.71,11.115,11.41,333800,11.41
2015-11-02,11.00,11.12,10.93,11.03,139400,11.03
2015-10-30,11.10,11.12,10.98,11.10,117700,11.10
2015-10-29,11.11,11.301,10.882,11.05,183700,11.05
2015-10-28,10.91,11.23,10.86,11.22,104100,11.22
2015-10-27,11.00,11.29,10.77,10.94,158500,10.94
2015-10-26,10.60,10.87,10.53,10.87,261900,10.87
2015-10-23,10.62,10.864,10.49,10.53,405200,10.53
2015-10-22,11.12,11.12,10.54,10.62,537000,10.62
2015-10-21,11.18,11.40,10.49,11.06,730200,11.06
2015-10-20,12.01,12.26,11.40,11.46,679500,11.46
2015-10-19,12.41,12.50,11.99,12.02,563000,12.02
2015-10-16,12.93,12.99,12.46,12.53,751900,12.53
2015-10-15,12.60,13.29,12.50,12.74,736200,12.74
2015-10-14,12.73,12.84,12.25,12.53,381600,12.53
2015-10-13,13.45,13.45,12.35,12.40,580700,12.40
2015-10-12,13.05,13.50,12.689,12.87,1718500,12.87
2015-10-09,11.00,13.40,11.00,12.17,7318400,12.17
2015-10-08,10.00,10.00,10.00,10.00,000,10.00
