Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,11.88,12.55,11.41,11.70,8600,11.70
2016-01-22,11.18,12.99,11.18,12.19,17400,12.19
2016-01-21,10.18,11.42,10.09,10.96,90400,10.96
2016-01-20,10.207,10.63,9.66,10.26,137300,10.26
2016-01-19,11.83,12.217,10.06,10.20,83400,10.20
2016-01-15,10.83,11.88,10.75,11.68,70400,11.68
2016-01-14,11.10,11.83,10.70,11.81,44300,11.81
2016-01-13,12.11,12.22,11.07,11.32,127000,11.32
2016-01-12,12.77,12.77,11.86,12.00,50600,12.00
2016-01-11,13.30,13.30,12.11,12.52,79200,12.52
2016-01-08,12.64,13.00,12.21,12.70,19100,12.70
2016-01-07,13.10,13.20,12.20,12.57,25100,12.57
2016-01-06,13.10,13.19,13.06,13.19,52200,13.19
2016-01-05,13.05,13.20,12.93,13.15,16300,13.15
2016-01-04,12.81,13.21,12.22,13.15,27600,13.15
2015-12-31,12.21,13.22,12.21,12.93,38400,12.93
2015-12-30,12.38,12.55,12.16,12.39,51900,12.39
2015-12-29,12.25,13.60,12.20,12.38,164600,12.38
2015-12-28,13.23,13.409,12.10,12.22,75900,12.22
2015-12-24,13.56,13.59,13.25,13.33,52500,13.33
2015-12-23,13.51,13.73,13.21,13.40,53700,13.40
2015-12-22,12.97,13.47,12.62,13.44,737200,13.44
2015-12-21,12.99,13.66,12.62,12.91,25200,12.91
2015-12-18,12.36,13.85,12.21,13.08,31400,13.08
2015-12-17,12.57,12.57,12.094,12.31,22500,12.31
2015-12-16,12.89,12.94,12.38,12.38,76200,12.38
2015-12-15,13.05,13.21,12.60,12.60,17200,12.60
2015-12-14,13.09,13.20,12.725,12.83,14200,12.83
2015-12-11,13.70,13.75,12.92,13.06,27900,13.06
2015-12-10,13.48,13.786,13.374,13.53,18800,13.53
2015-12-09,13.05,13.90,12.75,13.27,72800,13.27
2015-12-08,13.49,13.49,12.75,12.95,17500,12.95
2015-12-07,13.23,13.23,12.50,12.60,123100,12.60
2015-12-04,13.50,14.091,12.68,13.62,48100,13.62
2015-12-03,14.61,15.14,13.91,14.08,36800,14.08
2015-12-02,14.178,14.93,13.21,14.11,233300,14.11
2015-12-01,14.51,14.64,13.94,14.23,22800,14.23
2015-11-30,14.06,14.70,13.23,14.28,36500,14.28
2015-11-27,14.29,14.55,13.49,14.17,41500,14.17
2015-11-25,14.33,14.45,14.16,14.16,24300,14.16
2015-11-24,14.38,15.06,14.19,14.40,42700,14.40
2015-11-23,14.84,15.00,13.93,14.40,113600,14.40
2015-11-20,15.50,15.51,14.75,14.76,52300,14.76
2015-11-19,15.84,16.190001,15.35,15.52,36400,15.52
2015-11-18,15.82,16.049999,15.58,16.00,32800,16.00
2015-11-17,15.90,16.049999,15.50,15.89,44400,15.89
2015-11-16,15.68,15.93,15.50,15.89,47600,15.89
2015-11-13,15.85,16.049999,15.56,15.74,28500,15.74
2015-11-12,15.98,16.049999,15.22,16.00,34500,16.00
2015-11-11,16.00,16.08,15.81,15.95,47300,15.95
2015-11-10,16.469999,16.690001,15.86,16.01,134300,16.01
2015-11-09,16.799999,16.85,16.195,16.41,92600,16.41
2015-11-06,17.15,17.15,15.77,16.799999,69500,16.799999
2015-11-05,17.10,17.50,16.66,16.809999,195500,16.809999
