Date,Open,High,Low,Close,Volume,Adj Close
2001-03-27,6.875,7.00,6.8125,6.8125,6100,5.527518
2001-03-26,6.625,7.25,6.625,7.00,46400,5.679651
2001-03-23,5.71875,7.00,5.71875,6.6875,37300,5.426096
2001-03-22,5.70312,5.875,5.0625,5.875,108300,4.76685
2001-03-21,6.03125,6.03125,5.17188,5.3125,146000,4.31045
2001-03-20,6.4375,6.625,6.3125,6.50,70000,5.273962
2001-03-19,6.48438,6.75,6.4375,6.6875,7200,5.426096
2001-03-16,6.50,6.50,6.25,6.50,26100,5.273962
2001-03-15,7.73438,7.75,6.125,6.50,56000,5.273962
2001-03-14,7.625,7.875,7.4375,7.75,26300,6.288186
2001-03-13,7.45312,7.9375,7.4375,7.50,27900,6.085341
2001-03-12,7.51562,7.75,7.50,7.625,28000,6.186763
2001-03-09,7.9375,8.00,7.6875,8.00,20000,6.49103
2001-03-08,8.00,8.00,7.875,8.00,6500,6.49103
2001-03-07,7.8125,8.00,7.75,8.00,12300,6.49103
2001-03-06,7.70312,7.875,7.6875,7.75,22900,6.288186
2001-03-05,7.8125,7.8125,7.5625,7.75,23900,6.288186
2001-03-02,7.75,8.00,7.6875,7.8125,7600,6.338897
2001-03-01,7.625,7.75,7.5625,7.75,2000,6.288186
2001-02-28,7.625,7.8125,7.50,7.5625,10200,6.136052
2001-02-27,8.125,8.125,7.50,7.625,43900,6.186763
2001-02-26,8.00,8.09375,7.625,7.9375,19700,6.440319
2001-02-23,7.5625,7.6875,7.50,7.5625,8900,6.136052
2001-02-22,8.0625,8.0625,7.50,7.5625,39000,6.136052
2001-02-21,8.01562,8.125,7.875,8.125,115000,6.592453
2001-02-20,8.125,8.125,7.875,8.09375,12300,6.567097
2001-02-16,8.0625,8.1875,8.00,8.00,21500,6.49103
2001-02-15,8.0625,8.125,7.875,8.03125,67800,6.516386
2001-02-14,7.98438,8.0625,7.8125,8.00,59400,6.49103
2001-02-13,7.875,8.00,7.8125,7.9375,44800,6.440319
2001-02-12,8.00,8.00,7.8125,7.8125,42000,6.338897
2001-02-09,8.125,8.125,7.75,8.00,430800,6.49103
2001-02-08,8.04688,8.1875,8.00,8.0625,69800,6.541741
2001-02-07,8.1875,8.1875,8.00,8.00,65100,6.49103
2001-02-06,8.01562,8.25,8.00,8.125,46400,6.592453
2001-02-05,8.50,8.75,8.0625,8.125,153600,6.592453
2001-02-02,8.85938,9.00,8.4375,8.5625,10200,6.947431
2001-02-01,9.00,9.00,8.50,8.6875,153600,7.048853
2001-01-31,8.78125,9.00,8.75,8.75,112000,7.099564
2001-01-30,8.95312,9.25,8.375,8.875,54900,7.200987
2001-01-29,8.48438,9.25,8.375,9.125,62300,7.403831
2001-01-26,8.50,8.50,8.375,8.375,4100,6.795297
2001-01-25,8.50,8.6875,8.25,8.3125,19100,6.744586
2001-01-24,8.51562,8.875,8.50,8.50,6000,6.89672
2001-01-23,8.375,8.875,8.3125,8.875,33500,7.200987
2001-01-22,8.75,8.9375,8.1875,8.3125,18300,6.744586
2001-01-19,8.98438,8.98438,8.25,8.25,8900,6.693875
2001-01-18,8.39062,9.00,8.375,8.875,31900,7.200987
2001-01-17,9.125,9.25,8.375,8.75,39200,7.099564
2001-01-16,8.375,9.50,8.25,8.875,51000,7.200987
2001-01-12,7.50,8.50,6.6875,8.125,57000,6.592453
2001-01-11,6.75,7.50,6.75,7.125,35500,5.781074
2001-01-10,6.73438,7.00,6.6875,6.75,17400,5.476807
2001-01-09,6.75,7.125,6.50,6.75,179700,5.476807
2001-01-08,7.625,7.625,6.875,7.125,20000,5.781074
2001-01-05,7.89062,8.125,7.4375,7.4375,44700,6.03463
2001-01-04,8.14062,9.00,7.9375,7.9375,36200,6.440319
2001-01-03,6.875,8.50,6.875,8.1875,56900,6.643164
2001-01-02,6.5625,6.875,6.50,6.875,17700,5.578229
2000-12-29,6.875,7.375,6.50,6.5625,65000,5.324673
2000-12-28,6.625,6.875,6.125,6.875,43800,5.578229
2000-12-27,6.98438,7.00,6.625,6.75,48000,5.476807
2000-12-26,6.625,7.25,6.625,6.75,88700,5.476807
2000-12-22,5.9375,7.5625,5.76562,6.375,47100,5.17254
2000-12-21,7.25,7.5625,5.125,6.00,440800,4.868273
2000-12-20,6.79688,7.4375,6.75,7.375,37900,5.983918
2000-12-19,7.1875,7.5625,7.0625,7.1875,43300,5.831785
2000-12-18,7.125,7.625,7.0625,7.1875,53400,5.831785
2000-12-15,6.875,7.25,6.875,7.25,35200,5.882496
2000-12-14,7.00,7.125,6.9375,6.9375,13400,5.62894
2000-12-13,7.39062,7.39062,7.00,7.00,15000,5.679651
2000-12-12,7.625,7.625,7.375,7.40625,20700,6.009274
2000-12-11,7.82812,7.9375,7.50,7.50,34800,6.085341
2000-12-08,7.48438,7.75,7.3125,7.4375,77300,6.03463
2000-12-07,7.75,7.75,7.00,7.375,33700,5.983918
2000-12-06,8.25,9.00,7.90625,7.92188,24900,6.427645
2000-12-05,7.14062,8.00,7.00,8.00,72400,6.49103
2000-12-04,7.65625,7.75,7.00,7.00,33400,5.679651
2000-12-01,7.1875,8.4375,7.125,7.50,66200,6.085341
2000-11-30,7.64062,7.64062,6.50,6.875,59800,5.578229
