Date,Open,High,Low,Close,Volume,Adj Close
1997-04-25,7.75,7.75,6.875,6.875,17200,6.875
1997-04-24,7.50,7.50,7.50,7.50,1300,7.50
1997-04-23,7.625,7.875,7.625,7.875,2200,7.875
1997-04-22,7.625,7.625,7.50,7.50,7500,7.50
1997-04-21,8.125,8.25,7.75,7.75,12300,7.75
1997-04-18,7.875,8.00,7.875,8.00,6700,8.00
1997-04-17,7.50,7.875,7.375,7.875,172000,7.875
1997-04-16,7.4375,7.625,7.4375,7.625,900,7.625
1997-04-15,7.125,7.625,7.125,7.625,13900,7.625
1997-04-14,6.75,7.375,6.75,7.00,311700,7.00
1997-04-11,7.00,7.00,6.75,6.75,100200,6.75
1997-04-10,7.125,7.125,7.00,7.125,6900,7.125
1997-04-09,7.625,7.625,7.125,7.375,29000,7.375
1997-04-08,7.375,7.375,7.375,7.375,13500,7.375
1997-04-07,7.125,7.50,7.125,7.50,9600,7.50
1997-04-04,7.25,7.375,7.125,7.375,9700,7.375
1997-04-03,7.25,7.25,6.875,7.25,39100,7.25
1997-04-02,7.375,7.625,7.25,7.3125,13100,7.3125
1997-04-01,7.50,7.75,7.375,7.375,30400,7.375
1997-03-31,7.75,7.875,7.375,7.75,143600,7.75
1997-03-27,7.875,8.00,7.625,7.625,67300,7.625
1997-03-26,8.125,8.375,7.875,7.875,32800,7.875
1997-03-25,8.75,8.75,8.25,8.25,15400,8.25
1997-03-24,8.375,8.375,8.375,8.375,1500,8.375
1997-03-21,8.625,8.625,8.375,8.375,11000,8.375
1997-03-20,8.625,8.75,8.625,8.625,23800,8.625
1997-03-19,9.125,9.125,8.625,8.75,9500,8.75
1997-03-18,9.125,9.125,8.875,9.125,30400,9.125
1997-03-17,9.00,9.1875,8.875,9.125,43000,9.125
1997-03-14,8.75,8.75,8.75,8.75,6200,8.75
1997-03-13,9.00,9.00,8.75,8.875,13700,8.875
1997-03-12,8.875,8.875,8.625,8.75,18800,8.75
1997-03-11,8.50,9.00,8.50,8.75,39300,8.75
1997-03-10,8.50,8.50,8.125,8.50,32100,8.50
1997-03-07,8.00,8.375,8.00,8.125,8800,8.125
1997-03-06,8.125,8.125,8.00,8.125,29500,8.125
1997-03-05,8.125,8.125,8.00,8.125,8800,8.125
1997-03-04,8.00,8.125,8.00,8.00,24800,8.00
1997-03-03,7.75,8.00,7.75,8.00,26800,8.00
1997-02-28,8.00,8.25,7.625,7.75,24300,7.75
1997-02-27,8.25,8.375,7.98438,8.00,28400,8.00
1997-02-26,8.125,8.50,8.125,8.125,22900,8.125
1997-02-25,8.375,8.50,8.25,8.25,7900,8.25
1997-02-24,8.50,8.50,8.25,8.25,23100,8.25
1997-02-21,8.50,8.50,8.25,8.25,2000,8.25
1997-02-20,8.50,8.50,8.125,8.25,39300,8.25
1997-02-19,7.75,8.75,7.75,8.375,777700,8.375
1997-02-18,8.25,8.25,8.00,8.125,11300,8.125
1997-02-14,8.00,8.25,8.00,8.00,93700,8.00
1997-02-13,7.875,8.00,7.625,8.00,22800,8.00
1997-02-12,7.875,7.875,7.625,7.625,6400,7.625
1997-02-11,7.625,7.875,7.625,7.875,3000,7.875
1997-02-10,7.625,7.875,7.625,7.875,700,7.875
1997-02-07,7.75,8.00,7.625,7.625,15700,7.625
1997-02-06,7.75,8.00,7.625,8.00,17500,8.00
1997-02-05,7.75,8.00,7.75,8.00,13200,8.00
1997-02-04,8.00,8.00,7.75,7.75,5500,7.75
1997-02-03,7.625,7.875,7.625,7.875,48100,7.875
1997-01-31,7.875,7.875,7.625,7.875,6800,7.875
1997-01-30,7.625,7.875,7.625,7.875,49400,7.875
1997-01-29,7.625,7.75,7.625,7.625,18800,7.625
1997-01-28,7.625,7.75,7.625,7.625,7600,7.625
1997-01-27,7.75,7.75,7.625,7.625,110500,7.625
1997-01-24,7.75,8.125,7.75,7.75,16800,7.75
1997-01-23,7.75,8.00,7.75,8.00,4000,8.00
1997-01-22,8.00,8.00,7.875,7.875,63700,7.875
1997-01-21,7.875,8.00,7.875,7.875,19500,7.875
1997-01-20,8.00,8.00,7.875,7.9375,49900,7.9375
1997-01-17,7.9375,8.00,7.875,7.875,22300,7.875
1997-01-16,7.625,7.875,7.625,7.875,50600,7.875
1997-01-15,7.375,7.375,7.375,7.375,1700,7.375
1997-01-14,7.375,7.625,7.375,7.375,8400,7.375
1997-01-13,7.50,7.625,7.375,7.375,31000,7.375
1997-01-10,7.625,7.625,7.625,7.625,1500,7.625
1997-01-09,7.875,8.00,7.875,7.875,4200,7.875
1997-01-08,7.875,7.875,7.875,7.875,300,7.875
1997-01-07,7.875,7.875,7.875,7.875,5400,7.875
1997-01-06,7.875,8.125,7.875,8.00,16200,8.00
1997-01-03,8.125,8.125,7.875,7.875,3900,7.875
1997-01-02,7.75,8.00,7.75,8.00,8100,8.00
1996-12-31,8.00,8.00,7.625,7.75,35600,7.75
1996-12-30,7.875,8.375,7.625,7.75,91800,7.75
1996-12-27,8.25,8.25,8.00,8.00,1700,8.00
1996-12-26,7.875,8.00,7.875,7.875,12000,7.875
1996-12-24,8.00,8.00,8.00,8.00,000,8.00
1996-12-23,8.0625,8.0625,7.875,8.00,31500,8.00
1996-12-20,8.00,8.00,7.875,7.875,5800,7.875
1996-12-19,7.875,8.25,7.875,8.25,4300,8.25
1996-12-18,7.875,8.125,7.875,7.875,8200,7.875
1996-12-17,8.25,8.25,7.875,7.875,11700,7.875
1996-12-16,8.125,8.25,8.00,8.25,51100,8.25
1996-12-13,8.125,8.125,8.125,8.125,2000,8.125
1996-12-12,8.125,8.25,8.125,8.125,32100,8.125
1996-12-11,8.125,8.125,8.125,8.125,4700,8.125
1996-12-10,8.25,8.375,8.125,8.125,20200,8.125
1996-12-09,8.375,8.50,8.125,8.50,19900,8.50
1996-12-06,8.00,8.25,8.00,8.25,8300,8.25
1996-12-05,8.375,8.625,8.375,8.50,4000,8.50
1996-12-04,8.375,8.50,8.25,8.50,25800,8.50
1996-12-03,8.875,8.875,8.375,8.375,19600,8.375
1996-12-02,8.75,8.875,8.625,8.75,22500,8.75
1996-11-29,8.75,8.75,8.50,8.50,1100,8.50
1996-11-27,8.625,8.75,8.375,8.50,19800,8.50
1996-11-26,8.25,8.50,8.25,8.375,9500,8.375
1996-11-25,9.00,9.00,8.25,8.25,13300,8.25
1996-11-22,8.625,9.00,8.625,8.625,22400,8.625
1996-11-21,9.125,9.125,8.625,8.875,22900,8.875
1996-11-20,9.125,9.125,8.875,8.875,137600,8.875
1996-11-19,9.125,9.125,8.875,8.875,4700,8.875
1996-11-18,9.25,9.375,8.875,8.875,27700,8.875
1996-11-15,9.25,9.625,9.25,9.375,18700,9.375
1996-11-14,9.25,9.50,9.25,9.25,16500,9.25
1996-11-13,9.375,9.50,9.25,9.50,32300,9.50
1996-11-12,8.875,9.25,8.875,9.25,24400,9.25
1996-11-11,8.875,9.125,8.875,8.875,17900,8.875
1996-11-08,8.75,9.125,8.75,9.00,52300,9.00
1996-11-07,8.875,9.00,8.625,8.75,106000,8.75
1996-11-06,8.625,8.75,8.625,8.625,19200,8.625
1996-11-05,8.875,8.875,8.625,8.75,8500,8.75
1996-11-04,8.625,8.875,8.625,8.625,5800,8.625
1996-11-01,8.875,8.875,8.625,8.625,12700,8.625
1996-10-31,9.125,9.125,8.50,8.875,85500,8.875
1996-10-30,9.125,9.25,8.875,9.125,28100,9.125
1996-10-29,8.75,9.125,8.75,9.125,21200,9.125
1996-10-28,8.50,9.125,8.50,8.75,61800,8.75
1996-10-25,8.50,8.625,8.375,8.625,13700,8.625
1996-10-24,8.375,8.50,8.375,8.50,22000,8.50
1996-10-23,8.00,8.50,8.00,8.50,89500,8.50
1996-10-22,8.00,8.375,8.00,8.375,3500,8.375
1996-10-21,8.00,8.25,8.00,8.25,35000,8.25
1996-10-18,8.00,8.25,7.875,8.25,45900,8.25
1996-10-17,7.875,8.25,7.875,7.875,3100,7.875
1996-10-16,7.875,8.25,7.875,8.00,74600,8.00
1996-10-15,7.875,8.25,7.875,8.125,10500,8.125
1996-10-14,7.875,8.25,7.875,8.00,11700,8.00
1996-10-11,7.875,8.125,7.625,7.875,26600,7.875
1996-10-10,7.625,7.875,7.50,7.875,34700,7.875
1996-10-09,7.375,7.75,7.375,7.5625,40400,7.5625
1996-10-08,7.50,7.625,7.375,7.375,28500,7.375
1996-10-07,7.125,7.375,7.125,7.125,21800,7.125
1996-10-04,7.125,7.375,7.125,7.125,7600,7.125
1996-10-03,7.375,7.375,7.125,7.25,102600,7.25
1996-10-02,7.25,7.375,7.00,7.25,22800,7.25
1996-10-01,7.00,7.25,7.00,7.1875,8500,7.1875
1996-09-30,7.00,7.25,7.00,7.00,16600,7.00
1996-09-27,7.125,7.25,7.00,7.00,29600,7.00
1996-09-26,7.00,7.25,7.00,7.25,5800,7.25
1996-09-25,7.00,7.00,6.875,6.875,33200,6.875
1996-09-24,7.125,7.125,6.875,7.00,44300,7.00
1996-09-23,7.25,7.25,7.00,7.00,11600,7.00
1996-09-20,6.875,7.125,6.875,7.00,33300,7.00
1996-09-19,7.25,7.25,7.00,7.00,17600,7.00
1996-09-18,7.00,7.25,7.00,7.00,7600,7.00
1996-09-17,7.125,7.375,7.00,7.00,9200,7.00
1996-09-16,7.50,7.50,7.125,7.125,8300,7.125
1996-09-13,7.25,7.50,7.00,7.25,40400,7.25
1996-09-12,7.375,7.375,7.00,7.25,11000,7.25
1996-09-11,7.375,7.375,7.125,7.125,9300,7.125
1996-09-10,7.50,7.50,7.25,7.25,12100,7.25
1996-09-09,7.625,7.625,7.375,7.375,25000,7.375
1996-09-06,7.50,7.625,7.50,7.50,10500,7.50
1996-09-05,7.375,7.625,7.375,7.625,32300,7.625
1996-09-04,7.625,7.625,7.375,7.375,7500,7.375
1996-09-03,7.375,7.625,7.375,7.375,4600,7.375
1996-08-30,7.375,7.625,7.375,7.375,28000,7.375
1996-08-29,7.50,7.625,7.375,7.375,54300,7.375
1996-08-28,7.625,7.625,7.25,7.50,46100,7.50
1996-08-27,7.875,7.875,7.375,7.375,95400,7.375
1996-08-26,7.375,7.875,7.125,7.875,52500,7.875
1996-08-23,7.375,7.375,7.125,7.375,11500,7.375
1996-08-22,7.25,7.375,7.00,7.375,59300,7.375
1996-08-21,6.875,7.1875,6.75,7.1875,111600,7.1875
1996-08-20,7.00,7.125,6.75,6.75,35200,6.75
1996-08-19,7.25,7.25,6.875,7.00,28200,7.00
1996-08-16,6.375,7.125,6.1875,7.125,75900,7.125
1996-08-15,6.00,6.375,6.00,6.375,80700,6.375
1996-08-14,6.00,6.125,6.00,6.125,8800,6.125
1996-08-13,6.00,6.00,6.00,6.00,6000,6.00
1996-08-12,6.125,6.125,6.00,6.00,2000,6.00
