Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.41,13.41,12.50,12.93,69300,12.93
2016-01-22,12.76,13.21,12.60,12.69,102300,12.69
2016-01-21,12.825,12.87,12.45,12.52,172900,12.52
2016-01-20,12.62,13.00,12.29,12.65,135900,12.65
2016-01-19,12.68,13.285,12.68,12.89,52200,12.89
2016-01-15,12.25,12.90,12.12,12.60,102300,12.60
2016-01-14,12.51,13.05,12.15,12.48,91000,12.48
2016-01-13,13.68,13.86,12.08,12.51,139900,12.51
2016-01-12,13.94,14.47,13.25,13.39,94500,13.39
2016-01-11,14.01,14.47,13.39,13.78,123600,13.78
2016-01-08,14.93,15.55,13.43,13.78,83100,13.78
2016-01-07,16.41,16.41,14.18,14.67,67600,14.67
2016-01-06,16.52,17.309999,16.02,16.50,69700,16.50
2016-01-05,17.01,17.200001,16.370001,16.90,77900,16.90
2016-01-04,16.24,17.16,16.07,17.00,127000,17.00
2015-12-31,17.139999,17.26,16.219999,16.60,139100,16.60
2015-12-30,17.48,18.00,17.059999,17.209999,112700,17.209999
2015-12-29,17.90,18.00,17.10,17.610001,52800,17.610001
2015-12-28,18.469999,18.73,17.389999,17.90,111900,17.90
2015-12-24,18.74,18.75,18.004999,18.32,39700,18.32
2015-12-23,18.57,19.76,18.139999,18.709999,80800,18.709999
2015-12-22,18.200001,18.77,17.809999,18.559999,81400,18.559999
2015-12-21,18.16,18.83,17.639999,18.200001,103400,18.200001
2015-12-18,18.85,19.42,17.58,17.799999,1039000,17.799999
2015-12-17,18.780001,20.261999,18.49,18.610001,139000,18.610001
2015-12-16,19.77,20.040001,18.59,18.91,177600,18.91
2015-12-15,19.10,19.799999,18.00,19.34,164800,19.34
2015-12-14,19.60,20.219999,18.309999,18.65,57300,18.65
2015-12-11,19.299999,20.43,19.17,19.98,105100,19.98
2015-12-10,20.549999,20.99,19.115,19.49,95000,19.49
2015-12-09,21.969999,22.610001,20.049999,20.83,101300,20.83
2015-12-08,21.59,22.60,21.065001,22.08,112600,22.08
2015-12-07,23.200001,23.200001,21.299999,21.83,81800,21.83
2015-12-04,23.900999,23.91,21.84,23.200001,59000,23.200001
2015-12-03,23.34,24.049999,22.25,23.360001,58800,23.360001
2015-12-02,23.33,23.91,23.139999,23.50,53600,23.50
2015-12-01,23.559999,24.575001,23.32,23.629999,97300,23.629999
2015-11-30,25.00,25.00,23.50,23.969999,31900,23.969999
2015-11-27,24.301001,24.99,23.576,24.780001,18900,24.780001
2015-11-25,24.15,24.49,22.75,24.299999,35700,24.299999
2015-11-24,23.65,24.34,22.85,24.34,58800,24.34
2015-11-23,22.93,23.950001,22.83,23.92,26400,23.92
2015-11-20,22.889999,23.299999,22.580999,23.01,20900,23.01
2015-11-19,22.59,23.25,22.00,22.985001,36300,22.985001
2015-11-18,22.24,23.00,21.299999,22.76,92500,22.76
2015-11-17,21.41,22.530001,20.459999,22.26,117700,22.26
2015-11-16,23.18,23.280001,20.02,21.34,92500,21.34
2015-11-13,22.809999,23.940001,21.629999,23.200001,57400,23.200001
2015-11-12,20.85,23.950001,20.85,23.08,88600,23.08
2015-11-11,21.620001,22.99,19.889999,22.98,67100,22.98
2015-11-10,20.879999,23.25,20.879999,21.530001,51400,21.530001
2015-11-09,20.51,21.940001,18.950001,21.07,109100,21.07
2015-11-06,17.90,20.92,17.01,20.559999,65200,20.559999
2015-11-05,17.99,19.26,17.157,17.92,45100,17.92
2015-11-04,17.09,18.450001,15.32,18.030001,90900,18.030001
2015-11-03,16.40,17.389999,16.08,17.129999,65400,17.129999
2015-11-02,15.34,17.10,14.80,16.440001,80200,16.440001
2015-10-30,15.41,15.53,14.904,15.46,37800,15.46
2015-10-29,14.88,15.72,14.60,15.54,45100,15.54
2015-10-28,15.92,15.92,14.545,15.21,39100,15.21
2015-10-27,14.89,14.89,14.12,14.68,40800,14.68
2015-10-26,13.94,15.36,13.77,14.95,32400,14.95
2015-10-23,15.57,15.57,13.95,14.15,310000,14.15
2015-10-22,16.620001,16.688999,14.83,15.15,275500,15.15
2015-10-21,16.98,17.323999,15.50,16.48,177500,16.48
2015-10-20,17.59,18.51,17.26,17.469999,166700,17.469999
2015-10-19,18.299999,18.50,16.90,17.10,94000,17.10
2015-10-16,18.90,18.940001,17.524,18.549999,48800,18.549999
2015-10-15,18.129999,18.879999,17.120001,18.870001,114100,18.870001
2015-10-14,18.450001,19.00,17.035,17.889999,137900,17.889999
2015-10-13,19.10,19.52,16.799999,18.209999,168900,18.209999
2015-10-12,20.780001,20.940001,19.00,19.280001,140500,19.280001
2015-10-09,21.280001,21.98,20.23,20.530001,99800,20.530001
2015-10-08,23.15,23.15,20.105,20.940001,161400,20.940001
2015-10-07,22.50,24.209999,18.559999,23.40,325000,23.40
2015-10-06,22.799999,23.860001,20.15,22.200001,173700,22.200001
2015-10-05,23.049999,24.48,22.549999,23.049999,127100,23.049999
2015-10-02,19.00,23.49,19.00,22.190001,456100,22.190001
2015-10-01,22.15,23.82,18.51,19.01,263600,19.01
2015-09-30,20.01,22.889999,19.58,22.030001,235500,22.030001
2015-09-29,20.52,20.52,17.51,19.52,206200,19.52
2015-09-28,25.00,25.90,20.00,20.76,254700,20.76
2015-09-25,26.40,26.99,24.16,24.99,142000,24.99
2015-09-24,24.379999,26.77,24.10,26.43,206700,26.43
2015-09-23,25.790001,25.790001,22.650999,24.51,440800,24.51
2015-09-22,29.34,29.40,25.082001,26.049999,714400,26.049999
2015-09-21,30.84,30.84,29.49,29.809999,296800,29.809999
2015-09-18,29.90,30.780001,29.35,30.700001,487400,30.700001
2015-09-17,30.26,32.00,29.25,30.450001,6597500,30.450001
