Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,21.51,22.00,20.879999,21.629999,96500,21.629999
2016-01-22,19.200001,21.58,19.00,21.51,189900,21.51
2016-01-21,18.99,19.440001,18.52,19.02,107300,19.02
2016-01-20,19.360001,19.398001,17.450001,18.99,195500,18.99
2016-01-19,19.33,19.459999,18.57,19.370001,174400,19.370001
2016-01-15,19.59,19.85,18.450001,19.200001,153200,19.200001
2016-01-14,18.08,20.25,17.85,20.110001,184700,20.110001
2016-01-13,17.139999,17.870001,17.139999,17.809999,193200,17.809999
2016-01-12,16.530001,17.43,16.530001,17.190001,283200,17.190001
2016-01-11,15.94,16.700001,15.94,16.43,133800,16.43
2016-01-08,15.69,16.059999,15.54,15.88,166800,15.88
2016-01-07,15.95,16.25,15.51,15.71,262800,15.71
2016-01-06,15.80,16.222,15.70,15.97,83400,15.97
2016-01-05,15.85,16.289,15.38,15.82,370000,15.82
2016-01-04,14.22,15.89,14.00,15.67,235400,15.67
2015-12-31,14.44,14.71,14.08,14.41,247200,14.41
2015-12-30,14.32,14.63,14.30,14.44,197600,14.44
2015-12-29,13.95,14.47,13.90,14.40,150900,14.40
2015-12-28,13.45,14.89,13.40,13.98,399100,13.98
2015-12-24,13.40,13.62,13.40,13.45,147000,13.45
2015-12-23,13.00,13.91,13.00,13.43,312900,13.43
2015-12-22,13.63,14.07,13.20,13.32,516300,13.32
2015-12-21,16.10,16.700001,14.00,14.05,768800,14.05
2015-12-18,14.49,17.65,14.49,16.76,570800,16.76
2015-12-17,13.03,14.58,13.01,14.44,148000,14.44
2015-12-16,14.70,15.04,13.01,13.28,404400,13.28
2015-12-15,13.00,16.049999,12.50,13.00,1174400,13.00
2015-12-14,13.00,13.00,11.89,11.89,19100,11.89
