Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,0.85,0.90,0.81,0.90,14500,0.90
2016-01-22,0.83,0.85,0.81,0.85,8400,0.85
2016-01-21,0.77,0.85,0.77,0.83,20300,0.83
2016-01-20,0.80,0.80,0.79,0.79,3600,0.79
2016-01-19,0.81,0.81,0.77,0.80,15800,0.80
2016-01-15,0.80,0.82,0.76,0.77,24200,0.77
2016-01-14,0.80,0.80,0.76,0.79,19800,0.79
2016-01-13,0.80,0.83,0.80,0.81,12000,0.81
2016-01-12,0.84,0.85,0.81,0.83,26500,0.83
2016-01-11,0.80,0.84,0.80,0.83,38400,0.83
2016-01-08,0.92,0.93,0.83,0.83,41500,0.83
2016-01-07,1.02,1.02,0.88,0.92,95100,0.92
2016-01-06,1.20,1.22,1.00,1.04,60500,1.04
2016-01-05,1.29,1.29,1.17,1.20,11500,1.20
2016-01-04,1.33,1.33,1.28,1.29,7800,1.29
2015-12-31,1.36,1.45,1.29,1.35,20100,1.35
2015-12-30,1.29,1.40,1.29,1.34,29700,1.34
2015-12-29,1.35,1.40,1.30,1.35,55100,1.35
2015-12-28,1.50,1.55,1.39,1.40,88300,1.40
2015-12-24,1.60,1.69,1.45,1.50,253100,1.50
2015-12-23,1.86,2.03,1.75,1.79,67600,1.79
2015-12-22,2.04,2.07,1.85,1.85,21000,1.85
2015-12-21,2.11,2.11,1.73,1.85,39000,1.85
2015-12-18,1.87,2.20,1.87,2.02,66800,2.02
2015-12-17,1.90,1.90,1.70,1.82,86700,1.82
2015-12-16,2.18,2.18,1.96,1.97,19300,1.97
2015-12-15,1.99,2.23,1.91,2.04,17500,2.04
2015-12-14,2.51,2.65,1.93,1.96,43400,1.96
2015-12-11,2.12,2.55,2.12,2.49,54000,2.49
2015-12-10,1.93,2.40,1.93,2.17,41900,2.17
2015-12-09,2.47,2.52,1.91,1.91,62600,1.91
2015-12-08,2.53,2.61,2.20,2.38,71000,2.38
2015-12-07,3.37,3.37,2.35,2.36,84700,2.36
2015-12-04,3.32,3.39,3.20,3.38,12100,3.38
2015-12-03,3.18,3.66,3.18,3.35,14200,3.35
2015-12-02,3.75,3.87,3.11,3.11,24500,3.11
2015-12-01,3.75,3.92,3.53,3.62,2500,3.62
2015-11-30,3.88,3.88,3.31,3.62,13800,3.62
2015-11-27,3.65,3.91,3.57,3.91,900,3.91
2015-11-25,3.75,4.07,3.75,3.90,14100,3.90
2015-11-24,3.34,3.80,3.27,3.63,12300,3.63
2015-11-23,4.11,4.11,3.69,3.74,16700,3.74
2015-11-20,4.15,4.35,3.88,4.20,8700,4.20
2015-11-19,4.42,4.99,4.12,4.15,15800,4.15
2015-11-18,4.10,4.70,4.10,4.40,22100,4.40
2015-11-17,3.20,4.21,3.20,4.08,67000,4.08
2015-11-16,2.56,3.20,2.20,3.10,38100,3.10
2015-11-13,2.35,2.55,2.10,2.55,18600,2.55
2015-11-12,3.50,3.50,2.24,2.24,39900,2.24
2015-11-11,3.63,3.65,3.50,3.50,2500,3.50
2015-11-10,4.28,4.28,3.52,3.55,13200,3.55
2015-11-09,4.50,4.87,4.13,4.13,7300,4.13
2015-11-06,4.50,4.65,4.31,4.43,11300,4.43
2015-11-05,5.26,5.30,4.20,4.60,8200,4.60
