Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.82,13.82,12.50,12.59,219400,12.59
2016-01-22,12.87,14.70,12.71,13.83,398700,13.83
2016-01-21,13.06,13.25,12.42,12.68,218000,12.68
2016-01-20,14.00,14.04,12.50,12.92,479500,12.92
2016-01-19,15.85,15.975,14.22,14.26,325700,14.26
2016-01-15,15.14,15.86,14.94,15.79,379400,15.79
2016-01-14,14.75,16.75,14.58,15.92,546800,15.92
2016-01-13,14.25,15.27,14.25,14.87,429200,14.87
2016-01-12,14.03,14.85,14.00,14.64,327400,14.64
2016-01-11,14.19,14.26,13.24,14.04,284300,14.04
2016-01-08,14.86,14.97,14.00,14.24,228200,14.24
2016-01-07,15.24,15.97,14.57,14.88,296700,14.88
2016-01-06,14.49,15.79,14.133,15.15,299000,15.15
2016-01-05,14.55,14.78,14.40,14.46,310600,14.46
2016-01-04,15.00,15.00,14.35,14.53,401900,14.53
2015-12-31,14.88,15.33,14.85,15.13,164000,15.13
2015-12-30,14.90,15.30,14.89,14.97,116100,14.97
2015-12-29,15.52,15.745,14.75,14.99,202500,14.99
2015-12-28,15.46,15.67,15.05,15.39,130700,15.39
2015-12-24,15.39,15.897,15.00,15.44,86000,15.44
2015-12-23,15.94,15.98,15.34,15.49,277100,15.49
2015-12-22,15.76,15.89,15.29,15.83,343600,15.83
2015-12-21,16.290001,17.773001,15.42,15.67,335100,15.67
2015-12-18,17.35,17.68,16.200001,16.27,753300,16.27
2015-12-17,17.00,17.93,17.00,17.32,393000,17.32
2015-12-16,16.18,17.040001,15.822,16.91,275400,16.91
2015-12-15,15.35,16.219999,15.24,15.98,334400,15.98
2015-12-14,15.36,15.76,15.13,15.19,150200,15.19
2015-12-11,15.25,15.62,15.15,15.31,213400,15.31
2015-12-10,15.43,15.83,15.18,15.59,192500,15.59
2015-12-09,15.59,16.290001,15.12,15.27,339900,15.27
2015-12-08,16.049999,16.299999,15.83,15.91,236400,15.91
2015-12-07,16.09,16.444,15.67,16.17,199600,16.17
