Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.78,8.85,8.14,8.41,600000,8.41
2016-01-22,9.37,9.70,8.53,8.79,1037100,8.79
2016-01-21,8.62,9.07,8.455,8.97,1195800,8.97
2016-01-20,7.25,9.205,6.94,8.54,1686000,8.54
2016-01-19,7.83,7.89,7.30,7.40,743500,7.40
2016-01-15,7.75,7.90,7.26,7.75,903100,7.75
2016-01-14,8.08,8.55,7.78,8.00,1156400,8.00
2016-01-13,8.60,8.76,8.032,8.25,795500,8.25
2016-01-12,9.35,9.50,8.40,8.67,598600,8.67
2016-01-11,9.65,9.70,9.08,9.31,577600,9.31
2016-01-08,9.35,9.95,9.25,9.75,552500,9.75
2016-01-07,9.80,9.97,9.16,9.21,1692400,9.21
2016-01-06,9.27,10.38,9.078,10.20,3534100,10.20
2016-01-05,10.88,11.00,9.42,9.61,1947000,9.61
2016-01-04,11.27,11.49,11.08,11.21,576800,11.21
2015-12-31,11.76,11.95,11.64,11.77,319100,11.77
2015-12-30,11.65,12.07,11.45,11.72,315600,11.72
2015-12-29,11.79,12.05,11.07,11.70,626600,11.70
2015-12-28,12.11,12.38,11.60,11.67,637500,11.67
2015-12-24,11.69,12.47,11.60,12.19,385000,12.19
2015-12-23,11.95,12.36,11.55,11.88,1104200,11.88
2015-12-22,13.45,13.65,11.41,11.60,2505500,11.60
2015-12-21,14.15,14.95,13.13,13.40,3150800,13.40
2015-12-18,12.45,13.95,11.95,13.74,3043700,13.74
2015-12-17,12.85,13.30,11.79,12.71,3604500,12.71
2015-12-16,11.17,12.17,10.89,11.63,3488400,11.63
2015-12-15,9.26,11.29,9.16,9.49,2041800,9.49
2015-12-14,7.95,9.38,7.83,9.10,940800,9.10
2015-12-11,7.46,8.02,7.46,7.86,450900,7.86
2015-12-10,7.60,7.83,7.56,7.57,364800,7.57
2015-12-09,7.79,8.035,7.548,7.71,332300,7.71
2015-12-08,8.11,8.11,7.625,7.77,388900,7.77
2015-12-07,7.79,8.37,7.735,7.91,439800,7.91
2015-12-04,7.95,8.035,7.66,7.85,436100,7.85
2015-12-03,7.52,8.35,7.52,7.95,1041500,7.95
2015-12-02,7.05,7.46,6.913,7.39,620900,7.39
2015-12-01,6.70,7.14,6.53,7.05,351600,7.05
2015-11-30,7.23,7.285,6.61,6.65,548300,6.65
2015-11-27,6.81,7.41,6.81,7.22,445700,7.22
2015-11-25,6.70,6.84,6.60,6.75,476000,6.75
2015-11-24,6.59,6.82,6.59,6.74,476400,6.74
2015-11-23,6.62,6.959,6.56,6.60,384600,6.60
2015-11-20,6.59,6.74,6.51,6.67,366600,6.67
2015-11-19,6.51,6.784,6.45,6.50,363900,6.50
2015-11-18,6.80,7.01,6.36,6.55,561600,6.55
2015-11-17,7.04,7.25,6.51,6.72,1087700,6.72
2015-11-16,7.40,7.40,6.84,7.00,624100,7.00
2015-11-13,6.39,7.93,6.39,7.31,989200,7.31
2015-11-12,6.99,6.99,6.36,6.58,505400,6.58
2015-11-11,7.24,7.45,6.87,6.99,536300,6.99
2015-11-10,7.67,7.93,7.25,7.27,394700,7.27
2015-11-09,8.29,8.29,7.55,7.73,199000,7.73
2015-11-06,8.02,8.10,7.57,7.82,293600,7.82
2015-11-05,7.80,8.11,7.72,8.07,307600,8.07
2015-11-04,7.68,7.92,7.50,7.71,754300,7.71
2015-11-03,7.37,7.70,7.19,7.52,851700,7.52
2015-11-02,7.37,7.58,7.11,7.36,603200,7.36
2015-10-30,8.81,8.83,7.00,7.41,2015100,7.41
