Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,19.360001,19.41,18.969999,19.120001,156700,19.120001
2016-01-22,19.59,19.59,19.309999,19.440001,59600,19.440001
2016-01-21,19.02,19.101999,18.870001,19.00,92700,19.00
2016-01-20,18.620001,18.870001,18.60,18.85,89600,18.85
2016-01-19,19.17,19.17,18.620001,18.771,15700,18.771
2016-01-15,19.299999,19.299999,19.299999,19.299999,000,19.299999
2016-01-14,19.299999,19.299999,19.299999,19.299999,600,19.299999
2016-01-13,19.76,19.76,18.83,18.83,19100,18.83
2016-01-12,19.75,19.75,19.49,19.50,17200,19.50
2016-01-11,19.65,19.65,19.50,19.50,12400,19.50
2016-01-08,21.33,21.33,21.33,21.33,000,21.33
2016-01-07,21.33,21.33,21.33,21.33,000,21.33
2016-01-06,21.33,21.33,21.33,21.33,000,21.33
2016-01-05,21.33,21.33,21.33,21.33,000,21.33
2016-01-04,21.360001,21.360001,21.33,21.33,800,21.33
2015-12-31,21.945,21.945,21.945,21.945,200,21.945
2015-12-30,21.90,21.90,21.90,21.90,000,21.90
2015-12-29,21.90,21.90,21.90,21.90,000,21.90
2015-12-28,21.90,21.90,21.90,21.90,000,21.90
2015-12-24,21.90,21.90,21.90,21.90,000,21.90
2015-12-23,21.90,21.90,21.90,21.90,000,21.90
2015-12-22,21.90,21.90,21.90,21.90,000,21.90
2015-12-21,21.90,21.90,21.90,21.90,300,21.90
2015-12-18,21.825001,21.84,21.57,21.57,1800,21.57
2015-12-17,21.889999,21.889999,21.799999,21.799999,1800,21.799999
2015-12-16,21.48,21.77,21.48,21.77,400,21.77
2015-12-15,21.32,21.559,21.267,21.436001,8500,21.436001
2015-12-14,21.406,21.43,21.219999,21.24,49400,21.24
2015-12-11,21.809999,21.860001,21.459999,21.610001,293800,21.610001
2015-12-10,21.950001,22.15,21.950001,22.08,41300,22.08
2015-12-09,22.204,22.309999,22.204,22.257,300,22.257
2015-12-08,22.139999,22.139999,22.063999,22.063999,1200,22.063999
2015-12-07,22.493999,22.493999,22.493999,22.493999,000,22.493999
2015-12-04,22.493999,22.493999,22.493999,22.493999,100,22.493999
2015-12-03,21.76,22.82,21.76,22.82,2600,22.82
2015-12-02,22.907,22.907,22.907,22.907,000,22.907
2015-12-01,22.711,22.907,22.711,22.907,2500,22.907
2015-11-30,22.698999,22.855,22.698999,22.855,2000,22.855
2015-11-27,22.718,22.718,22.718,22.718,000,22.718
2015-11-25,22.691999,22.718,22.691,22.718,800,22.718
2015-11-24,22.246,22.43,22.246,22.365,1400,22.365
2015-11-23,22.184,22.184,22.184,22.184,000,22.184
2015-11-20,22.184,22.184,22.184,22.184,000,22.184
2015-11-19,22.184,22.184,22.184,22.184,000,22.184
2015-11-18,22.184,22.184,22.184,22.184,000,22.184
2015-11-17,22.042999,22.184,22.016001,22.184,3400,22.184
2015-11-16,22.209999,22.209999,22.209999,22.209999,000,22.209999
2015-11-13,22.209999,22.209999,22.209999,22.209999,000,22.209999
2015-11-12,22.167999,22.212,22.110001,22.209999,1500,22.209999
2015-11-11,22.85,22.85,22.280001,22.290001,1200,22.290001
2015-11-10,22.725,22.725,22.59,22.59,400,22.59
2015-11-09,23.087,23.087,23.087,23.087,000,23.087
2015-11-06,23.087,23.087,23.087,23.087,000,23.087
2015-11-05,23.086,23.087,23.086,23.087,500,23.087
2015-11-04,22.879999,22.879999,22.879999,22.879999,300,22.879999
2015-11-03,23.139,23.139,23.139,23.139,200,23.139
2015-11-02,22.455999,22.455999,22.455999,22.455999,000,22.455999
2015-10-30,22.455999,22.455999,22.455999,22.455999,000,22.455999
2015-10-29,22.455999,22.455999,22.455999,22.455999,000,22.455999
2015-10-28,22.455999,22.455999,22.455999,22.455999,300,22.455999
2015-10-27,22.48,22.48,22.48,22.48,000,22.48
2015-10-26,22.48,22.48,22.48,22.48,500,22.48
2015-10-23,23.00,23.00,22.559999,22.656,1100,22.656
2015-10-22,22.389999,22.389999,22.389999,22.389999,000,22.389999
2015-10-21,22.73,22.73,22.389999,22.389999,700,22.389999
2015-10-20,22.816,22.816,22.469999,22.68,18700,22.68
2015-10-19,22.756001,22.756001,22.664,22.664,800,22.664
2015-10-16,22.799999,22.799999,22.799999,22.799999,300,22.799999
2015-10-15,22.809999,22.809999,22.809999,22.809999,000,22.809999
2015-10-14,22.809999,22.809999,22.809999,22.809999,000,22.809999
2015-10-13,23.26,23.26,22.809999,22.809999,300,22.809999
2015-10-12,23.232,23.232,23.232,23.232,700,23.232
2015-10-09,23.219999,23.219999,23.17,23.17,1600,23.17
2015-10-08,22.93,22.93,22.93,22.93,000,22.93
2015-10-07,23.09,23.09,22.65,22.93,1500,22.93
2015-10-06,22.57,22.57,22.43,22.50,6500,22.50
2015-10-05,22.25,22.50,22.200001,22.50,1300,22.50
2015-10-02,21.17,21.17,21.17,21.17,000,21.17
2015-10-01,21.33,21.33,21.120001,21.17,500,21.17
2015-09-30,21.09,21.424,21.08,21.424,7900,21.424
2015-09-29,22.469999,22.469999,21.190001,21.190001,7000,21.190001
2015-09-28,21.52,21.52,21.52,21.52,700,21.52
2015-09-25,22.469999,22.469999,22.469999,22.469999,000,22.469999
2015-09-24,22.469999,22.469999,22.469999,22.469999,000,22.469999
2015-09-23,22.42,22.469999,22.42,22.469999,200,22.469999
