Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.73,9.73,9.448,9.60,53300,9.60
2016-01-22,9.82,9.82,9.054,9.79,41600,9.79
2016-01-21,9.63,9.82,9.53,9.75,82700,9.75
2016-01-20,9.47,9.82,9.28,9.62,156200,9.62
2016-01-19,9.60,9.69,9.43,9.61,124700,9.61
2016-01-15,9.30,9.53,9.25,9.50,341600,9.50
2016-01-14,9.55,9.70,9.48,9.51,110400,9.51
2016-01-13,9.53,9.61,9.31,9.48,89400,9.48
2016-01-12,9.57,9.57,9.39,9.48,75500,9.48
2016-01-11,9.33,9.60,9.25,9.49,74500,9.49
2016-01-08,9.48,9.66,9.40,9.41,52800,9.41
2016-01-07,9.73,9.84,9.37,9.49,96400,9.49
2016-01-06,9.80,10.13,9.80,9.86,37900,9.86
2016-01-05,10.10,10.10,9.72,9.90,24100,9.90
2016-01-04,9.75,9.84,9.51,9.82,101500,9.82
2015-12-31,9.99,10.10,9.67,9.81,96500,9.81
2015-12-30,10.18,10.39,9.96,10.00,31000,10.00
2015-12-29,9.89,10.15,9.83,10.11,395300,10.11
2015-12-28,9.73,9.92,9.73,9.85,61000,9.85
2015-12-24,9.88,10.16,9.71,9.80,22400,9.80
2015-12-23,9.98,10.20,9.313,9.85,75100,9.85
2015-12-22,9.92,10.07,9.86,9.91,53600,9.91
2015-12-21,9.51,9.98,9.40,9.89,705800,9.89
2015-12-18,9.53,9.59,9.30,9.51,249200,9.51
2015-12-17,9.71,9.81,9.50,9.57,69300,9.57
2015-12-16,9.74,9.82,9.64,9.69,139800,9.69
2015-12-15,9.65,9.79,9.54,9.70,118800,9.70
2015-12-14,9.62,9.69,9.48,9.62,716500,9.62
2015-12-11,9.51,9.66,9.342,9.60,142900,9.54
2015-12-10,9.73,9.76,9.62,9.65,162500,9.589687
2015-12-09,9.60,9.75,9.60,9.70,113500,9.639375
2015-12-08,9.65,9.73,9.50,9.63,436200,9.569812
2015-12-07,9.80,9.93,9.66,9.69,72000,9.629437
2015-12-04,9.76,9.96,9.71,9.79,202300,9.728812
2015-12-03,10.21,10.21,9.75,9.78,79700,9.718875
2015-12-02,10.29,10.29,10.00,10.13,290700,10.066687
2015-12-01,10.13,10.48,9.94,10.20,40400,10.13625
2015-11-30,10.08,10.16,9.94,10.11,112700,10.046812
2015-11-27,9.77,10.34,9.71,9.97,71100,9.907688
2015-11-25,9.57,9.81,9.55,9.81,412700,9.748688
2015-11-24,9.61,9.739,9.51,9.57,84200,9.510187
2015-11-23,9.68,9.76,9.57,9.59,122400,9.530062
2015-11-20,9.65,9.73,9.55,9.72,47900,9.65925
2015-11-19,9.59,9.67,9.50,9.58,33000,9.520125
2015-11-18,9.55,9.66,9.45,9.64,60600,9.57975
2015-11-17,9.40,9.68,9.20,9.54,67900,9.480375
2015-11-16,9.21,9.43,9.05,9.37,249000,9.311437
2015-11-13,9.07,9.25,9.07,9.18,89300,9.122625
2015-11-12,9.15,9.16,8.94,8.95,91300,8.894062
2015-11-11,9.20,9.20,9.10,9.11,40200,9.053062
2015-11-10,9.23,9.26,9.16,9.26,17700,9.202125
2015-11-09,9.25,9.37,9.20,9.26,18400,9.202125
2015-11-06,9.13,9.322,9.13,9.29,26400,9.231937
2015-11-05,9.13,9.30,9.115,9.22,19600,9.162375
2015-11-04,9.10,9.18,9.03,9.12,54300,9.063
2015-11-03,9.09,9.385,9.00,9.19,47300,9.132562
2015-11-02,9.00,9.58,8.84,9.09,194200,9.033187
2015-10-30,9.01,9.25,8.91,9.03,250800,8.973562
2015-10-29,9.19,10.15,8.93,9.01,82700,8.953688
2015-10-28,8.72,9.21,8.69,9.17,54400,9.112687
2015-10-27,8.94,8.94,8.46,8.66,42400,8.605875
2015-10-26,8.99,9.14,8.91,8.95,18700,8.894062
2015-10-23,9.30,9.30,8.90,8.99,65500,8.933812
2015-10-22,9.28,9.394,9.21,9.25,67200,9.192187
2015-10-21,9.32,9.32,9.24,9.25,84900,9.192187
2015-10-20,9.34,9.34,9.26,9.28,44700,9.222
2015-10-19,9.25,9.39,9.25,9.30,38100,9.241875
2015-10-16,9.14,9.31,8.88,9.26,31900,9.202125
2015-10-15,9.10,9.12,8.81,9.10,32800,9.043125
2015-10-14,9.31,9.32,9.06,9.06,15200,9.003375
2015-10-13,9.02,9.51,9.02,9.27,62000,9.212063
2015-10-12,8.97,8.97,8.86,8.97,27900,8.913938
2015-10-09,9.24,9.25,8.94,8.99,18400,8.933812
2015-10-08,8.56,9.19,8.40,9.17,40200,9.112687
2015-10-07,8.74,8.74,8.33,8.61,33900,8.556187
2015-10-06,8.97,8.99,8.66,8.71,25100,8.655562
2015-10-05,8.95,9.46,8.78,9.01,30500,8.953688
2015-10-02,9.06,9.40,8.77,8.90,34700,8.844374
2015-10-01,9.73,9.73,9.05,9.05,37400,8.993437
2015-09-30,9.18,9.44,9.18,9.35,311900,9.291563
2015-09-29,8.79,9.19,8.65,9.16,135600,9.10275
2015-09-28,8.62,8.83,8.618,8.80,35800,8.745
