Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,11.83,11.83,11.618,11.618,4400,11.618
2016-01-22,11.75,11.75,11.75,11.75,2100,11.75
2016-01-21,11.56,11.56,11.40,11.41,2300,11.41
2016-01-20,11.59,11.59,11.03,11.467,3800,11.467
2016-01-19,11.67,11.67,11.586,11.586,1400,11.586
2016-01-15,11.90,11.90,11.54,11.59,1100,11.59
2016-01-14,11.91,12.03,11.847,12.03,7500,12.03
2016-01-13,12.25,12.25,11.908,11.908,1700,11.908
2016-01-12,12.27,12.27,12.13,12.189,4900,12.189
2016-01-11,12.36,12.36,12.283,12.283,1100,12.283
2016-01-08,12.40,12.49,12.27,12.27,5200,12.27
2016-01-07,12.58,12.58,12.45,12.45,1300,12.45
2016-01-06,12.89,12.89,12.648,12.72,12100,12.72
2016-01-05,12.69,12.77,12.69,12.743,1200,12.743
2016-01-04,12.55,13.00,12.49,12.49,2500,12.49
2015-12-31,12.65,12.684,12.61,12.64,3400,12.64
2015-12-30,12.76,12.76,12.76,12.76,2100,12.76
2015-12-29,12.84,12.90,12.792,12.82,14600,12.82
2015-12-28,12.82,12.82,12.78,12.78,1000,12.629999
2015-12-24,12.862,12.862,12.862,12.862,000,12.711038
2015-12-23,12.882,12.94,12.861,12.862,1700,12.711038
2015-12-22,12.72,12.72,12.72,12.72,000,12.570704
2015-12-21,12.78,12.78,12.62,12.72,3500,12.570704
2015-12-18,12.69,12.69,12.69,12.69,1200,12.541056
2015-12-17,12.628,12.73,12.628,12.73,600,12.580586
2015-12-16,12.468,12.468,12.468,12.468,300,12.321662
2015-12-15,12.27,12.38,12.27,12.365,600,12.21987
2015-12-14,12.30,12.30,12.127,12.243,700,12.099303
2015-12-11,12.46,12.46,12.33,12.45,7100,12.303873
2015-12-10,12.59,12.59,12.561,12.561,600,12.41357
2015-12-09,12.51,12.554,12.51,12.52,6000,12.373052
2015-12-08,12.65,12.66,12.55,12.55,1300,12.402699
2015-12-07,12.65,12.66,12.65,12.66,800,12.511408
2015-12-04,12.72,12.72,12.72,12.72,000,12.570704
2015-12-03,12.71,12.72,12.71,12.72,400,12.570704
2015-12-02,13.06,13.06,12.914,12.914,2500,12.762427
2015-12-01,13.07,13.09,13.07,13.09,1300,12.936361
2015-11-30,13.10,13.16,13.10,13.16,1100,12.902761
2015-11-27,13.05,13.05,13.05,13.05,500,12.794911
2015-11-25,12.968,12.968,12.968,12.968,200,12.714514
2015-11-24,12.994,12.994,12.994,12.994,2000,12.740006
2015-11-23,12.991,12.991,12.991,12.991,200,12.737065
2015-11-20,13.10,13.10,12.98,12.99,7200,12.736084
2015-11-19,12.99,13.04,12.98,13.00,600,12.745888
2015-11-18,12.83,12.92,12.83,12.92,900,12.667452
2015-11-17,12.85,12.85,12.838,12.838,500,12.587055
2015-11-16,12.65,12.65,12.65,12.65,200,12.40273
2015-11-13,12.74,12.74,12.67,12.71,1100,12.461557
2015-11-12,12.80,12.80,12.80,12.80,400,12.549798
2015-11-11,12.86,12.86,12.86,12.86,700,12.608625
2015-11-10,12.836,12.85,12.811,12.849,1900,12.59784
2015-11-09,12.863,12.863,12.72,12.72,5400,12.471362
2015-11-06,13.00,13.00,12.935,12.96,1700,12.70667
2015-11-05,13.13,13.13,13.13,13.13,500,12.873347
2015-11-04,13.31,13.31,13.121,13.121,3200,12.864524
2015-11-03,13.29,13.326,13.286,13.326,600,13.065516
2015-11-02,13.16,13.32,13.095,13.32,1400,13.059633
2015-10-30,13.26,13.265,13.18,13.18,1900,12.820403
2015-10-29,13.41,13.41,13.308,13.36,3600,12.995491
2015-10-28,13.30,13.488,13.30,13.47,6600,13.102491
2015-10-27,13.52,13.52,13.35,13.35,900,12.985765
2015-10-26,13.60,13.60,13.60,13.60,800,13.228944
2015-10-23,13.59,13.59,13.59,13.59,300,13.219217
2015-10-22,13.714,13.714,13.61,13.61,2900,13.238671
2015-10-21,13.69,13.69,13.63,13.64,2200,13.267853
2015-10-20,13.59,13.65,13.56,13.641,2200,13.268825
2015-10-19,13.518,13.518,13.501,13.51,900,13.141399
2015-10-16,13.45,13.53,13.45,13.53,2700,13.160853
2015-10-15,13.40,13.46,13.30,13.46,1100,13.092763
2015-10-14,13.41,13.43,13.37,13.38,900,13.014946
2015-10-13,13.45,13.45,13.366,13.38,2800,13.014946
2015-10-12,13.48,13.50,13.478,13.50,4600,13.131672
2015-10-09,13.43,13.43,13.43,13.43,4700,13.063582
2015-10-08,13.41,13.48,13.41,13.48,400,13.112217
2015-10-07,13.26,13.37,13.26,13.345,1300,12.980901
2015-10-06,13.28,13.29,13.253,13.253,1700,12.891411
2015-10-05,13.22,13.26,13.177,13.26,9400,12.89822
2015-10-02,12.823,12.92,12.823,12.92,700,12.567497
2015-10-01,12.84,12.84,12.84,12.84,200,12.489679
2015-09-30,12.86,12.98,12.85,12.98,2700,12.524697
2015-09-29,12.881,12.881,12.85,12.88,3000,12.428205
2015-09-28,13.09,13.09,12.85,12.93,6800,12.476451
2015-09-25,13.28,13.28,13.136,13.136,9100,12.675225
2015-09-24,13.18,13.20,13.16,13.191,12000,12.728296
2015-09-23,13.174,13.18,13.174,13.18,2000,12.717682
2015-09-22,13.25,13.27,13.20,13.20,900,12.73698
2015-09-21,13.30,13.31,13.30,13.31,500,12.843122
2015-09-18,13.21,13.23,13.21,13.23,400,12.765927
2015-09-17,13.06,13.35,13.01,13.35,2500,12.881719
2015-09-16,13.08,13.08,13.064,13.064,2400,12.605751
2015-09-15,12.95,12.95,12.95,12.95,400,12.495749
2015-09-14,12.99,12.99,12.93,12.93,1000,12.476451
2015-09-11,12.76,12.94,12.76,12.94,1000,12.4861
2015-09-10,12.787,12.787,12.787,12.787,200,12.338467
2015-09-09,12.95,13.00,12.77,12.77,3400,12.322064
2015-09-08,12.959,12.959,12.959,12.959,400,12.504433
2015-09-04,12.90,12.90,12.77,12.81,3400,12.360661
2015-09-03,13.01,13.01,13.01,13.01,300,12.553645
2015-09-02,13.00,13.00,12.90,12.914,3900,12.461012
2015-09-01,13.02,13.02,12.84,12.85,2900,12.399257
2015-08-31,13.22,13.25,13.17,13.17,6900,12.60768
2015-08-28,13.31,13.31,13.25,13.25,1000,12.684265
2015-08-27,13.22,13.272,13.22,13.272,4200,12.705326
2015-08-26,12.95,13.015,12.95,13.015,500,12.459299
2015-08-25,13.44,13.44,13.01,13.01,3300,12.454512
2015-08-24,13.28,13.44,13.28,13.44,4500,12.866152
2015-08-21,13.66,13.794,13.588,13.59,4700,13.009748
2015-08-20,13.821,13.85,13.80,13.80,1900,13.210781
2015-08-19,13.848,13.92,13.83,13.90,4000,13.306511
2015-08-18,13.91,13.92,13.897,13.92,1100,13.325658
2015-08-17,13.81,13.90,13.79,13.90,5900,13.306511
2015-08-14,13.86,13.90,13.84,13.84,900,13.249073
2015-08-13,13.85,13.89,13.80,13.89,2500,13.296939
2015-08-12,13.762,13.762,13.762,13.762,000,13.174404
2015-08-11,13.762,13.762,13.762,13.762,400,13.174404
2015-08-10,13.75,13.82,13.75,13.77,3800,13.182063
2015-08-07,13.74,13.74,13.706,13.706,1200,13.120795
2015-08-06,13.90,13.90,13.70,13.70,8400,13.115051
2015-08-05,14.04,14.04,13.856,13.896,2200,13.302682
