Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.57,2.58,2.38,2.517,15900,2.517
2016-01-22,2.33,2.59,2.16,2.58,30000,2.58
2016-01-21,2.53,2.53,2.33,2.34,4900,2.34
2016-01-20,2.56,2.60,2.00,2.32,24800,2.32
2016-01-19,2.39,2.56,2.31,2.33,9400,2.33
2016-01-15,2.79,2.79,2.25,2.46,39600,2.46
2016-01-14,2.54,2.90,2.46,2.555,8400,2.555
2016-01-13,2.79,2.90,2.45,2.53,10600,2.53
2016-01-12,2.734,2.85,2.73,2.85,3600,2.85
2016-01-11,2.88,2.99,2.60,2.99,25400,2.99
2016-01-08,3.01,3.01,2.85,2.99,5000,2.99
2016-01-07,2.28,2.99,2.03,2.85,22600,2.85
2016-01-06,3.09,3.21,2.908,3.01,27800,3.01
2016-01-05,3.34,3.60,3.015,3.02,83100,3.02
2016-01-04,3.26,3.26,2.72,3.17,18600,3.17
2015-12-31,2.51,3.31,2.398,3.26,44700,3.26
2015-12-30,2.46,2.50,2.46,2.47,25300,2.47
2015-12-29,2.459,2.49,2.45,2.45,14100,2.45
2015-12-28,2.37,2.636,2.30,2.46,26900,2.46
2015-12-24,2.56,2.56,2.25,2.50,30600,2.50
2015-12-23,2.60,2.635,2.56,2.58,18200,2.58
2015-12-22,2.58,2.64,2.56,2.64,22500,2.64
2015-12-21,2.67,2.70,2.45,2.64,33400,2.64
2015-12-18,2.71,2.75,2.65,2.71,24000,2.71
2015-12-17,2.737,2.737,2.66,2.67,8900,2.67
2015-12-16,2.75,2.75,2.65,2.70,14500,2.70
2015-12-15,2.77,2.92,2.65,2.80,8400,2.80
2015-12-14,3.23,3.25,2.80,2.81,23300,2.81
2015-12-11,3.185,3.185,3.12,3.15,3700,3.15
2015-12-10,3.18,3.20,3.131,3.131,6100,3.131
2015-12-09,3.23,3.30,3.15,3.24,11900,3.24
2015-12-08,3.25,3.40,3.22,3.23,22200,3.23
2015-12-07,3.22,3.30,3.22,3.25,18200,3.25
2015-12-04,3.30,3.33,3.20,3.21,8700,3.21
