Date,Open,High,Low,Close,Volume,Adj Close
2001-07-12,0.79,0.79,0.71,0.75,32200,0.75
2001-07-11,0.72,0.79,0.71,0.79,54400,0.79
2001-07-10,0.77,0.79,0.72,0.72,55500,0.72
2001-07-09,0.69,0.77,0.69,0.77,13300,0.77
2001-07-06,0.72,0.77,0.72,0.77,54500,0.77
2001-07-05,0.75,0.77,0.72,0.77,38400,0.77
2001-07-03,0.80,0.80,0.79,0.80,21600,0.80
2001-07-02,0.75,0.80,0.75,0.79,58700,0.79
2001-06-29,0.74,0.80,0.74,0.74,26500,0.74
2001-06-28,0.75,0.79,0.72,0.75,38900,0.75
2001-06-27,0.73,0.77,0.71,0.75,26400,0.75
2001-06-26,0.73,0.77,0.73,0.77,18200,0.77
2001-06-25,0.78,0.79,0.73,0.75,12700,0.75
2001-06-22,0.86,0.86,0.71,0.78,26800,0.78
2001-06-21,0.80,0.87,0.78,0.83,96300,0.83
2001-06-20,0.80,0.80,0.71,0.75,23300,0.75
2001-06-19,0.78,0.80,0.73,0.80,27400,0.80
2001-06-18,0.76,0.77,0.71,0.77,41800,0.77
2001-06-15,0.78,0.78,0.71,0.75,36900,0.75
2001-06-14,0.77,0.79,0.72,0.78,110800,0.78
2001-06-13,0.78,0.78,0.74,0.77,27300,0.77
2001-06-12,0.74,0.77,0.74,0.77,20700,0.77
2001-06-11,0.80,0.80,0.74,0.74,13500,0.74
2001-06-08,0.78,0.80,0.75,0.80,71000,0.80
2001-06-07,0.79,0.82,0.74,0.76,108700,0.76
2001-06-06,0.75,0.80,0.74,0.76,160700,0.76
2001-06-05,0.73,0.76,0.71,0.74,62200,0.74
2001-06-04,0.82,0.85,0.73,0.73,115200,0.73
2001-06-01,0.75,0.82,0.72,0.75,96500,0.75
2001-05-31,0.82,0.87,0.70,0.70,136900,0.70
2001-05-30,0.98,0.98,0.80,0.80,192000,0.80
2001-05-29,1.00,1.01,0.94,0.94,93000,0.94
2001-05-25,1.01,1.01,0.98,1.00,44200,1.00
2001-05-24,1.02,1.02,0.91,0.99,167700,0.99
2001-05-23,1.16,1.17,0.95,1.05,222100,1.05
2001-05-22,1.18,1.19,1.14,1.15,93200,1.15
2001-05-21,1.23,1.24,1.15,1.19,144300,1.19
2001-05-18,1.21,1.22,1.13,1.18,217500,1.18
2001-05-17,1.18,1.20,1.10,1.13,280500,1.13
2001-05-16,1.34,1.34,1.11,1.19,387900,1.19
2001-05-15,1.33,1.45,1.26,1.35,580200,1.35
2001-05-14,1.36,1.51,0.80,1.15,1231600,1.15
2001-05-11,1.30,1.50,1.30,1.40,397200,1.40
2001-05-10,0.96,1.25,0.95,1.21,611800,1.21
2001-05-09,0.90,0.96,0.82,0.95,111900,0.95
2001-05-08,0.80,0.90,0.80,0.90,154300,0.90
2001-05-07,0.85,0.88,0.80,0.85,82700,0.85
2001-05-04,0.90,0.90,0.80,0.85,21000,0.85
2001-05-03,0.85,0.87,0.83,0.83,35000,0.83
2001-05-02,0.80,0.85,0.80,0.85,48000,0.85
2001-05-01,0.90,0.91,0.80,0.85,118600,0.85
2001-04-30,0.85,0.95,0.82,0.88,117700,0.88
2001-04-27,0.80,0.82,0.77,0.82,18300,0.82
2001-04-26,0.88,0.89,0.77,0.82,88700,0.82
2001-04-25,0.80,0.87,0.80,0.83,85100,0.83
2001-04-24,0.88,0.93,0.78,0.80,132300,0.80
2001-04-23,0.85,0.89,0.78,0.89,58900,0.89
2001-04-20,0.72,0.84,0.71,0.78,91400,0.78
2001-04-19,0.90,0.90,0.76,0.80,64400,0.80
2001-04-18,0.74,0.90,0.65,0.90,134600,0.90
2001-04-17,0.78,0.81,0.69,0.69,225200,0.69
2001-04-16,0.85,0.93,0.71,0.76,243400,0.76
2001-04-12,0.83,0.87,0.80,0.87,113400,0.87
2001-04-11,0.83,0.85,0.81,0.84,160100,0.84
2001-04-10,0.85,0.87,0.80,0.85,104800,0.85
2001-04-09,0.79,0.90,0.79,0.86,81000,0.86
2001-04-06,0.8125,0.9375,0.75,0.875,113800,0.875
2001-04-05,0.9375,0.9375,0.8125,0.875,27500,0.875
2001-04-04,0.9375,0.9375,0.8125,0.84375,14600,0.84375
2001-04-03,0.9375,0.9375,0.8125,0.84375,114400,0.84375
2001-04-02,0.9375,0.95312,0.84375,0.9375,30600,0.9375
2001-03-30,0.90625,0.9375,0.84375,0.875,12100,0.875
2001-03-29,0.9375,0.9375,0.875,0.90625,55200,0.90625
2001-03-28,0.9375,0.95312,0.8125,0.90625,45900,0.90625
2001-03-27,0.90625,0.96875,0.90625,0.9375,58400,0.9375
2001-03-26,0.875,0.96875,0.84375,0.9375,122200,0.9375
