Date,Open,High,Low,Close,Volume,Adj Close
2014-10-24,13.85,13.96,13.85,13.90,107400,13.855176
2014-10-23,13.99,13.99,13.78,13.81,164100,13.765467
2014-10-22,13.93,14.00,13.76,13.90,1759700,13.855176
2014-10-21,13.53,13.97,13.53,13.93,1104100,13.88508
2014-10-20,13.52,13.71,13.47,13.50,235400,13.456466
2014-10-17,13.65,13.65,13.50,13.57,176900,13.52624
2014-10-16,13.53,13.81,13.53,13.63,159600,13.586047
2014-10-15,13.80,13.83,13.59,13.61,183300,13.566111
2014-10-14,13.68,14.05,13.65,13.94,112800,13.895047
2014-10-13,13.63,13.97,13.60,13.69,103300,13.645853
2014-10-10,13.73,13.86,13.60,13.61,192400,13.566111
2014-10-09,13.90,14.10,13.75,13.79,174800,13.745531
2014-10-08,13.68,13.99,13.65,13.86,113900,13.815305
2014-10-07,13.87,13.99,13.72,13.73,69800,13.685724
2014-10-06,14.10,14.20,13.91,13.91,154800,13.865144
2014-10-03,13.90,14.15,13.70,14.04,328700,13.994725
2014-10-02,13.71,13.90,13.55,13.80,158400,13.755499
2014-10-01,13.80,14.09,13.75,13.77,221900,13.725596
2014-09-30,13.97,14.00,13.83,13.83,115800,13.785402
2014-09-29,13.94,14.09,13.87,13.97,226900,13.924951
2014-09-26,14.03,14.12,13.97,14.05,121500,14.004693
2014-09-25,14.06,14.16,13.87,14.03,169500,13.984757
2014-09-24,14.25,14.42,14.07,14.10,195100,14.054532
2014-09-23,14.49,14.66,14.24,14.26,265500,14.214016
2014-09-22,14.30,14.60,14.26,14.52,435100,14.473177
2014-09-19,14.75,14.86,14.27,14.34,1988900,14.293758
2014-09-18,14.78,14.86,14.66,14.73,293500,14.682499
2014-09-17,14.68,14.85,14.68,14.76,279800,14.712403
2014-09-16,14.80,14.87,14.58,14.65,150500,14.602757
2014-09-15,14.93,14.95,14.78,14.85,266600,14.802113
2014-09-12,14.80,14.95,14.80,14.91,600500,14.861919
