Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,127.010002,127.389999,122.879997,123.00,18565200,123.00
2015-12-31,129.509995,130.360001,128.369995,128.460007,865900,128.460007
2015-12-30,129.910004,131.080002,128.880005,129.389999,1034600,129.389999
2015-12-29,137.25,140.559998,137.199997,139.940002,733800,129.940005
2015-12-28,133.419998,134.639999,132.800003,134.550003,342200,124.935171
2015-12-24,133.789993,134.339996,132.259995,133.990005,226900,124.41519
2015-12-23,133.00,133.949997,132.130005,133.529999,206700,123.988055
2015-12-22,132.610001,132.979996,130.850006,132.330002,197700,122.873809
2015-12-21,132.130005,132.690002,130.820007,132.229996,284300,122.780949
2015-12-18,131.229996,132.25,129.130005,131.949997,1271000,122.520959
2015-12-17,133.25,133.25,130.380005,131.970001,330100,122.539534
2015-12-16,132.580002,133.020004,130.070007,132.490005,453300,123.022379
2015-12-15,131.350006,132.169998,130.699997,131.649994,519100,122.242394
2015-12-14,133.300003,133.639999,129.919998,130.50,655200,121.174578
2015-12-11,126.199997,135.00,126.199997,132.960007,1300900,123.458794
2015-12-10,125.199997,129.339996,123.279999,127.339996,485600,118.240385
2015-12-09,129.839996,129.880005,126.300003,126.459999,291900,117.423272
2015-12-08,131.00,131.889999,129.589996,129.660004,288800,120.394607
2015-12-07,130.869995,134.990005,130.399994,131.899994,423300,122.474529
2015-12-04,132.199997,136.020004,131.309998,135.00,538800,125.353011
2015-12-03,135.419998,135.419998,131.380005,132.229996,386800,122.780949
2015-12-02,136.240005,136.429993,135.050003,135.259995,213200,125.594427
2015-12-01,134.850006,136.429993,132.610001,136.199997,432400,126.467258
2015-11-30,134.50,134.779999,133.619995,134.509995,414400,124.898021
2015-11-27,133.479996,134.350006,132.820007,134.119995,119000,124.535891
2015-11-25,134.050003,134.50,133.330002,133.610001,149200,124.06234
2015-11-24,132.910004,134.429993,131.25,134.149994,177400,124.424464
2015-11-23,133.009995,134.270004,132.350006,133.199997,358700,123.54334
2015-11-20,131.910004,133.50,131.00,132.699997,331300,123.079589
2015-11-19,127.309998,131.800003,127.309998,131.399994,501200,121.873832
2015-11-18,125.209999,129.429993,124.739998,129.169998,565500,119.805506
2015-11-17,126.370003,126.660004,124.660004,125.209999,225500,116.132596
2015-11-16,127.800003,128.949997,125.93,126.160004,271200,117.013728
2015-11-13,127.400002,129.669998,125.940002,127.419998,198400,118.182376
2015-11-12,130.429993,130.919998,126.190002,126.400002,471100,117.236327
2015-11-11,129.00,131.00,128.190002,130.539993,323400,121.07618
2015-11-10,128.350006,129.779999,127.129997,129.190002,222700,119.82406
2015-11-09,127.709999,130.00,127.370003,129.649994,195900,120.250703
2015-11-06,129.179993,130.00,127.470001,129.449997,400100,120.065205
2015-11-05,127.690002,129.360001,127.349998,129.210007,266100,119.842614
2015-11-04,125.379997,128.149994,124.860001,128.00,423900,118.720329
2015-11-03,127.00,127.529999,125.699997,125.800003,357900,116.679826
2015-11-02,124.00,128.309998,123.709999,126.349998,636100,117.189949
2015-10-30,124.00,124.139999,122.839996,123.559998,545800,114.602216
2015-10-29,125.800003,126.830002,123.089996,124.059998,462200,115.065967
2015-10-28,124.349998,126.169998,123.339996,126.139999,316900,116.995174
2015-10-27,124.769997,124.809998,122.989998,124.089996,245300,115.093791
2015-10-26,121.900002,125.059998,121.50,125.010002,210600,115.947099
2015-10-23,121.269997,122.82,120.910004,122.669998,207600,113.776739
2015-10-22,121.860001,121.940002,120.139999,120.839996,445500,112.079407
2015-10-21,121.480003,121.870003,120.629997,120.959999,355700,112.19071
2015-10-20,119.540001,121.099998,119.330002,121.059998,527300,112.283459
2015-10-19,119.690002,120.099998,119.029999,119.889999,590300,111.198283
2015-10-16,120.309998,120.529999,119.75,119.860001,271600,111.170459
2015-10-15,121.75,121.809998,120.190002,120.440002,341100,111.708412
