Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.27,23.280001,23.200001,23.200001,900,23.200001
2016-01-22,23.280001,23.280001,23.280001,23.280001,100,23.280001
2016-01-21,23.00,23.00,23.00,23.00,100,23.00
2016-01-20,22.709999,22.709999,22.459999,22.49,500,22.49
2016-01-19,24.50,24.50,23.129999,23.129999,300,23.129999
2016-01-15,22.950001,23.059999,22.82,23.059999,3800,23.059999
2016-01-14,23.60,23.60,23.60,23.60,000,23.60
2016-01-13,23.60,23.60,23.60,23.60,000,23.60
2016-01-12,23.60,23.60,23.60,23.60,100,23.60
2016-01-11,23.639999,23.639999,23.518999,23.518999,5200,23.518999
2016-01-08,23.738001,23.738001,23.738001,23.738001,300,23.738001
2016-01-07,23.889999,23.889999,23.889999,23.889999,300,23.889999
2016-01-06,24.280001,24.459999,24.280001,24.309999,6800,24.309999
2016-01-05,24.52,24.620001,24.52,24.530001,400,24.530001
2016-01-04,24.450001,24.450001,24.450001,24.450001,100,24.450001
2015-12-31,24.99,25.049999,24.98,24.98,5600,24.98
2015-12-30,25.25,25.25,25.23,25.23,2000,25.23
2015-12-29,25.25,25.379999,25.25,25.379999,600,25.379999
