Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.909,15.949,15.909,15.949,1700,15.949
2016-01-22,15.659,15.659,15.65,15.65,300,15.65
2016-01-21,15.199,15.199,15.199,15.199,000,15.199
2016-01-20,15.199,15.199,15.135,15.199,600,15.199
2016-01-19,15.50,15.50,15.50,15.50,000,15.50
2016-01-15,15.50,15.50,15.50,15.50,400,15.50
2016-01-14,18.18,18.18,18.18,18.18,000,18.18
2016-01-13,18.18,18.18,18.18,18.18,000,18.18
2016-01-12,18.26,18.26,18.18,18.18,300,18.18
2016-01-11,17.809999,17.809999,16.709999,16.709999,900,16.709999
2016-01-08,18.200001,18.200001,18.200001,18.200001,1000,18.200001
2016-01-07,19.23,19.23,19.23,19.23,000,19.23
2016-01-06,19.23,19.23,19.23,19.23,000,19.23
2016-01-05,19.23,19.23,19.23,19.23,200,19.23
2016-01-04,19.549999,19.549999,18.690001,18.690001,300,18.690001
2015-12-31,19.969999,20.00,19.969999,20.00,800,20.00
2015-12-30,20.002001,20.315001,20.000999,20.315001,3400,20.315001
2015-12-29,20.76,20.76,20.122,20.25,1000,20.25
2015-12-28,20.309999,20.60,19.582001,20.40,1100,20.40
2015-12-24,20.620001,20.620001,20.620001,20.620001,000,20.620001
2015-12-23,19.863001,20.620001,19.863001,20.620001,600,20.620001
2015-12-22,19.618,20.239,19.389999,19.389999,500,19.389999
2015-12-21,19.479,19.559999,19.110001,19.110001,2200,19.110001
2015-12-18,19.799,19.799,19.172001,19.172001,700,19.172001
2015-12-17,19.809999,20.259001,19.809999,20.139999,1400,20.139999
2015-12-16,20.200001,20.200001,20.200001,20.200001,200,20.200001
2015-12-15,17.940001,17.940001,17.940001,17.940001,300,17.940001
2015-12-14,17.09,17.09,15.54,16.26,1500,16.26
2015-12-11,19.90,19.950001,17.00,17.00,3800,17.00
2015-12-10,21.497999,21.497999,20.879999,20.879999,600,20.879999
2015-12-09,21.709,21.709,21.709,21.709,100,21.709
2015-12-08,23.049999,23.049999,23.049999,23.049999,000,23.049999
2015-12-07,23.049999,23.049999,23.049999,23.049999,000,23.049999
2015-12-04,23.049999,23.049999,23.049999,23.049999,4300,23.049999
2015-12-03,22.370001,22.42,22.15,22.24,2400,22.24
2015-12-02,23.040001,23.040001,23.040001,23.040001,000,23.040001
