Date,Open,High,Low,Close,Volume,Adj Close
2015-07-27,17.85,18.480001,17.85,18.35,2200,1835.000027
2015-07-24,17.360001,17.60,17.330001,17.37,600,1736.999995
2015-07-23,17.12,17.15,17.00,17.00,1100,1700.000025
2015-07-22,17.930001,17.930001,17.00,17.00,400,1700.000025
2015-07-21,16.82,16.82,16.82,16.82,000,1681.999995
2015-07-20,17.060001,17.20,16.810001,16.82,2400,1681.999995
2015-07-17,17.05,17.30,17.030001,17.15,100,1715.000026
2015-07-16,17.65,17.94,17.010001,17.030001,5200,1703.000056
2015-07-15,18.14,18.50,17.980001,18.30,800,1830.000027
2015-07-14,18.59,18.60,17.92,18.342,1800,1834.200009
2015-07-13,22.59,22.95,18.615,18.630001,7600,1863.000058
2015-07-10,21.05,21.34,20.35,20.360001,4500,2036.000091
2015-07-09,21.99,21.99,20.89,21.79,4700,2178.999971
2015-07-08,20.67,21.64,20.60,21.64,4900,2163.999971
2015-07-07,20.560001,21.59,20.20,20.20,3400,2020.00003
2015-07-06,19.99,21.842,19.99,20.84,3900,2083.99997
2015-07-02,19.97,20.40,19.780001,20.37,2800,2037.00
2015-07-01,19.934,20.34,19.74,20.026,1500,2002.599975
2015-06-30,20.160001,21.230001,20.12,20.69,11300,2068.99997
2015-06-29,19.52,20.960001,19.45,20.647,9800,2064.700043
2015-06-26,19.04,19.130001,18.99,19.130001,1300,1913.000059
2015-06-25,19.00,19.110001,18.79,19.110001,1300,1911.00009
2015-06-24,19.19,19.19,18.99,19.10,1900,1910.000028
2015-06-23,19.15,19.27,19.005001,19.02,3000,1901.999998
2015-06-22,20.00,20.00,19.210001,19.22,2300,1921.999998
2015-06-19,19.42,19.860001,19.410001,19.80,500,1980.00003
2015-06-18,20.12,20.12,19.380001,19.65,1400,1965.000029
2015-06-17,19.505001,20.30,19.244001,19.880001,1600,1988.00006
2015-06-16,21.080001,21.110001,19.90,20.00,4400,2000.00003
2015-06-15,27.110001,28.635999,27.110001,28.45,6600,2010.100023
2015-06-12,27.50,27.75,27.50,27.510001,1900,1943.685514
2015-06-11,27.510001,27.60,27.057999,27.470002,5600,1940.859405
2015-06-10,28.55,28.55,27.75,27.75,1400,1960.642377
2015-06-09,28.942002,29.00,28.570002,28.579999,400,2019.284928
2015-06-08,28.670002,28.90,28.529999,28.729999,1000,2029.882995
2015-06-05,28.75,28.85,28.40,28.510001,1000,2014.339293
2015-06-04,28.029999,28.879999,28.029999,28.80,8400,2034.828846
2015-06-03,28.45,28.45,28.15,28.15,1300,1988.903889
2015-06-02,28.50,28.60,28.35,28.45,2100,2010.100023
2015-06-01,28.460001,28.50,28.129999,28.329999,900,2001.621483
2015-05-29,28.50,28.74,28.279999,28.470002,1600,2011.513185
2015-05-28,28.731,28.731,28.279999,28.39,1300,2005.860753
2015-05-27,28.89,28.89,28.00,28.10,2000,1985.3712
2015-05-26,28.204999,28.970002,28.160001,28.910001,19300,2042.600805
2015-05-22,28.60,28.60,27.598999,28.00,7600,1978.305822
2015-05-21,28.74,28.75,28.10,28.29,91400,1998.795375
2015-05-20,28.70,31.95,28.25,28.510001,70200,2014.339293
2015-05-19,26.70,30.820002,26.60,27.64,85600,1952.870419
