Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.48,12.77,12.12,12.32,69900,12.32
2016-01-22,11.80,12.49,11.49,12.37,48800,12.37
2016-01-21,12.37,12.65,11.48,11.51,51200,11.51
2016-01-20,12.43,12.66,11.56,12.33,42200,12.33
2016-01-19,14.10,14.84,12.36,12.64,67900,12.64
2016-01-15,13.33,14.16,12.63,13.78,42000,13.78
2016-01-14,15.32,15.32,13.50,14.00,100300,14.00
2016-01-13,16.35,16.389999,14.59,14.78,47500,14.78
2016-01-12,16.67,17.60,15.92,16.360001,55400,16.360001
2016-01-11,18.889999,19.049999,15.29,16.51,58000,16.51
2016-01-08,18.950001,20.43,18.83,18.83,22200,18.83
2016-01-07,20.459999,20.799999,18.799999,18.91,24400,18.91
2016-01-06,20.00,21.00,19.42,20.950001,30000,20.950001
2016-01-05,21.08,21.08,19.76,20.440001,28000,20.440001
2016-01-04,21.700001,21.92,19.32,21.15,50800,21.15
2015-12-31,23.110001,23.41,21.77,21.90,56500,21.90
2015-12-30,23.00,24.48,22.10,22.90,344200,22.90
2015-12-29,20.950001,23.65,20.549999,22.98,113400,22.98
2015-12-28,20.860001,21.99,20.00,21.35,33000,21.35
2015-12-24,20.51,21.09,20.24,20.959999,13000,20.959999
2015-12-23,21.09,21.09,19.91,20.700001,18000,20.700001
2015-12-22,21.309999,21.50,20.25,20.73,25800,20.73
2015-12-21,21.889999,21.93,20.58,20.99,58900,20.99
2015-12-18,20.67,21.799999,19.280001,21.440001,779200,21.440001
2015-12-17,19.639999,21.299999,19.10,20.690001,90600,20.690001
2015-12-16,21.00,21.469999,18.799999,19.639999,132500,19.639999
2015-12-15,21.440001,22.00,20.00,21.00,87800,21.00
2015-12-14,23.00,23.950001,20.00,21.00,76300,21.00
2015-12-11,24.48,24.48,22.59,23.719999,69200,23.719999
2015-12-10,24.469999,25.43,22.059999,24.59,91000,24.59
2015-12-09,29.790001,29.790001,23.18,24.719999,403500,24.719999
2015-12-08,30.00,30.18,29.139999,30.110001,36000,30.110001
2015-12-07,28.950001,30.540001,28.950001,30.200001,65600,30.200001
2015-12-04,28.16,29.959999,28.10,29.25,73700,29.25
2015-12-03,27.49,28.50,26.860001,28.280001,32200,28.280001
2015-12-02,27.51,27.950001,24.290001,27.860001,45900,27.860001
2015-12-01,25.25,28.25,24.17,27.85,64200,27.85
2015-11-30,26.200001,26.379999,22.99,25.190001,90500,25.190001
2015-11-27,26.07,26.98,25.40,26.41,20700,26.41
2015-11-25,27.83,28.120001,25.35,27.27,50900,27.27
2015-11-24,23.34,29.530001,22.549999,26.00,95600,26.00
2015-11-23,22.200001,23.98,21.559999,23.360001,96800,23.360001
2015-11-20,22.200001,23.379999,21.51,22.889999,126900,22.889999
2015-11-19,20.00,23.48,19.969999,21.959999,240700,21.959999
2015-11-18,19.00,20.00,18.969999,20.00,17300,20.00
2015-11-17,17.799999,20.90,17.799999,19.15,13900,19.15
2015-11-16,17.83,18.10,17.75,17.799999,9400,17.799999
2015-11-13,18.00,18.360001,17.709999,18.10,27000,18.10
2015-11-12,17.75,18.030001,17.40,17.50,91900,17.50
2015-11-11,15.10,17.93,14.75,17.75,1261000,17.75
