Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.13,12.20,12.00,12.121,3700,12.121
2016-01-22,12.25,12.25,12.20,12.204,2300,12.204
2016-01-21,12.30,12.30,12.11,12.24,1200,12.24
2016-01-20,12.07,12.25,12.00,12.18,7500,12.18
2016-01-19,12.25,12.25,11.90,12.19,4300,12.19
2016-01-15,12.071,12.25,12.07,12.21,7800,12.21
2016-01-14,12.17,12.20,12.11,12.111,2300,12.111
2016-01-13,12.22,12.30,12.20,12.24,4600,12.24
2016-01-12,11.50,12.30,11.00,12.30,11700,12.30
2016-01-11,12.34,12.34,12.10,12.23,3100,12.23
2016-01-08,12.30,12.30,12.15,12.24,5500,12.24
2016-01-07,12.15,12.30,12.15,12.295,14500,12.295
2016-01-06,12.30,12.30,12.10,12.20,18300,12.20
2016-01-05,12.30,12.35,12.10,12.267,14100,12.267
2016-01-04,12.50,12.50,12.10,12.30,5100,12.30
2015-12-31,12.00,12.49,11.98,12.00,11500,12.00
2015-12-30,11.99,12.00,11.95,11.95,1500,11.95
2015-12-29,12.15,12.15,11.90,11.90,1500,11.90
2015-12-28,6.88,12.22,6.50,12.10,7800,12.10
2015-12-24,12.00,12.35,11.996,12.23,4600,12.23
2015-12-23,12.00,12.026,12.00,12.00,2000,12.00
2015-12-22,12.07,12.08,11.72,11.934,16200,11.934
2015-12-21,12.05,12.15,12.04,12.09,3800,12.09
2015-12-18,12.249,12.249,12.00,12.08,7800,12.08
2015-12-17,11.99,12.15,11.85,12.00,6800,12.00
2015-12-16,12.00,12.00,12.00,12.00,300,12.00
2015-12-15,12.25,12.25,11.90,12.00,8100,12.00
2015-12-14,12.15,12.15,11.54,11.75,5400,11.75
2015-12-11,11.49,12.15,11.49,11.903,5900,11.903
2015-12-10,12.00,13.47,11.00,11.93,41600,11.93
2015-12-09,11.999,12.00,11.78,11.98,34000,11.98
2015-12-08,11.80,11.80,11.50,11.75,4300,11.75
2015-12-07,11.15,12.00,11.13,12.00,15100,12.00
2015-12-04,11.88,11.88,11.30,11.30,14000,11.30
2015-12-03,11.90,12.00,11.79,11.88,16600,11.88
2015-12-02,11.80,12.00,11.80,11.899,6300,11.899
2015-12-01,10.25,11.75,10.25,11.575,40700,11.575
2015-11-30,10.00,10.40,10.00,10.25,9900,10.25
2015-11-27,9.60,9.98,9.60,9.85,2900,9.85
2015-11-25,9.60,9.71,9.50,9.59,30800,9.59
2015-11-24,9.45,9.60,9.07,9.544,7200,9.544
2015-11-23,9.19,9.55,9.18,9.35,8300,9.35
2015-11-20,9.50,9.50,9.22,9.22,26200,9.22
2015-11-19,9.40,9.50,8.99,9.29,37000,9.29
2015-11-18,8.90,9.326,8.90,9.12,33200,9.12
2015-11-17,8.98,9.50,8.40,9.49,33600,9.49
2015-11-16,8.98,9.00,8.90,8.90,4000,8.90
2015-11-13,8.50,8.95,8.39,8.95,31200,8.95
2015-11-12,8.70,8.90,8.70,8.90,1800,8.90
2015-11-11,8.81,8.91,8.60,8.60,22400,8.60
2015-11-10,8.67,8.904,8.67,8.85,3800,8.85
2015-11-09,8.50,8.80,8.45,8.65,6600,8.65
2015-11-06,6.95,8.50,6.91,8.40,8100,8.40
2015-11-05,6.80,7.03,6.80,6.95,13800,6.95
2015-11-04,6.71,6.71,6.70,6.70,7000,6.70
2015-11-03,7.00,7.01,6.53,6.70,11700,6.70
2015-11-02,7.04,7.04,6.70,6.70,13600,6.70
2015-10-30,7.99,7.99,6.71,6.71,14300,6.71
2015-10-29,8.15,8.15,8.15,8.15,100,8.15
2015-10-28,9.71,9.71,9.71,9.71,000,9.71
2015-10-27,9.71,9.71,9.71,9.71,300,9.71
2015-10-26,9.71,9.71,9.71,9.71,000,9.71
2015-10-23,9.71,9.71,9.71,9.71,000,9.71
2015-10-22,9.72,9.72,9.71,9.71,800,9.71
2015-10-21,10.07,10.07,10.07,10.07,000,10.07
2015-10-20,10.07,10.07,10.07,10.07,000,10.07
2015-10-19,10.07,10.07,10.07,10.07,000,10.07
2015-10-16,10.07,10.07,10.07,10.07,1400,10.07
2015-10-15,10.00,10.00,10.00,10.00,400,10.00
2015-10-14,9.95,9.99,9.95,9.99,3600,9.99
2015-10-13,9.95,9.95,9.95,9.95,1100,9.95
