Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,26.469999,26.75,26.02,26.530001,7200,26.530001
2016-01-22,25.950001,26.700001,25.58,26.530001,19200,26.530001
2016-01-21,25.85,25.85,25.50,25.805,3300,25.805
2016-01-20,25.860001,25.860001,25.48,25.75,12400,25.75
2016-01-19,25.90,25.90,25.538,25.90,6800,25.90
2016-01-15,25.90,25.90,25.559999,25.879999,20000,25.879999
2016-01-14,25.90,26.246,25.90,25.92,4800,25.92
2016-01-13,26.030001,26.396,25.90,25.90,11300,25.90
2016-01-12,26.309999,26.690001,26.013,26.25,31300,26.25
2016-01-11,26.66,26.75,26.59,26.66,4900,26.66
2016-01-08,26.549999,26.85,26.549999,26.650999,12200,26.650999
2016-01-07,26.40,26.90,26.038,26.75,6600,26.75
2016-01-06,26.40,26.99,26.40,26.799999,6600,26.799999
2016-01-05,26.68,26.719999,26.524,26.718,4900,26.718
2016-01-04,26.190001,26.66,26.190001,26.66,6600,26.66
2015-12-31,26.719999,26.719999,26.534,26.59,1200,26.59
2015-12-30,26.68,26.690001,26.610001,26.677,7700,26.677
2015-12-29,26.700001,26.700001,26.655001,26.676001,5200,26.676001
2015-12-28,26.809,26.889999,26.74,26.889999,3200,26.48
2015-12-24,26.490999,26.799999,26.490999,26.639999,14500,26.233812
2015-12-23,26.559,26.599001,26.469999,26.556,2600,26.151093
2015-12-22,26.389999,26.596001,26.389999,26.58,8200,26.174727
2015-12-21,26.639999,26.67,26.389999,26.51,6500,26.105795
2015-12-18,26.646999,26.709999,26.299999,26.50,5100,26.095947
2015-12-17,26.40,26.639999,26.368,26.639999,4400,26.233812
2015-12-16,26.190001,26.440001,26.190001,26.43,4400,26.027015
2015-12-15,26.040001,26.219999,26.00,26.219999,16100,25.820216
2015-12-14,26.51,26.568001,26.00,26.033001,13300,25.636068
2015-12-11,26.52,26.636,26.52,26.60,5300,26.194423
2015-12-10,26.35,26.73,26.35,26.709999,4400,26.302744
2015-12-09,26.447001,26.775999,26.447001,26.639999,5300,26.233812
2015-12-08,26.709999,26.799999,26.49,26.700001,11700,26.292898
2015-12-07,26.50,26.690001,26.50,26.690001,9200,26.28305
2015-12-04,26.466,26.700001,26.466,26.639999,5200,26.233812
