Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.20,15.40,14.27,14.27,13200,14.27
2016-01-22,15.48,16.40,15.06,15.21,9600,15.21
2016-01-21,15.46,16.68,15.00,15.20,27200,15.20
2016-01-20,15.17,16.33,14.59,15.92,37400,15.92
2016-01-19,14.21,15.77,14.03,15.31,9800,15.31
2016-01-15,12.98,14.35,12.67,13.98,38000,13.98
2016-01-14,14.48,14.48,12.90,13.10,30000,13.10
2016-01-13,13.10,14.31,13.04,13.25,27100,13.25
2016-01-12,13.56,13.90,12.31,13.23,30200,13.23
2016-01-11,13.57,14.84,13.19,13.36,24800,13.36
2016-01-08,14.05,14.91,12.88,13.20,50900,13.20
2016-01-07,14.21,14.51,14.06,14.06,14900,14.06
2016-01-06,14.58,15.39,14.00,14.17,21900,14.17
2016-01-05,15.10,15.14,14.00,14.58,24000,14.58
2016-01-04,15.80,15.95,14.69,15.07,39600,15.07
2015-12-31,14.91,16.75,14.87,15.95,58100,15.95
2015-12-30,14.80,15.70,14.57,15.02,16900,15.02
2015-12-29,15.59,16.43,14.31,14.65,49900,14.65
2015-12-28,16.280001,17.50,15.53,15.59,95200,15.59
2015-12-24,17.50,17.50,15.32,16.389999,38700,16.389999
2015-12-23,19.469999,19.50,17.040001,17.690001,76300,17.690001
2015-12-22,17.610001,21.00,17.01,19.58,93700,19.58
2015-12-21,15.61,17.85,15.49,17.309999,67200,17.309999
2015-12-18,15.98,16.799999,14.60,15.32,193800,15.32
2015-12-17,13.70,16.42,13.70,16.049999,45800,16.049999
2015-12-16,13.94,14.26,12.77,13.79,44800,13.79
2015-12-15,12.88,14.44,12.64,13.51,36800,13.51
2015-12-14,13.71,14.96,12.46,13.08,114900,13.08
2015-12-11,13.75,14.52,13.03,13.79,65900,13.79
2015-12-10,14.16,14.59,13.25,14.28,45800,14.28
2015-12-09,14.22,14.85,12.80,14.16,108800,14.16
2015-12-08,14.20,15.40,14.00,14.22,124400,14.22
2015-12-07,13.16,16.00,11.52,14.14,104800,14.14
2015-12-04,16.10,17.16,16.10,16.40,120900,16.40
2015-12-03,16.60,17.15,16.120001,16.75,108800,16.75
2015-12-02,17.00,17.209999,16.60,16.870001,14500,16.870001
2015-12-01,16.35,16.50,16.129999,16.49,32800,16.49
2015-11-30,16.08,16.469999,15.82,16.25,94600,16.25
2015-11-27,15.94,16.129999,15.88,16.09,18100,16.09
2015-11-25,16.00,17.00,15.60,16.08,26200,16.08
2015-11-24,15.98,16.00,15.90,16.00,11700,16.00
2015-11-23,16.00,16.50,15.65,16.00,49000,16.00
2015-11-20,15.52,16.00,15.45,16.00,25000,16.00
2015-11-19,15.89,15.98,15.51,15.79,48700,15.79
2015-11-18,16.00,16.00,15.80,15.89,26200,15.89
2015-11-17,16.00,16.139999,15.90,15.90,49800,15.90
2015-11-16,16.00,16.08,15.89,15.89,7900,15.89
2015-11-13,16.00,16.030001,15.10,15.90,62000,15.90
2015-11-12,15.80,16.33,15.79,16.00,90600,16.00
