Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.40,3.43,3.00,3.13,71700,3.13
2016-01-22,3.64,3.80,3.40,3.41,18800,3.41
2016-01-21,3.61,3.82,3.53,3.57,40400,3.57
2016-01-20,3.66,3.815,3.51,3.55,4800,3.55
2016-01-19,3.88,4.26,3.51,3.68,71200,3.68
2016-01-15,3.883,3.90,3.83,3.86,3400,3.86
2016-01-14,3.82,4.10,3.82,4.04,4500,4.04
2016-01-13,4.03,4.387,3.851,3.851,25500,3.851
2016-01-12,4.32,4.33,3.695,3.99,56300,3.99
2016-01-11,4.12,4.25,4.12,4.24,2300,4.24
2016-01-08,4.21,4.25,3.80,4.14,172300,4.14
2016-01-07,4.42,4.42,4.16,4.16,2800,4.16
2016-01-06,4.36,4.44,4.28,4.38,3200,4.38
2016-01-05,4.52,4.52,4.108,4.43,8700,4.43
2016-01-04,4.39,4.55,4.15,4.55,45800,4.55
2015-12-31,4.25,4.54,4.15,4.50,42600,4.50
2015-12-30,4.121,4.21,4.10,4.21,700,4.21
2015-12-29,4.26,4.26,4.154,4.25,7700,4.25
2015-12-28,4.17,4.35,4.13,4.27,46800,4.27
2015-12-24,4.06,4.31,4.05,4.16,2900,4.16
2015-12-23,4.12,4.40,4.10,4.17,118000,4.17
2015-12-22,4.342,4.54,4.10,4.24,24500,4.24
2015-12-21,4.37,4.45,4.11,4.20,33800,4.20
2015-12-18,4.53,4.76,4.26,4.39,97800,4.39
2015-12-17,4.85,4.89,4.50,4.60,63600,4.60
2015-12-16,4.79,4.99,4.62,4.82,7500,4.82
2015-12-15,5.09,5.18,4.66,4.66,30000,4.66
2015-12-14,5.18,5.24,5.00,5.04,47400,5.04
2015-12-11,5.10,5.20,5.01,5.02,6300,5.02
2015-12-10,5.00,5.17,5.00,5.13,225000,5.13
2015-12-09,5.036,5.13,5.00,5.01,30700,5.01
2015-12-08,5.00,5.12,5.00,5.04,26300,5.04
2015-12-07,5.00,5.205,5.00,5.00,130100,5.00
2015-12-04,5.33,5.39,5.04,5.04,100600,5.04
2015-12-03,5.35,5.517,5.23,5.30,29900,5.30
2015-12-02,5.29,5.48,5.23,5.36,200700,5.36
2015-12-01,5.445,5.445,5.21,5.33,161000,5.33
2015-11-30,5.21,5.50,5.21,5.41,40800,5.41
2015-11-27,5.40,5.58,5.40,5.54,9300,5.54
2015-11-25,5.52,5.68,5.52,5.65,35300,5.65
2015-11-24,5.27,5.69,5.21,5.49,213000,5.49
2015-11-23,5.54,5.821,5.21,5.27,144900,5.27
2015-11-20,5.35,5.58,5.30,5.53,40900,5.53
2015-11-19,5.41,5.61,5.25,5.56,195000,5.56
2015-11-18,5.24,5.43,5.24,5.41,41300,5.41
2015-11-17,5.05,5.86,5.00,5.21,380900,5.21
2015-11-16,5.15,5.15,5.00,5.14,93700,5.14
2015-11-13,5.15,5.15,5.00,5.00,251400,5.00
2015-11-12,5.00,5.24,4.76,5.00,1028100,5.00
