Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.87,3.90,3.058,3.45,3900,3.45
2016-01-22,3.50,3.50,3.15,3.25,2600,3.25
2016-01-21,3.32,3.35,3.01,3.35,5300,3.35
2016-01-20,3.31,3.35,3.12,3.12,7100,3.12
2016-01-19,3.33,3.49,3.08,3.317,14800,3.317
2016-01-15,4.14,4.14,3.599,3.80,5000,3.80
2016-01-14,4.22,4.29,4.10,4.20,5900,4.20
2016-01-13,4.40,4.40,3.95,4.28,14900,4.28
2016-01-12,4.42,4.42,3.95,4.21,3400,4.21
2016-01-11,4.30,4.30,4.23,4.28,2000,4.28
2016-01-08,4.207,4.31,4.13,4.16,9100,4.16
2016-01-07,4.36,4.36,4.05,4.285,9700,4.285
2016-01-06,4.40,4.41,4.05,4.30,12300,4.30
2016-01-05,4.20,4.60,4.18,4.40,7000,4.40
2016-01-04,4.12,4.52,4.03,4.30,6100,4.30
2015-12-31,4.40,4.59,3.96,4.46,16100,4.46
2015-12-30,4.45,4.45,4.10,4.45,9400,4.45
2015-12-29,4.10,4.52,3.96,4.50,16200,4.50
2015-12-28,4.21,4.60,4.21,4.35,29600,4.35
2015-12-24,4.12,4.71,3.92,4.50,65100,4.50
2015-12-23,3.59,4.13,3.50,4.12,47000,4.12
2015-12-22,3.62,3.62,3.50,3.59,6500,3.59
2015-12-21,3.76,3.86,3.32,3.78,25400,3.78
2015-12-18,3.84,3.84,3.84,3.84,200,3.84
2015-12-17,3.84,3.85,3.418,3.85,6100,3.85
2015-12-16,3.613,3.88,3.613,3.66,1500,3.66
2015-12-15,3.86,3.86,3.86,3.86,200,3.86
2015-12-14,3.95,3.96,3.42,3.55,9200,3.55
2015-12-11,3.83,3.83,3.38,3.69,11400,3.69
2015-12-10,4.16,4.16,3.78,3.95,12800,3.95
2015-12-09,4.25,4.30,3.83,4.18,20000,4.18
2015-12-08,4.10,4.27,4.04,4.04,19800,4.04
2015-12-07,3.808,4.38,3.80,4.10,32100,4.10
2015-12-04,3.20,3.59,3.20,3.59,27000,3.59
2015-12-03,3.00,3.15,3.00,3.07,16700,3.07
2015-12-02,3.03,3.22,2.82,2.90,15200,2.90
2015-12-01,2.74,3.15,2.70,3.014,30500,3.014
2015-11-30,2.59,2.69,2.46,2.61,5500,2.61
2015-11-27,2.71,2.93,2.37,2.56,11600,2.56
2015-11-25,2.55,2.58,2.528,2.58,10600,2.58
2015-11-24,2.574,2.80,2.57,2.80,2700,2.80
2015-11-23,2.54,2.54,2.53,2.53,600,2.53
2015-11-20,2.52,2.58,2.46,2.50,6000,2.50
2015-11-19,2.65,2.69,2.58,2.58,3300,2.58
2015-11-18,2.65,2.65,2.65,2.65,100,2.65
2015-11-17,2.62,2.81,2.52,2.61,13900,2.61
2015-11-16,2.65,2.75,2.601,2.622,3800,2.622
2015-11-13,3.00,3.00,2.65,2.75,3300,2.75
2015-11-12,2.80,3.02,2.80,2.82,2300,2.82
2015-11-11,2.70,2.84,2.70,2.73,2500,2.73
2015-11-10,2.525,2.85,2.525,2.705,28500,2.705
2015-11-09,2.52,2.66,2.35,2.514,8400,2.514
2015-11-06,2.50,2.60,2.42,2.48,15000,2.48
2015-11-05,2.88,2.88,2.55,2.55,20000,2.55
2015-11-04,2.52,2.577,2.50,2.52,4700,2.52
2015-11-03,2.70,3.045,2.45,2.65,49400,2.65
2015-11-02,2.65,2.68,2.53,2.53,4400,2.53
2015-10-30,2.63,2.73,2.50,2.52,7500,2.52
2015-10-29,2.58,2.90,2.56,2.773,2400,2.773
2015-10-28,2.90,2.95,2.66,2.711,5300,2.711
2015-10-27,3.19,3.19,2.60,2.89,25500,2.89
2015-10-26,2.803,3.22,2.80,3.02,50400,3.02
2015-10-23,2.44,2.91,2.44,2.77,39900,2.77
2015-10-22,2.53,2.686,2.30,2.55,120200,2.55
2015-10-21,2.42,2.47,2.25,2.29,19800,2.29
2015-10-20,2.40,2.90,2.40,2.42,20400,2.42
2015-10-19,2.40,2.90,2.40,2.57,22500,2.57
2015-10-16,2.46,2.73,2.45,2.60,17600,2.60
2015-10-15,2.90,2.97,2.50,2.71,30000,2.71
2015-10-14,2.67,2.99,2.445,2.82,17200,2.82
2015-10-13,2.96,3.495,2.65,2.72,27200,2.72
2015-10-12,2.98,2.98,2.59,2.66,6700,2.66
2015-10-09,2.79,2.99,2.61,2.61,30000,2.61
2015-10-08,2.18,2.80,2.18,2.66,48400,2.66
2015-10-07,2.11,2.30,2.10,2.16,14300,2.16
2015-10-06,2.32,2.32,2.00,2.19,22200,2.19
2015-10-05,2.91,3.15,2.22,2.39,47000,2.39
2015-10-02,2.23,2.37,2.15,2.35,16100,2.35
2015-10-01,2.10,2.39,2.10,2.22,9700,2.22
2015-09-30,2.42,2.50,2.15,2.15,22700,2.15
2015-09-29,2.80,2.80,2.41,2.45,19700,2.45
2015-09-28,3.41,3.41,2.64,2.80,37000,2.80
2015-09-25,4.23,4.38,3.25,3.41,65600,3.41
2015-09-24,4.50,4.50,4.00,4.00,36100,4.00
2015-09-23,4.20,4.37,4.03,4.37,1200,4.37
2015-09-22,4.52,4.52,4.22,4.50,3000,4.50
2015-09-21,4.58,4.58,3.80,3.80,3400,3.80
2015-09-18,4.08,4.08,4.08,4.08,300,4.08
2015-09-17,4.445,4.90,4.25,4.25,5800,4.25
2015-09-16,4.81,4.81,4.43,4.43,4900,4.43
2015-09-15,4.81,4.81,4.81,4.81,000,4.81
2015-09-14,5.55,5.55,4.81,4.81,3100,4.81
2015-09-11,5.30,5.30,5.30,5.30,000,5.30
2015-09-10,5.10,5.52,5.10,5.30,4800,5.30
2015-09-09,4.90,4.90,4.90,4.90,1100,4.90
2015-09-08,5.22,5.22,4.914,5.10,6000,5.10
2015-09-04,4.36,5.25,4.36,5.22,4400,5.22
2015-09-03,5.156,5.156,5.156,5.156,300,5.156
2015-09-02,5.00,5.00,5.00,5.00,100,5.00
2015-09-01,4.57,4.57,4.57,4.57,100,4.57
2015-08-31,5.50,5.50,5.50,5.50,200,5.50
2015-08-28,5.226,5.506,5.068,5.31,4100,5.31
2015-08-27,5.20,5.70,5.20,5.42,3100,5.42
2015-08-26,5.50,5.80,4.94,5.79,14400,5.79
2015-08-25,5.15,5.60,5.15,5.48,7200,5.48
2015-08-24,4.80,4.80,4.80,4.80,3000,4.80
2015-08-21,5.17,5.655,5.11,5.11,10300,5.11
2015-08-20,5.95,5.95,5.25,5.89,18200,5.89
2015-08-19,5.92,5.95,5.21,5.21,21800,5.21
2015-08-18,4.89,6.05,4.89,6.05,58600,6.05
2015-08-17,4.29,5.20,4.29,4.97,32600,4.97
2015-08-14,4.39,4.79,4.19,4.222,10600,4.222
2015-08-13,4.73,4.90,4.51,4.675,20900,4.675
2015-08-12,5.114,5.35,4.78,4.86,85200,4.86
2015-08-11,5.14,5.48,5.12,5.312,27200,5.312
2015-08-10,5.19,5.40,4.60,5.39,17000,5.39
2015-08-07,5.40,5.40,4.63,5.20,16100,5.20
2015-08-06,5.10,5.55,5.10,5.25,43000,5.25
2015-08-05,4.689,5.15,4.689,5.08,16800,5.08
2015-08-04,4.56,4.60,4.40,4.59,48400,4.59
2015-08-03,4.16,4.54,4.16,4.35,73400,4.35
2015-07-31,4.40,4.50,4.15,4.15,24600,4.15
2015-07-30,4.19,4.71,4.19,4.27,81400,4.27
2015-07-29,3.98,4.20,3.98,4.18,34700,4.18
2015-07-28,4.08,4.25,3.57,3.96,73000,3.96
2015-07-27,4.03,4.20,4.03,4.03,19300,4.03
2015-07-24,4.00,4.362,4.00,4.02,21000,4.02
2015-07-23,4.44,4.44,3.75,4.00,37700,4.00
2015-07-22,4.40,4.84,4.04,4.11,21400,4.11
2015-07-21,5.43,5.43,4.56,4.69,26500,4.69
2015-07-20,5.50,6.00,5.29,5.56,118800,5.56
2015-07-17,5.43,5.45,4.845,5.44,63200,5.44
2015-07-16,5.40,5.55,5.40,5.55,4700,5.55
2015-07-15,5.50,5.51,5.30,5.40,39400,5.40
2015-07-14,5.55,5.72,5.44,5.50,35500,5.50
2015-07-13,5.18,5.57,5.18,5.44,49100,5.44
2015-07-10,4.80,5.22,4.80,5.09,72300,5.09
2015-07-09,4.34,4.68,4.15,4.67,125000,4.67
2015-07-08,5.10,5.29,3.83,3.98,231100,3.98
2015-07-07,6.09,6.24,5.07,5.39,160300,5.39
2015-07-06,6.24,6.24,6.00,6.14,48400,6.14
2015-07-02,6.32,6.54,6.10,6.25,248600,6.25
2015-07-01,6.07,6.30,6.00,6.18,53700,6.18
2015-06-30,6.14,6.26,6.00,6.00,98900,6.00
2015-06-29,6.15,6.80,5.42,5.93,587900,5.93
