Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,31.780001,32.34,30.10,32.290001,71300,32.290001
2016-01-22,31.68,32.917,30.50,30.76,74000,30.76
2016-01-21,32.810001,34.080002,31.200001,34.080002,60200,34.080002
2016-01-20,37.200001,38.060001,30.360001,31.99,130100,31.99
2016-01-19,31.18,36.279999,30.68,34.66,107700,34.66
2016-01-15,33.869999,34.580002,31.959999,32.560001,139700,32.560001
2016-01-14,34.41,36.939999,29.00,30.33,257400,30.33
2016-01-13,29.15,34.528999,28.90,34.509998,130900,34.509998
2016-01-12,29.76,32.779999,27.690001,29.75,189300,29.75
2016-01-11,27.790001,32.929001,27.66,31.030001,128300,31.030001
2016-01-08,25.40,28.25,25.33,28.219999,84700,28.219999
2016-01-07,25.700001,26.67,24.90,26.67,127900,26.67
2016-01-06,23.549999,24.360001,22.950001,23.75,30400,23.75
2016-01-05,22.34,22.811001,21.76,22.52,31000,22.52
2016-01-04,21.83,22.950001,21.700001,22.450001,85300,22.450001
2015-12-31,20.209999,20.51,19.891001,20.51,68000,20.51
2015-12-30,19.76,20.07,19.65,20.040001,29000,20.040001
2015-12-29,20.379999,20.379999,19.549999,19.65,28800,19.65
2015-12-28,20.65,20.99,20.540001,20.700001,17500,20.700001
2015-12-24,20.469999,20.469999,20.10,20.209999,14900,20.209999
2015-12-23,21.09,21.09,20.371,20.52,51800,20.52
2015-12-22,21.58,22.049999,21.469999,21.709999,20200,21.709999
2015-12-21,21.709999,22.450001,21.629999,21.780001,32500,21.780001
2015-12-18,22.00,22.33,21.309999,22.190001,56200,22.190001
2015-12-17,20.540001,21.895,20.540001,21.799999,45300,21.799999
2015-12-16,21.82,22.209999,20.716,20.799999,50300,20.799999
2015-12-15,23.530001,23.610001,22.08,22.370001,68200,22.370001
2015-12-14,24.224001,25.82,23.92,24.42,78300,24.42
2015-12-11,23.290001,24.700001,23.01,24.610001,120600,24.610001
2015-12-10,23.68,23.68,22.469999,22.75,21300,22.75
2015-12-09,22.940001,23.98,22.42,23.50,60400,23.50
2015-12-08,24.57,24.58,22.35,22.49,58500,22.49
2015-12-07,22.60,24.01,22.549999,23.801001,53800,23.801001
2015-12-04,24.379999,24.379999,22.379999,22.379999,61500,22.379999
2015-12-03,22.139999,25.00,22.139999,24.540001,92800,24.540001
2015-12-02,22.068001,22.40,21.299999,22.26,24500,22.26
2015-12-01,21.629999,22.719999,21.629999,21.780001,82500,21.780001
2015-11-30,20.709999,22.559999,20.709999,22.16,115900,22.16
2015-11-27,21.360001,21.360001,20.84,20.940001,35800,20.940001
2015-11-25,21.950001,21.950001,21.25,21.360001,59400,21.360001
2015-11-24,22.549999,22.709999,22.01,22.120001,25500,22.120001
2015-11-23,22.18,22.35,21.40,21.969999,37200,21.969999
2015-11-20,22.08,22.540001,21.799999,22.440001,47900,22.440001
2015-11-19,21.469999,22.52,21.33,22.379999,153400,22.379999
2015-11-18,23.17,23.40,21.360001,21.400999,99200,21.400999
2015-11-17,24.129999,24.65,22.98,23.52,66800,23.52
2015-11-16,25.17,26.10,24.370001,24.370001,101400,24.370001
2015-11-13,25.59,25.74,23.60,24.809999,69400,24.809999
2015-11-12,24.309999,25.610001,24.00,25.58,96000,25.58
2015-11-11,23.049999,24.16,22.799999,24.16,71100,24.16
2015-11-10,23.41,23.940001,22.959999,23.059999,65600,23.059999
2015-11-09,23.91,24.00,22.950001,23.32,54200,23.32
2015-11-06,23.51,24.75,23.00,23.40,103900,23.40
2015-11-05,22.50,23.780001,22.49,23.200001,141000,23.200001
2015-11-04,21.34,22.940001,21.299999,21.940001,90900,21.940001
2015-11-03,22.16,22.75,21.219999,21.789,108500,21.789
2015-11-02,23.99,23.99,21.85,21.860001,106200,21.860001
2015-10-30,23.90,24.66,23.90,24.639999,24400,24.639999
2015-10-29,23.43,24.23,22.33,23.969999,83400,23.969999
2015-10-28,24.790001,25.780001,23.41,23.41,110200,23.41
2015-10-27,26.552,26.552,24.43,24.440001,70900,24.440001
2015-10-26,27.60,28.40,25.68,26.90,93300,26.90
2015-10-23,28.84,29.209999,27.139999,27.139999,122400,27.139999
2015-10-22,30.51,32.16,29.68,30.26,194600,30.26
2015-10-21,28.860001,33.380001,28.25,30.65,162800,30.65
2015-10-20,27.60,30.299999,27.50,30.200001,99800,30.200001
2015-10-19,28.200001,29.441999,26.299,27.50,112200,27.50
2015-10-16,27.879999,29.040001,27.299999,28.077,25000,28.077
2015-10-15,33.209999,33.349998,27.940001,27.954,88600,27.954
2015-10-14,31.940001,33.355999,30.24,32.139999,86700,32.139999
2015-10-13,31.032,33.080002,29.191,33.080002,55700,33.080002
2015-10-12,29.879999,30.705999,29.23,30.209999,69400,30.209999
2015-10-09,30.360001,31.478001,29.41,30.23,59900,30.23
2015-10-08,30.709999,33.68,30.10,30.66,83600,30.66
2015-10-07,31.92,33.66,29.52,30.469999,72100,30.469999
2015-10-06,30.35,34.849998,30.17,32.41,99300,32.41
2015-10-05,27.809999,30.42,26.83,29.156,70600,29.156
2015-10-02,33.91,34.099998,28.559999,28.559999,143200,28.559999
2015-10-01,32.529999,34.439999,31.59,31.66,101600,31.66
2015-09-30,34.549999,35.50,32.240002,32.799999,132000,32.799999
2015-09-29,37.060001,38.849998,32.700001,37.549999,240600,37.549999
2015-09-28,32.759998,38.799999,32.049999,37.25,288800,37.25
2015-09-25,26.200001,32.75,26.10,31.26,176200,31.26
2015-09-24,26.23,28.658001,26.08,27.25,114100,27.25
2015-09-23,25.459999,26.371,24.559999,25.73,82800,25.73
2015-09-22,25.50,26.530001,24.75,25.360001,91300,25.360001
2015-09-21,21.131001,24.67,20.879999,24.08,148900,24.08
2015-09-18,21.10,21.358,20.60,21.24,60400,21.24
2015-09-17,21.790001,21.790001,19.60,20.26,51300,20.26
2015-09-16,21.09,22.10,21.09,21.559999,37900,21.559999
2015-09-15,21.889999,22.17,21.10,21.23,35300,21.23
2015-09-14,21.68,22.67,21.59,21.98,41100,21.98
2015-09-11,23.00,23.059999,21.709999,21.73,59500,21.73
2015-09-10,24.049999,24.049999,22.15,22.52,81000,22.52
2015-09-09,21.75,24.01,21.68,23.889999,57700,23.889999
2015-09-08,24.309999,24.551001,22.360001,22.409,85900,22.409
2015-09-04,26.610001,26.780001,25.062,25.639999,93900,25.639999
2015-09-03,23.82,25.51,23.309999,25.379999,44500,25.379999
2015-09-02,25.77,26.799999,24.00,24.00,95000,24.00
2015-09-01,27.02,27.219999,25.35,26.85,158100,26.85
2015-08-31,22.940001,25.15,22.690001,25.120001,60100,25.120001
2015-08-28,23.68,23.91,22.879999,22.90,72200,22.90
2015-08-27,23.950001,24.799999,23.110001,23.440001,102200,23.440001
2015-08-26,27.41,30.030001,25.201,25.35,43200,25.35
