Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.45,13.64,13.00,13.37,18500,13.37
2016-01-22,13.67,13.67,13.50,13.50,5600,13.50
2016-01-21,13.42,13.62,13.38,13.54,59800,13.54
2016-01-20,13.37,13.62,12.58,13.46,23100,13.46
2016-01-19,13.70,13.70,12.975,13.52,36000,13.52
2016-01-15,13.52,13.80,13.52,13.76,29200,13.76
2016-01-14,13.79,13.80,13.60,13.79,8100,13.79
2016-01-13,13.99,13.99,13.62,13.64,12900,13.64
2016-01-12,14.05,14.10,13.85,14.01,46700,14.01
2016-01-11,14.15,14.15,13.27,13.98,48100,13.98
2016-01-08,14.47,14.47,14.16,14.16,42800,14.16
2016-01-07,14.30,14.45,14.30,14.41,160400,14.41
2016-01-06,14.26,14.49,14.25,14.49,422700,14.49
2016-01-05,14.82,14.85,14.36,14.47,58200,14.47
2016-01-04,14.88,14.90,14.60,14.85,32900,14.85
2015-12-31,14.87,15.00,14.69,14.98,11200,14.98
2015-12-30,14.52,14.84,14.52,14.84,1300,14.84
2015-12-29,14.60,14.99,14.60,14.93,23400,14.93
2015-12-28,14.83,14.87,14.47,14.52,20700,14.52
2015-12-24,14.85,14.96,14.50,14.78,8100,14.78
2015-12-23,14.74,14.90,14.70,14.89,183200,14.89
2015-12-22,14.60,14.70,14.60,14.69,8600,14.69
2015-12-21,14.74,14.74,14.575,14.70,13700,14.70
2015-12-18,14.70,14.74,14.31,14.65,927100,14.65
2015-12-17,14.74,14.97,14.43,14.64,87500,14.64
2015-12-16,14.49,14.75,14.31,14.75,78300,14.75
2015-12-15,14.24,14.64,14.18,14.48,45400,14.48
2015-12-14,14.50,14.69,14.17,14.21,596100,14.21
2015-12-11,14.69,14.69,14.36,14.53,38900,14.53
2015-12-10,14.62,14.65,14.55,14.64,17300,14.64
2015-12-09,14.55,14.70,14.54,14.68,31800,14.68
2015-12-08,14.74,14.75,14.37,14.67,60600,14.67
2015-12-07,14.36,14.75,14.36,14.69,41900,14.69
2015-12-04,14.37,14.60,14.36,14.40,15100,14.40
2015-12-03,14.48,14.75,14.36,14.37,11500,14.37
2015-12-02,14.70,14.75,14.40,14.52,53100,14.52
2015-12-01,14.35,14.67,14.35,14.53,24700,14.53
2015-11-30,14.44,14.45,14.35,14.43,18900,14.43
2015-11-27,14.30,14.44,14.30,14.35,8200,14.35
2015-11-25,14.45,14.45,14.32,14.32,600,14.32
2015-11-24,14.20,14.45,14.20,14.45,24400,14.45
2015-11-23,14.30,14.45,14.30,14.36,34000,14.36
2015-11-20,14.35,14.35,14.25,14.27,39100,14.27
2015-11-19,14.30,14.70,14.255,14.50,11000,14.50
2015-11-18,14.40,14.70,14.25,14.57,67100,14.57
2015-11-17,14.59,14.89,14.55,14.75,12300,14.75
2015-11-16,14.85,14.85,14.32,14.53,27600,14.53
2015-11-13,14.39,15.00,14.16,14.79,212500,14.79
2015-11-12,14.30,14.30,14.20,14.26,33800,14.26
2015-11-11,14.25,14.375,14.25,14.30,186400,14.30
2015-11-10,14.60,14.60,14.215,14.25,16400,14.25
2015-11-09,14.19,14.35,14.15,14.25,25600,14.25
2015-11-06,14.16,14.205,14.07,14.15,51200,14.15
2015-11-05,14.30,14.50,13.99,14.05,147000,14.05
2015-11-04,15.001,15.05,14.30,14.305,76400,14.305
2015-11-03,17.50,17.50,15.66,15.66,3800,15.66
2015-11-02,13.80,15.00,13.80,15.00,1700,15.00
