Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,22.24,22.24,19.98,20.15,28300,20.15
2016-01-22,22.85,23.969999,21.60,22.00,40900,22.00
2016-01-21,21.299999,23.08,20.02,22.559999,31000,22.559999
2016-01-20,19.690001,21.73,19.41,21.049999,36500,21.049999
2016-01-19,20.50,21.639999,19.030001,19.98,34000,19.98
2016-01-15,20.530001,21.054001,19.280001,20.42,49500,20.42
2016-01-14,19.950001,21.299999,19.41,21.15,30700,21.15
2016-01-13,20.459999,20.860001,19.23,20.18,60700,20.18
2016-01-12,19.719999,20.690001,18.27,20.43,68800,20.43
2016-01-11,25.35,25.35,16.50,19.440001,95800,19.440001
2016-01-08,23.98,24.42,23.43,23.50,19700,23.50
2016-01-07,25.09,26.059999,23.799999,23.98,26800,23.98
2016-01-06,27.219999,27.684999,25.360001,25.68,41200,25.68
2016-01-05,26.360001,27.719999,24.32,27.370001,42800,27.370001
2016-01-04,26.860001,27.934999,25.059999,26.389999,60000,26.389999
2015-12-31,25.85,27.860001,25.629999,26.940001,45200,26.940001
2015-12-30,23.68,26.809999,23.68,25.59,37300,25.59
2015-12-29,29.00,29.00,23.290001,24.09,77000,24.09
2015-12-28,28.969999,28.969999,28.315001,28.780001,15700,28.780001
2015-12-24,28.59,29.280001,28.50,28.99,6000,28.99
2015-12-23,30.00,30.00,28.40,28.690001,26300,28.690001
2015-12-22,29.24,29.49,28.92,29.280001,31500,29.280001
2015-12-21,28.719999,30.00,28.360001,29.139999,76900,29.139999
2015-12-18,28.41,29.75,27.50,28.68,840700,28.68
2015-12-17,26.26,33.880001,26.26,28.92,183700,28.92
2015-12-16,21.00,25.969999,20.795,25.969999,104900,25.969999
2015-12-15,22.450001,23.139999,21.009001,22.030001,59000,22.030001
2015-12-14,21.85,24.75,21.559999,22.67,59300,22.67
2015-12-11,21.43,22.43,20.566999,22.049999,63400,22.049999
2015-12-10,21.15,22.43,20.32,21.440001,33100,21.440001
2015-12-09,20.860001,22.389999,20.110001,21.00,32100,21.00
2015-12-08,21.450001,21.84,20.440001,21.10,72500,21.10
2015-12-07,21.190001,22.200001,19.799999,21.025,62200,21.025
2015-12-04,20.370001,21.84,20.00,21.129999,19000,21.129999
2015-12-03,21.299999,22.445,19.790001,20.549999,74400,20.549999
2015-12-02,23.129999,23.42,21.105,21.40,57000,21.40
2015-12-01,23.60,23.60,22.540001,23.24,21300,23.24
2015-11-30,23.26,23.60,22.700001,23.549999,16900,23.549999
2015-11-27,22.50,24.08,21.07,23.40,78800,23.40
2015-11-25,23.059999,24.50,19.860001,23.389999,47200,23.389999
2015-11-24,23.16,24.475,20.610001,23.50,43800,23.50
2015-11-23,20.459999,24.60,20.280001,23.65,72700,23.65
2015-11-20,19.68,22.049999,19.35,20.84,51000,20.84
2015-11-19,19.92,20.90,18.309999,19.90,77800,19.90
2015-11-18,22.139999,23.49,19.68,19.950001,90900,19.950001
2015-11-17,18.10,18.959999,18.01,18.809999,26400,18.809999
2015-11-16,18.17,18.780001,16.660999,18.360001,40500,18.360001
2015-11-13,17.200001,18.219999,16.33,18.15,69100,18.15
2015-11-12,16.700001,17.24,16.087,16.91,114000,16.91
2015-11-11,16.620001,17.49,15.63,16.610001,56000,16.610001
2015-11-10,15.44,17.809999,14.98,17.290001,70500,17.290001
2015-11-09,14.67,15.29,14.46,15.14,15200,15.14
2015-11-06,14.86,15.15,14.588,14.67,10000,14.67
2015-11-05,15.10,15.45,14.43,15.21,21700,15.21
2015-11-04,14.93,15.46,14.31,14.90,42100,14.90
2015-11-03,14.28,15.29,14.28,15.13,23300,15.13
2015-11-02,14.22,15.15,14.06,14.61,45400,14.61
2015-10-30,14.02,14.855,13.956,14.47,19700,14.47
2015-10-29,14.03,14.91,13.93,14.38,122500,14.38
2015-10-28,14.28,15.03,13.624,14.31,184300,14.31
2015-10-27,14.64,15.07,14.042,14.66,25500,14.66
2015-10-26,14.44,15.255,14.25,14.48,14500,14.48
2015-10-23,14.48,15.55,12.99,14.43,121300,14.43
2015-10-22,15.41,15.41,13.503,14.50,117900,14.50
2015-10-21,15.18,15.18,14.25,14.92,27400,14.92
2015-10-20,14.96,16.08,14.167,15.43,84300,15.43
2015-10-19,14.91,15.44,13.85,15.42,176700,15.42
2015-10-16,15.78,15.78,14.09,14.57,15800,14.57
2015-10-15,14.58,17.24,14.55,15.56,187200,15.56
2015-10-14,12.95,14.47,12.07,14.36,152400,14.36
2015-10-13,13.60,13.97,12.32,12.46,68200,12.46
2015-10-12,13.34,14.12,12.50,13.60,325200,13.60
2015-10-09,11.00,13.98,11.00,12.50,161900,12.50
2015-10-08,11.14,11.30,10.99,11.05,125100,11.05
2015-10-07,11.94,11.98,11.00,11.05,1158700,11.05
2015-10-06,11.00,11.00,11.00,11.00,000,11.00
