Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,11.04,11.04,11.04,11.04,000,11.04
2016-01-22,11.04,11.04,11.04,11.04,000,11.04
2016-01-21,11.04,11.04,11.04,11.04,000,11.04
2016-01-20,11.04,11.04,11.04,11.04,200,11.04
2016-01-19,11.44,11.44,11.44,11.44,000,11.44
2016-01-15,11.50,11.50,11.44,11.44,900,11.44
2016-01-14,11.691,11.691,11.691,11.691,000,11.691
2016-01-13,11.721,11.721,11.691,11.691,700,11.691
2016-01-12,11.64,11.64,11.64,11.64,000,11.64
2016-01-11,11.67,11.67,11.64,11.64,9400,11.64
2016-01-08,11.98,11.98,11.90,11.90,2300,11.90
2016-01-07,12.15,12.15,12.15,12.15,300,12.15
2016-01-06,12.39,12.40,12.39,12.40,2000,12.40
2016-01-05,12.78,12.78,12.78,12.78,000,12.78
2016-01-04,12.78,12.78,12.78,12.78,000,12.78
2015-12-31,12.79,12.81,12.78,12.78,9000,12.78
2015-12-30,12.90,12.90,12.90,12.90,800,12.90
2015-12-29,12.87,12.87,12.86,12.86,4800,12.86
2015-12-28,12.861,12.861,12.861,12.861,700,12.745
2015-12-24,13.01,13.01,13.01,13.01,000,12.892657
2015-12-23,13.01,13.01,13.01,13.01,1300,12.892657
2015-12-22,12.62,12.62,12.62,12.62,000,12.506174
2015-12-21,12.62,12.62,12.62,12.62,500,12.506174
2015-12-18,12.64,12.64,12.64,12.64,1000,12.525994
2015-12-17,12.87,12.87,12.82,12.87,800,12.753919
2015-12-16,13.00,13.00,12.996,12.996,1000,12.878783
2015-12-15,12.73,12.91,12.73,12.90,2400,12.783648
2015-12-14,12.77,12.77,12.77,12.77,000,12.654822
2015-12-11,12.85,12.85,12.77,12.77,1500,12.654822
2015-12-10,13.37,13.37,13.37,13.37,000,13.249409
2015-12-09,13.37,13.37,13.37,13.37,000,13.249409
2015-12-08,13.37,13.37,13.37,13.37,000,13.249409
2015-12-07,13.37,13.37,13.37,13.37,000,13.249409
2015-12-04,13.37,13.37,13.37,13.37,000,13.249409
2015-12-03,13.37,13.37,13.37,13.37,1200,13.249409
2015-12-02,13.40,13.40,13.37,13.37,1400,13.249409
