189999,51.799999,51.189999,51.34,2900,44.282125
2008-04-15,50.599998,50.650002,50.41,50.650002,3100,43.686982
2008-04-14,51.189999,51.189999,50.400002,50.509998,3900,43.566226
2008-04-11,50.82,50.82,50.310001,50.310001,600,43.393723
2008-04-10,51.50,51.50,50.84,51.119999,6900,44.092368
2008-04-09,51.32,51.32,51.029999,51.119999,4300,44.092368
2008-04-08,51.330002,52.09,51.330002,52.09,800,44.92902
2008-04-07,52.990002,52.990002,51.25,51.77,11300,44.653012
2008-04-04,54.950001,54.950001,51.470001,51.470001,9900,44.394254
2008-04-03,59.700001,59.700001,50.950001,51.50,29100,44.420129
2008-04-02,51.119999,51.400002,51.049999,51.209999,10700,44.169995
2008-04-01,50.25,50.650002,50.16,50.650002,600,43.686982
2008-03-31,50.00,50.00,49.32,49.32,400,42.53982
2008-03-28,50.099998,50.099998,50.099998,50.099998,200,43.21259
