Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,43.18,43.18,43.18,43.18,000,43.18
2016-01-22,43.18,43.18,43.18,43.18,100,43.115001
2016-01-21,43.150002,43.150002,43.110001,43.110001,500,43.045106
2016-01-20,43.139999,43.139999,43.040001,43.139999,1400,43.07506
2016-01-19,43.400002,43.41,43.240002,43.240002,700,43.174912
2016-01-15,43.389999,43.41,43.360001,43.41,26600,43.344654
2016-01-14,43.669998,43.740002,43.669998,43.720001,27800,43.654189
2016-01-13,43.700001,43.700001,43.48,43.529999,1500,43.464472
2016-01-12,43.939999,43.939999,43.700001,43.700001,1300,43.634218
2016-01-11,43.669998,43.880001,43.669998,43.849998,2400,43.78399
2016-01-08,43.849998,43.849998,43.75,43.779999,5700,43.714096
2016-01-07,44.02,44.040001,43.759998,43.889999,2200,43.823931
2016-01-06,44.09,44.09,43.93,43.93,400,43.863872
2016-01-05,44.07,44.07,44.07,44.07,000,44.00366
2016-01-04,44.110001,44.110001,43.889999,44.07,9700,44.00366
2015-12-31,44.09,44.169998,44.09,44.169998,300,44.103508
2015-12-30,44.169998,44.169998,44.150002,44.150002,500,44.083542
2015-12-29,44.139999,44.310001,44.02,44.049999,7900,43.98369
2015-12-28,43.880001,43.889999,43.880001,43.889999,400,43.823931
2015-12-24,43.990002,43.990002,43.990002,43.990002,100,43.923783
2015-12-23,44.040001,44.040001,44.040001,44.040001,500,43.973707
2015-12-22,44.130001,44.130001,44.130001,44.130001,200,44.063572
2015-12-21,44.200001,44.200001,44.200001,44.200001,000,44.133466
2015-12-18,44.200001,44.200001,44.200001,44.200001,000,44.063572
2015-12-17,44.200001,44.200001,44.200001,44.200001,400,44.063572
2015-12-16,44.290001,44.32,44.150002,44.209999,2200,44.073539
2015-12-15,44.07,44.240002,44.07,44.080002,6100,43.943943
2015-12-14,43.869999,44.16,43.869999,44.009998,6100,43.874156
2015-12-11,44.150002,44.150002,43.860001,43.860001,4700,43.724621
2015-12-10,44.290001,44.290001,44.150002,44.150002,1000,44.013727
2015-12-09,44.25,44.25,44.25,44.25,1300,44.113417
2015-12-08,44.099998,44.139999,44.099998,44.139999,700,44.003756
2015-12-07,44.509998,44.509998,44.259998,44.259998,1000,44.123384
2015-12-04,44.419998,44.450001,44.360001,44.389999,1200,44.252984
2015-12-03,44.380001,44.50,44.279999,44.43,6300,44.292861
2015-12-02,44.150002,44.290001,44.150002,44.279999,2800,44.143323
2015-12-01,44.470001,44.470001,44.110001,44.169998,5900,44.033662
2015-11-30,44.330002,44.349998,44.259998,44.349998,96600,44.213107
2015-11-27,44.41,44.41,44.259998,44.259998,1800,44.123384
2015-11-25,44.259998,44.349998,44.259998,44.330002,1700,44.193172
2015-11-24,44.419998,44.419998,44.310001,44.310001,500,44.173233
2015-11-23,44.450001,44.450001,44.349998,44.349998,95300,44.213107
2015-11-20,44.450001,44.450001,44.43,44.43,1500,44.218091
2015-11-19,44.450001,44.450001,44.439999,44.439999,200,44.228042
2015-11-18,44.689999,44.689999,44.380001,44.450001,3100,44.237996
2015-11-17,44.880001,44.880001,44.389999,44.389999,6200,44.178281
2015-11-16,44.619999,44.669998,44.59,44.619999,31700,44.407184
2015-11-13,44.490002,44.560001,44.439999,44.459999,3400,44.247947
2015-11-12,44.700001,44.709999,44.599998,44.599998,1200,44.387279
2015-11-11,44.560001,44.830002,44.560001,44.810001,4500,44.59628
