Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,28.98,29.040001,28.00,28.459999,6617300,28.459999
2016-01-22,28.620001,29.40,28.209999,29.040001,9375400,29.040001
2016-01-21,28.07,28.459999,27.73,27.969999,6417400,27.969999
2016-01-20,28.99,28.99,27.280001,28.309999,6689600,28.309999
2016-01-19,29.639999,29.77,28.40,28.93,5995300,28.93
2016-01-15,29.33,29.889999,28.75,29.110001,4880900,29.110001
2016-01-14,30.190001,30.530001,29.33,30.290001,4007100,30.290001
2016-01-13,31.799999,31.799999,29.790001,30.01,3841200,30.01
2016-01-12,30.09,31.23,30.09,31.110001,4151500,31.110001
2016-01-11,31.34,31.360001,30.23,30.67,2884700,30.67
2016-01-08,31.52,31.719999,30.959999,31.02,3516300,31.02
2016-01-07,31.700001,31.870001,30.879999,31.030001,2893300,31.030001
2016-01-06,32.84,32.93,32.049999,32.34,3085900,32.34
2016-01-05,33.759998,33.799999,33.110001,33.41,2767300,33.41
2016-01-04,33.830002,33.93,33.189999,33.59,3269900,33.59
2015-12-31,34.869999,35.259998,34.709999,34.709999,1156900,34.709999
2015-12-30,35.23,35.439999,35.040001,35.16,1089600,35.16
2015-12-29,35.400002,35.459999,35.049999,35.209999,1349300,35.209999
2015-12-28,34.759998,35.02,34.509998,34.959999,1247900,34.959999
2015-12-24,34.950001,35.049999,34.77,34.860001,373500,34.860001
2015-12-23,35.049999,35.049999,34.470001,34.919998,1500200,34.919998
2015-12-22,34.040001,34.82,33.970001,34.73,1934300,34.73
2015-12-21,34.029999,34.330002,33.560001,33.970001,2126300,33.970001
2015-12-18,34.57,34.830002,33.759998,33.779999,3605000,33.779999
2015-12-17,35.860001,35.98,34.82,34.830002,2916000,34.830002
2015-12-16,35.759998,36.009998,34.790001,35.700001,4008200,35.700001
2015-12-15,34.75,35.57,34.619999,35.470001,2389500,35.470001
2015-12-14,34.529999,35.07,33.869999,34.290001,3298800,34.290001
2015-12-11,35.07,35.189999,34.25,34.310001,2544800,34.310001
2015-12-10,35.389999,36.029999,35.18,35.639999,1854900,35.639999
2015-12-09,35.779999,36.259998,35.09,35.310001,2153000,35.310001
2015-12-08,36.02,36.16,35.59,36.02,2717400,36.02
2015-12-07,36.779999,36.779999,36.040001,36.349998,2690500,36.349998
2015-12-04,36.240002,37.060001,36.110001,36.810001,3101500,36.810001
2015-12-03,37.09,37.09,35.759998,36.009998,2638100,36.009998
2015-12-02,37.060001,37.060001,36.509998,36.759998,1998100,36.759998
2015-12-01,36.919998,37.139999,36.349998,36.919998,2205200,36.919998
2015-11-30,36.759998,36.849998,36.419998,36.630001,2035200,36.630001
2015-11-27,36.509998,36.77,36.389999,36.740002,691900,36.740002
2015-11-25,36.43,36.599998,36.07,36.540001,1135000,36.540001
2015-11-24,36.189999,36.50,36.049999,36.34,2787600,36.34
2015-11-23,36.939999,37.060001,36.549999,36.57,1381600,36.57
2015-11-20,36.860001,36.990002,36.669998,36.889999,1753100,36.889999
2015-11-19,36.790001,37.00,36.240002,36.580002,1874100,36.580002
2015-11-18,36.439999,37.00,36.189999,36.880001,2306300,36.880001
2015-11-17,36.099998,36.630001,35.860001,36.189999,1800900,36.189999
2015-11-16,35.610001,36.02,35.290001,36.02,1922000,36.02
2015-11-13,35.959999,36.360001,35.200001,35.700001,2510400,35.700001
2015-11-12,36.419998,36.52,36.040001,36.040001,1535000,36.040001
2015-11-11,36.939999,37.00,36.59,36.75,1872600,36.75
2015-11-10,36.75,36.830002,36.099998,36.639999,3023600,36.639999
2015-11-09,37.389999,37.560001,36.759998,36.950001,2447500,36.950001
