Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.514,9.514,9.514,9.514,000,9.514
2016-01-22,9.514,9.514,9.514,9.514,100,9.514
2016-01-21,9.45,9.45,9.45,9.45,000,9.45
2016-01-20,9.45,9.45,9.45,9.45,000,9.45
2016-01-19,9.45,9.45,9.45,9.45,000,9.45
2016-01-15,9.45,9.45,9.45,9.45,000,9.45
2016-01-14,9.45,9.45,9.45,9.45,000,9.45
2016-01-13,9.45,9.45,9.45,9.45,000,9.45
2016-01-12,9.45,9.45,9.45,9.45,000,9.45
2016-01-11,9.45,9.45,9.45,9.45,000,9.45
2016-01-08,9.45,9.45,9.45,9.45,000,9.45
2016-01-07,9.45,9.45,9.45,9.45,000,9.45
2016-01-06,9.45,9.45,9.45,9.45,000,9.45
2016-01-05,9.49,9.49,9.40,9.45,12700,9.45
2016-01-04,9.49,9.49,9.49,9.49,2400,9.49
2015-12-31,9.52,9.55,9.49,9.50,2100,9.50
2015-12-30,9.49,9.51,9.49,9.49,5300,9.49
2015-12-29,9.50,9.50,9.50,9.50,10300,9.50
2015-12-28,9.508,9.51,9.49,9.50,6000,9.50
2015-12-24,9.60,9.60,9.55,9.55,200,9.55
2015-12-23,9.60,9.60,9.60,9.60,000,9.60
2015-12-22,9.55,9.60,9.55,9.60,12100,9.60
2015-12-21,9.46,9.46,9.46,9.46,000,9.46
2015-12-18,9.46,9.46,9.46,9.46,000,9.46
2015-12-17,9.46,9.46,9.46,9.46,000,9.46
2015-12-16,9.50,9.50,9.45,9.46,13500,9.46
2015-12-15,9.45,9.51,9.45,9.51,6500,9.51
2015-12-14,9.51,9.51,9.51,9.51,000,9.51
2015-12-11,9.50,9.55,9.50,9.51,3300,9.51
2015-12-10,9.50,9.50,9.50,9.50,4300,9.50
2015-12-09,9.55,9.58,9.51,9.51,5300,9.51
2015-12-08,9.65,9.65,9.55,9.57,82900,9.57
