Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,4.55,4.66,4.55,4.65,6900,4.65
2016-01-22,4.65,4.656,4.50,4.55,14200,4.55
2016-01-21,4.85,4.86,4.50,4.51,37200,4.51
2016-01-20,4.958,4.96,4.74,4.80,12300,4.80
2016-01-19,5.01,5.01,4.91,4.93,6300,4.93
2016-01-15,5.00,5.07,5.00,5.00,9100,5.00
2016-01-14,5.00,5.10,5.00,5.07,3300,5.07
2016-01-13,5.08,5.08,5.00,5.00,5400,5.00
2016-01-12,5.089,5.09,5.00,5.04,14000,5.04
2016-01-11,5.31,5.31,5.00,5.09,25200,5.09
2016-01-08,5.23,5.24,5.083,5.20,24800,5.20
2016-01-07,5.20,5.303,5.154,5.16,8300,5.16
2016-01-06,5.34,5.34,5.25,5.25,1600,5.25
2016-01-05,5.18,5.39,5.097,5.39,14700,5.39
2016-01-04,5.29,5.48,5.17,5.17,19100,5.17
2015-12-31,5.40,5.49,5.25,5.33,53100,5.33
2015-12-30,5.256,5.40,5.18,5.38,15000,5.38
2015-12-29,5.17,5.35,5.11,5.27,26600,5.27
2015-12-28,5.08,5.15,5.07,5.12,13600,5.12
2015-12-24,5.14,5.14,5.06,5.07,1300,5.07
2015-12-23,5.13,5.17,5.09,5.12,6300,5.12
2015-12-22,5.15,5.16,5.028,5.08,4300,5.08
2015-12-21,5.18,5.19,5.05,5.10,11100,5.10
2015-12-18,5.19,5.19,5.05,5.05,54300,5.05
2015-12-17,5.093,5.15,5.06,5.07,5100,5.07
2015-12-16,5.19,5.19,5.06,5.06,3300,5.06
2015-12-15,5.15,5.19,5.07,5.19,13900,5.19
2015-12-14,5.12,5.20,5.11,5.12,9700,5.12
2015-12-11,5.12,5.14,5.10,5.12,11000,5.12
2015-12-10,5.06,5.10,5.06,5.09,9800,5.09
2015-12-09,5.11,5.11,5.00,5.03,4500,5.03
2015-12-08,5.11,5.14,5.07,5.07,5700,5.07
2015-12-07,5.17,5.20,5.02,5.11,86200,5.11
2015-12-04,5.17,5.17,5.121,5.15,13600,5.15
2015-12-03,5.171,5.18,5.161,5.17,10000,5.17
2015-12-02,5.16,5.18,5.14,5.17,3500,5.17
2015-12-01,5.10,5.20,5.10,5.16,23400,5.16
2015-11-30,5.12,5.12,5.00,5.05,7600,5.05
2015-11-27,5.11,5.17,5.109,5.17,8000,5.17
2015-11-25,5.186,5.186,5.08,5.08,6900,5.08
2015-11-24,5.10,5.13,5.02,5.13,14100,5.13
2015-11-23,4.99,5.10,4.99,5.06,8000,5.06
2015-11-20,5.028,5.09,4.90,4.99,12600,4.99
2015-11-19,5.049,5.05,5.01,5.04,4800,5.04
2015-11-18,5.05,5.06,5.00,5.00,9300,5.00
2015-11-17,5.20,5.20,5.00,5.18,21900,5.18
2015-11-16,5.34,5.34,5.15,5.16,15000,5.16
2015-11-13,5.349,5.349,5.13,5.145,14800,5.145
2015-11-12,5.29,5.37,5.29,5.30,13100,5.30
2015-11-11,5.37,5.37,5.18,5.19,11200,5.19
2015-11-10,5.15,5.37,5.05,5.357,38400,5.357
2015-11-09,5.04,5.20,4.867,5.10,30100,5.10
2015-11-06,5.08,5.08,5.001,5.02,12300,5.02
2015-11-05,4.95,5.00,4.95,4.991,7100,4.991
2015-11-04,5.04,5.05,4.90,5.00,4500,5.00
2015-11-03,4.98,5.05,4.944,5.01,17900,5.01
2015-11-02,4.94,4.95,4.76,4.89,6900,4.89
2015-10-30,4.97,5.00,4.96,5.00,5600,5.00
2015-10-29,4.90,5.00,4.90,4.98,9200,4.98
2015-10-28,5.08,5.08,4.82,4.847,4800,4.847
2015-10-27,4.99,4.99,4.801,4.86,9400,4.86
2015-10-26,5.033,5.11,4.97,5.05,4500,5.05
2015-10-23,4.916,5.00,4.86,4.93,5300,4.93
2015-10-22,5.17,5.17,4.89,4.89,19300,4.89
2015-10-21,5.19,5.19,4.90,4.90,28500,4.90
2015-10-20,5.17,5.20,5.05,5.19,6200,5.19
2015-10-19,5.20,5.20,5.11,5.11,2000,5.11
2015-10-16,5.20,5.20,5.10,5.175,3400,5.175
2015-10-15,5.00,5.20,5.00,5.09,15200,5.09
2015-10-14,5.039,5.20,5.024,5.19,10800,5.19
2015-10-13,5.01,5.01,5.00,5.00,10200,5.00
2015-10-12,5.00,5.14,5.00,5.14,5000,5.14
2015-10-09,5.00,5.14,5.00,5.08,1600,5.08
2015-10-08,5.00,5.15,5.00,5.06,4700,5.06
2015-10-07,5.05,5.05,5.00,5.00,600,5.00
2015-10-06,5.13,5.14,5.00,5.14,14600,5.14
2015-10-05,5.18,5.18,5.10,5.13,16100,5.13
2015-10-02,5.03,5.15,5.01,5.11,39500,5.11
2015-10-01,5.14,5.15,5.00,5.08,46700,5.08
2015-09-30,5.00,5.20,4.99,5.07,37100,5.07
2015-09-29,4.81,4.97,4.80,4.92,9800,4.92
2015-09-28,4.80,5.00,4.80,4.89,11600,4.89
2015-09-25,4.90,5.10,4.825,4.90,7600,4.90
2015-09-24,4.78,5.08,4.71,4.92,4900,4.92
2015-09-23,4.821,5.04,4.70,4.98,6600,4.98
2015-09-22,5.01,5.30,4.81,4.90,128900,4.90
2015-09-21,5.05,5.17,5.00,5.01,19900,5.01
2015-09-18,5.31,5.45,4.94,4.94,285700,4.94
2015-09-17,5.33,5.455,5.30,5.375,20300,5.375
2015-09-16,5.29,5.42,5.21,5.38,11700,5.38
2015-09-15,5.41,5.49,5.12,5.23,33300,5.23
2015-09-14,5.43,5.55,5.11,5.26,68900,5.26
2015-09-11,4.91,5.45,4.91,5.45,79800,5.45
2015-09-10,5.03,5.10,5.00,5.05,17400,5.05
2015-09-09,5.03,5.10,5.01,5.09,12600,5.09
2015-09-08,5.10,5.10,4.95,5.07,26900,5.07
2015-09-04,5.00,5.00,4.88,4.96,10700,4.96
2015-09-03,4.88,5.09,4.88,4.98,18500,4.98
2015-09-02,4.93,4.93,4.783,4.84,2800,4.84
2015-09-01,4.84,4.99,4.65,4.85,18400,4.85
2015-08-31,5.14,5.14,4.847,4.99,38400,4.99
2015-08-28,4.99,5.20,4.86,5.20,59800,5.20
2015-08-27,4.90,4.99,4.752,4.92,23100,4.92
2015-08-26,5.00,5.00,4.80,5.00,19500,5.00
2015-08-25,4.80,5.00,4.50,5.00,49200,5.00
2015-08-24,5.05,5.05,4.62,4.78,26000,4.78
2015-08-21,4.85,5.14,4.85,5.00,26000,5.00
2015-08-20,5.09,5.39,4.76,4.88,29400,4.88
2015-08-19,5.26,5.40,5.11,5.19,22100,5.19
2015-08-18,5.50,5.50,5.21,5.50,16700,5.50
2015-08-17,5.50,5.56,5.30,5.50,27800,5.50
2015-08-14,5.61,5.75,5.30,5.44,43800,5.44
2015-08-13,5.55,5.61,5.33,5.36,25100,5.36
2015-08-12,5.38,5.559,5.36,5.49,30600,5.49
2015-08-11,5.40,5.475,5.30,5.36,34000,5.36
2015-08-10,5.45,5.55,5.30,5.31,42700,5.31
2015-08-07,5.15,5.60,5.15,5.42,58400,5.42
2015-08-06,5.04,5.24,5.04,5.15,35500,5.15
2015-08-05,4.99,5.10,4.78,5.00,103900,5.00
2015-08-04,4.90,5.05,4.66,4.99,278600,4.99
2015-08-03,5.93,5.97,4.85,5.025,290700,5.025
2015-07-31,6.50,6.55,5.25,5.35,537500,5.35
