Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,21.440001,21.485001,20.950001,20.950001,1500,20.950001
2016-01-22,21.67,21.67,20.84,21.219999,18900,21.219999
2016-01-21,21.129999,21.629999,20.67,20.67,7900,20.67
2016-01-20,19.459999,21.403,19.058001,21.09,19200,21.09
2016-01-19,21.610001,21.610001,19.65,20.02,23600,20.02
2016-01-15,20.889999,21.01,20.110001,21.01,16500,21.01
2016-01-14,20.709999,22.059999,19.799999,21.799999,26900,21.799999
2016-01-13,22.99,22.99,20.708,20.780001,10000,20.780001
2016-01-12,23.08,23.412001,21.709999,22.52,8400,22.52
2016-01-11,23.68,23.77,21.58,22.139999,16500,22.139999
2016-01-08,24.934,24.934,23.754999,23.809999,5800,23.809999
2016-01-07,24.85,25.00,24.219999,24.429001,10000,24.429001
2016-01-06,27.09,27.09,25.459999,25.90,26500,25.90
2016-01-05,27.700001,27.871,27.50,27.538,3700,27.538
2016-01-04,28.530001,28.530001,27.42,27.698,8100,27.698
2015-12-31,28.959999,29.290001,28.870001,29.049999,25800,29.049999
2015-12-30,29.34,29.735001,29.26,29.26,6000,29.26
2015-12-29,28.90,29.530001,28.860001,29.530001,17900,29.530001
2015-12-28,29.26,29.26,28.700001,28.791,13000,28.791
2015-12-24,29.35,29.76,29.35,29.73,2200,29.73
2015-12-23,29.160999,29.586,29.160999,29.586,9100,29.586
2015-12-22,29.17,29.431,28.889999,29.10,9800,29.10
2015-12-21,29.294001,29.389,29.049999,29.15,3600,29.15
2015-12-18,29.413,29.83,29.15,29.201,5600,29.054
2015-12-17,29.389999,29.85,29.00,29.444,5500,29.295777
2015-12-16,28.551001,29.57,28.551001,29.57,5100,29.421142
2015-12-15,28.219999,28.552999,28.219999,28.33,3200,28.187384
2015-12-14,27.549999,28.26,27.360001,27.530001,8800,27.391412
2015-12-11,28.58,28.58,27.98,27.98,16400,27.839146
2015-12-10,28.65,29.142,28.65,29.139,3700,28.992312
2015-12-09,29.719999,29.719999,28.799999,28.799999,2700,28.655017
2015-12-08,28.59,29.940001,28.59,29.76,5400,29.610186
2015-12-07,30.18,30.18,29.200001,29.200001,20500,29.053005
2015-12-04,30.509001,30.530001,29.75,30.50,10000,30.34646
2015-12-03,31.60,31.60,29.85,30.049999,10000,29.898725
2015-12-02,31.65,31.950001,31.24,31.24,5900,31.082735
2015-12-01,31.65,31.65,30.93,31.51,7400,31.351376
2015-11-30,32.240002,32.240002,31.209999,31.68,15500,31.52052
2015-11-27,31.370001,31.98,31.370001,31.92,7700,31.759312
