Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,6.78,6.99,6.62,6.70,306900,6.70
2016-01-22,6.75,6.87,6.60,6.73,248300,6.73
2016-01-21,6.24,6.70,5.97,6.47,341300,6.47
2016-01-20,6.29,6.35,5.91,6.14,476900,6.14
2016-01-19,6.71,6.80,6.40,6.46,311400,6.46
2016-01-15,6.57,6.74,6.40,6.53,250000,6.53
2016-01-14,6.67,7.05,6.37,6.94,217200,6.94
2016-01-13,6.77,7.00,6.51,6.53,215100,6.53
2016-01-12,6.66,6.817,6.50,6.72,165300,6.72
2016-01-11,6.76,6.867,6.50,6.51,499200,6.51
2016-01-08,7.00,7.18,6.68,6.75,378100,6.75
2016-01-07,7.11,7.29,6.76,6.77,762900,6.77
2016-01-06,7.55,7.75,7.41,7.52,216200,7.52
2016-01-05,7.48,7.69,7.39,7.55,239600,7.55
2016-01-04,7.85,7.88,7.34,7.47,522500,7.47
2015-12-31,8.12,8.49,8.12,8.21,213200,8.21
2015-12-30,8.10,8.25,8.10,8.21,170100,8.21
2015-12-29,8.21,8.37,7.75,8.16,371200,8.16
2015-12-28,8.67,8.85,8.30,8.37,133900,8.37
2015-12-24,8.45,8.75,8.31,8.56,153000,8.56
2015-12-23,8.70,8.82,8.24,8.41,531700,8.41
2015-12-22,8.87,8.88,8.65,8.82,103400,8.82
2015-12-21,9.00,9.00,8.65,8.72,208800,8.72
2015-12-18,8.78,8.98,8.70,8.86,416600,8.86
2015-12-17,8.59,8.94,8.52,8.57,273000,8.57
2015-12-16,8.50,8.66,8.292,8.63,362700,8.63
2015-12-15,8.15,8.50,8.06,8.43,414100,8.43
2015-12-14,8.00,8.265,7.90,8.05,128200,8.05
2015-12-11,8.20,8.312,7.87,8.05,388200,8.05
2015-12-10,8.20,8.55,7.72,8.43,315900,8.43
2015-12-09,8.29,8.525,7.78,8.05,551600,8.05
2015-12-08,7.46,8.12,7.37,8.11,299400,8.11
2015-12-07,7.78,7.825,7.58,7.66,154000,7.66
2015-12-04,7.87,7.98,7.66,7.91,197900,7.91
2015-12-03,8.23,8.23,7.60,7.78,251400,7.78
2015-12-02,8.23,8.34,8.00,8.11,227800,8.11
2015-12-01,7.80,8.34,7.80,8.19,290300,8.19
2015-11-30,8.37,8.71,7.76,7.81,776100,7.81
2015-11-27,9.16,9.19,8.00,8.79,861300,8.79
2015-11-25,9.00,9.89,8.72,9.50,1564100,9.50
