Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.55,2.60,2.48,2.54,57000,2.54
2016-01-22,2.59,2.68,2.43,2.58,198900,2.58
2016-01-21,2.57,2.73,2.53,2.55,54300,2.55
2016-01-20,2.48,2.54,2.24,2.51,47200,2.51
2016-01-19,2.57,2.805,2.37,2.53,143800,2.53
2016-01-15,2.41,2.54,2.02,2.54,64600,2.54
2016-01-14,2.08,2.48,2.01,2.46,68300,2.46
2016-01-13,2.15,2.24,2.00,2.08,37400,2.08
2016-01-12,2.41,2.41,2.12,2.15,63100,2.15
2016-01-11,2.95,2.95,2.16,2.41,72400,2.41
2016-01-08,3.12,3.15,2.90,2.94,85600,2.94
2016-01-07,3.12,3.22,3.05,3.09,33700,3.09
2016-01-06,3.28,3.33,3.23,3.26,32100,3.26
2016-01-05,3.32,3.37,3.275,3.34,48500,3.34
2016-01-04,3.59,3.65,3.23,3.33,60100,3.33
2015-12-31,3.77,3.79,3.62,3.62,52000,3.62
2015-12-30,3.67,3.84,3.58,3.77,29900,3.77
2015-12-29,3.64,3.72,3.49,3.66,30900,3.66
2015-12-28,3.63,3.89,3.60,3.60,50400,3.60
2015-12-24,3.47,3.64,3.39,3.59,19400,3.59
2015-12-23,3.42,3.58,3.34,3.46,83900,3.46
2015-12-22,3.35,3.43,3.255,3.34,44700,3.34
2015-12-21,3.39,3.51,3.29,3.39,20700,3.39
2015-12-18,3.26,3.54,3.26,3.38,45000,3.38
2015-12-17,3.18,3.324,3.05,3.28,33600,3.28
2015-12-16,3.22,3.42,2.962,3.35,32600,3.35
2015-12-15,2.90,3.29,2.80,3.24,59100,3.24
2015-12-14,3.20,3.24,2.80,2.82,35500,2.82
2015-12-11,3.25,3.37,3.11,3.13,37100,3.13
2015-12-10,3.40,3.417,3.30,3.33,28700,3.33
2015-12-09,3.23,3.35,3.23,3.27,8900,3.27
2015-12-08,3.78,3.88,3.25,3.26,18500,3.26
2015-12-07,3.63,3.83,3.48,3.52,43100,3.52
2015-12-04,3.63,3.65,3.534,3.59,16200,3.59
2015-12-03,3.98,3.98,3.63,3.63,40400,3.63
2015-12-02,4.05,4.14,3.76,3.90,41000,3.90
2015-12-01,4.03,4.07,3.90,4.07,29000,4.07
2015-11-30,3.83,4.13,3.83,3.99,57300,3.99
2015-11-27,3.73,3.85,3.71,3.81,12700,3.81
2015-11-25,3.51,3.79,3.50,3.71,57300,3.71
2015-11-24,3.49,3.75,3.42,3.49,48700,3.49
2015-11-23,3.51,3.70,3.46,3.53,47600,3.53
2015-11-20,3.66,3.80,3.52,3.55,49900,3.55
2015-11-19,3.67,3.75,3.48,3.63,11300,3.63
2015-11-18,3.76,3.84,3.62,3.69,23700,3.69
2015-11-17,3.86,3.89,3.66,3.72,21600,3.72
2015-11-16,4.00,4.00,3.78,3.85,33200,3.85
2015-11-13,3.96,4.29,3.96,3.98,23000,3.98
