Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,7.25,7.79,5.60,6.59,622600,6.59
2016-01-21,6.52,7.47,6.19,7.12,169300,7.12
2016-01-20,6.73,7.13,5.26,6.56,235400,6.56
2016-01-19,8.51,9.18,6.73,7.14,191100,7.14
2016-01-15,8.50,8.80,8.38,8.45,92800,8.45
2016-01-14,8.44,9.17,8.06,8.95,97500,8.95
2016-01-13,8.86,9.34,8.16,8.60,105700,8.60
2016-01-12,9.25,9.76,8.31,8.78,196600,8.78
2016-01-11,9.47,9.79,8.82,9.17,156900,9.17
2016-01-08,9.38,10.08,9.19,9.43,315500,9.43
2016-01-07,9.82,9.99,9.27,9.48,99200,9.48
2016-01-06,11.53,11.62,9.85,9.85,159700,9.85
2016-01-05,11.50,11.81,11.42,11.63,38800,11.63
2016-01-04,11.33,11.73,11.04,11.51,64300,11.51
2015-12-31,10.46,11.62,10.44,11.40,190200,11.40
2015-12-30,10.64,10.70,10.31,10.65,221000,10.65
2015-12-29,10.79,11.09,10.28,10.56,176800,10.56
2015-12-28,10.90,10.97,10.10,10.88,144600,10.88
2015-12-24,11.07,11.21,10.54,11.05,85800,11.05
2015-12-23,11.00,11.74,10.77,11.02,114100,11.02
2015-12-22,10.37,11.26,10.10,10.90,161000,10.90
2015-12-21,10.68,10.74,10.32,10.44,146100,10.44
2015-12-18,10.85,11.18,10.59,10.63,85800,10.63
2015-12-17,11.16,11.16,10.66,10.85,247400,10.85
2015-12-16,10.61,11.10,10.48,11.09,127200,11.09
2015-12-15,11.14,11.52,10.49,10.66,140000,10.66
2015-12-14,12.04,12.18,10.71,11.18,222000,11.18
2015-12-11,12.23,12.94,11.94,12.15,102800,12.15
2015-12-10,12.35,13.00,12.05,12.56,82700,12.56
2015-12-09,12.30,13.30,12.07,12.61,164700,12.61
2015-12-08,12.32,12.98,11.51,12.30,160400,12.30
2015-12-07,13.27,13.38,11.61,12.85,262700,12.85
2015-12-04,13.74,14.21,13.50,13.54,223200,13.54
2015-12-03,13.58,14.20,13.50,13.85,154500,13.85
2015-12-02,13.83,13.87,13.32,13.58,131900,13.58
2015-12-01,13.89,14.27,13.67,14.00,84800,14.00
2015-11-30,13.57,14.18,13.45,14.00,64900,14.00
2015-11-27,13.55,13.96,13.55,13.57,13400,13.57
2015-11-25,13.52,13.69,13.36,13.58,49500,13.58
2015-11-24,13.48,13.95,13.34,13.73,101300,13.73
2015-11-23,13.67,13.95,13.14,13.41,78600,13.41
2015-11-20,14.19,14.38,13.55,13.67,123600,13.67
2015-11-19,14.39,14.41,14.07,14.11,53700,14.11
2015-11-18,14.17,14.62,14.16,14.47,71500,14.47
2015-11-17,14.05,14.50,14.00,14.50,126700,14.50
2015-11-16,14.44,14.61,14.04,14.19,141800,14.19
2015-11-13,14.30,14.69,14.05,14.27,53200,14.27
