Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,5.89,6.75,5.76,6.27,44000,6.27
2016-01-22,5.96,6.33,5.76,6.04,24700,6.04
2016-01-21,6.36,6.40,5.65,6.29,27400,6.29
2016-01-20,7.72,7.72,6.15,6.29,27700,6.29
2016-01-19,8.90,9.10,7.62,7.68,86300,7.68
2016-01-18,8.88,8.88,8.88,8.88,000,8.88
2016-01-15,8.80,8.88,8.40,8.88,26900,8.88
2016-01-14,8.31,8.80,8.12,8.80,14400,8.80
2016-01-13,7.92,8.75,7.81,8.26,37700,8.26
2016-01-12,7.76,8.03,7.32,7.93,51000,7.93
2016-01-11,7.36,7.65,7.23,7.65,37300,7.65
2016-01-08,7.36,7.66,7.24,7.46,71400,7.46
2016-01-07,7.00,7.60,6.98,7.14,83800,7.14
2016-01-06,7.62,7.88,7.1986,7.4499,95800,7.4499
2016-01-05,7.35,8.04,7.34,7.68,84400,7.68
2016-01-04,7.70,7.97,6.51,7.52,69500,7.52
2016-01-01,7.96,7.96,7.96,7.96,000,7.96
2015-12-31,8.63,9.17,7.50,7.96,207100,7.96
2015-12-30,9.58,9.74,8.00,8.92,224900,8.92
2015-12-29,9.73,10.49,9.61,9.76,66100,9.76
2015-12-28,10.99,11.1892,9.60,9.97,80500,9.97
2015-12-25,11.09,11.09,11.09,11.09,000,11.09
2015-12-24,9.81,11.41,9.30,11.09,186800,11.09
2015-12-23,11.86,11.86,10.00,10.05,36700,10.05
2015-12-22,10.80,11.99,9.25,11.45,225700,11.45
2015-12-21,4.39,10.70,4.39,10.15,204200,10.15
