Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,6.67,6.67,5.45,5.62,44400,5.62
2016-01-22,6.53,6.86,6.18,6.33,55900,6.33
2016-01-21,6.86,7.43,6.40,6.40,48800,6.40
2016-01-20,6.32,6.90,6.26,6.90,15500,6.90
2016-01-19,7.03,7.39,6.26,6.51,35800,6.51
2016-01-15,7.20,7.41,6.25,6.88,38200,6.88
2016-01-14,6.70,7.26,6.27,6.98,21500,6.98
2016-01-13,7.29,7.40,6.26,6.84,30900,6.84
2016-01-12,7.82,7.85,6.91,7.21,39700,7.21
2016-01-11,8.40,8.40,7.18,7.72,86900,7.72
2016-01-08,8.24,8.35,7.53,8.18,81300,8.18
2016-01-07,8.36,8.56,7.27,8.20,48400,8.20
2016-01-06,8.63,8.72,8.30,8.50,50200,8.50
2016-01-05,8.39,8.924,8.07,8.57,100300,8.57
2016-01-04,8.40,8.65,8.08,8.50,116200,8.50
2015-12-31,8.15,8.37,6.18,8.37,39200,8.37
2015-12-30,8.04,8.20,7.78,8.08,25200,8.08
2015-12-29,8.21,8.442,7.93,8.15,42200,8.15
2015-12-28,7.79,8.42,7.77,7.87,54100,7.87
2015-12-24,7.75,7.90,7.51,7.84,10600,7.84
2015-12-23,7.32,7.81,7.135,7.65,51600,7.65
2015-12-22,6.93,7.591,6.90,7.25,62900,7.25
2015-12-21,6.76,6.98,6.57,6.90,80200,6.90
2015-12-18,6.58,6.78,6.45,6.77,4800,6.77
2015-12-17,6.45,6.73,6.40,6.70,10400,6.70
2015-12-16,6.24,6.58,6.14,6.58,12300,6.58
2015-12-15,6.22,6.27,6.00,6.25,12700,6.25
2015-12-14,6.61,6.69,6.00,6.20,50900,6.20
2015-12-11,6.57,6.72,6.50,6.61,12000,6.61
2015-12-10,6.59,6.73,6.27,6.70,23000,6.70
2015-12-09,6.47,6.60,6.18,6.60,38300,6.60
2015-12-08,6.78,6.78,6.07,6.60,41500,6.60
2015-12-07,7.00,7.01,6.58,6.85,29600,6.85
2015-12-04,6.87,7.32,6.67,7.00,37000,7.00
2015-12-03,6.27,7.11,6.26,6.90,72000,6.90
2015-12-02,5.56,6.39,5.03,6.31,70600,6.31
2015-12-01,5.60,5.73,5.27,5.59,35200,5.59
2015-11-30,5.20,5.74,5.13,5.69,40600,5.69
2015-11-27,5.45,5.519,4.92,5.16,43300,5.16
2015-11-25,4.99,5.40,4.99,5.40,21800,5.40
2015-11-24,5.20,5.20,4.80,4.98,11600,4.98
2015-11-23,4.95,5.22,4.75,5.20,52300,5.20
2015-11-20,4.68,4.997,4.61,4.99,50400,4.99
2015-11-19,4.73,4.73,4.50,4.69,17500,4.69
2015-11-18,4.39,4.81,4.31,4.75,20800,4.75
