Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.27,8.27,7.763,8.11,8400,8.11
2016-01-22,8.24,8.33,7.615,8.23,26100,8.23
2016-01-21,7.50,8.40,7.50,7.74,29000,7.74
2016-01-20,7.78,7.78,7.08,7.50,16900,7.50
2016-01-19,8.29,8.70,6.75,7.56,55000,7.56
2016-01-15,8.24,8.24,7.94,8.17,21300,8.17
2016-01-14,8.24,8.304,8.20,8.26,12300,8.26
2016-01-13,8.20,8.61,7.96,8.25,26300,8.25
2016-01-12,8.54,8.87,7.853,8.25,39900,8.25
2016-01-11,8.84,8.90,8.41,8.43,20600,8.43
2016-01-08,8.73,8.90,8.48,8.60,15600,8.60
2016-01-07,9.00,9.15,8.49,8.76,21700,8.76
2016-01-06,9.11,9.19,9.06,9.08,10100,9.08
2016-01-05,9.20,9.31,9.10,9.16,20500,9.16
2016-01-04,9.12,9.32,9.002,9.22,26800,9.22
2015-12-31,9.15,9.40,9.03,9.27,23100,9.27
2015-12-30,9.23,9.24,9.08,9.14,19500,9.14
2015-12-29,9.12,9.33,9.10,9.22,17000,9.22
2015-12-28,9.13,9.33,9.00,9.02,21000,9.02
2015-12-24,9.23,9.37,9.00,9.13,9500,9.13
2015-12-23,9.43,9.47,8.87,9.47,25300,9.47
2015-12-22,8.91,9.96,8.79,9.45,30900,9.45
2015-12-21,9.19,9.26,8.92,8.94,20400,8.94
2015-12-18,9.54,9.90,8.25,9.25,112100,9.25
2015-12-17,9.63,10.05,9.111,9.77,30100,9.77
2015-12-16,9.55,9.85,9.47,9.635,16400,9.635
2015-12-15,9.69,10.03,9.52,9.82,38300,9.82
2015-12-14,9.66,10.05,9.64,9.81,31300,9.81
2015-12-11,9.56,9.70,9.45,9.48,11800,9.48
2015-12-10,9.55,9.845,9.36,9.83,32500,9.83
2015-12-09,9.55,10.03,9.45,9.57,35600,9.57
2015-12-08,9.79,10.03,9.51,9.67,24600,9.67
2015-12-07,9.71,10.05,9.44,9.94,28400,9.94
2015-12-04,9.25,10.05,9.091,9.78,64400,9.78
2015-12-03,9.36,9.61,9.225,9.42,67800,9.42
2015-12-02,9.58,9.785,9.28,9.43,35100,9.43
2015-12-01,9.74,9.775,9.50,9.68,11200,9.68
2015-11-30,9.82,9.89,9.34,9.79,12200,9.79
2015-11-27,9.75,10.09,9.16,10.09,12400,10.09
2015-11-25,9.21,9.92,9.11,9.78,43300,9.78
2015-11-24,9.11,9.275,9.00,9.275,26600,9.275
2015-11-23,9.10,9.30,9.10,9.10,20000,9.10
2015-11-20,9.02,9.26,9.01,9.10,25100,9.10
2015-11-19,9.013,9.29,9.013,9.14,27500,9.14
2015-11-18,9.39,9.39,8.756,9.13,36800,9.13
2015-11-17,9.20,9.46,8.477,9.245,21800,9.245
2015-11-16,9.58,9.58,9.12,9.19,14700,9.19
2015-11-13,9.11,9.37,9.11,9.195,9600,9.195
2015-11-12,9.36,9.525,9.11,9.25,18700,9.25
2015-11-11,9.44,9.71,9.16,9.35,12100,9.35
2015-11-10,9.41,9.81,9.232,9.59,20100,9.59
2015-11-09,9.39,9.51,9.15,9.21,18500,9.21
2015-11-06,9.19,9.40,9.19,9.38,11900,9.38
2015-11-05,9.53,9.53,9.06,9.10,19500,9.10
2015-11-04,9.61,9.72,9.321,9.35,12800,9.35
2015-11-03,9.64,9.64,9.32,9.54,23900,9.54
2015-11-02,9.63,9.63,9.26,9.56,35100,9.56
2015-10-30,9.40,9.62,9.25,9.56,27100,9.56
2015-10-29,9.50,9.64,9.30,9.60,10600,9.60
2015-10-28,9.40,9.63,9.05,9.625,23500,9.625
2015-10-27,9.71,9.71,8.99,9.39,114100,9.39
2015-10-26,9.82,9.87,9.51,9.66,30700,9.66
2015-10-23,9.01,9.90,9.01,9.70,52300,9.70
2015-10-22,9.49,10.00,9.402,9.70,25300,9.70
2015-10-21,9.47,9.48,9.30,9.45,9500,9.45
2015-10-20,9.27,9.47,9.203,9.40,57000,9.40
2015-10-19,9.08,9.34,8.91,9.34,25200,9.34
2015-10-16,8.84,9.14,8.715,9.14,54700,9.14
2015-10-15,8.98,9.18,8.772,9.00,79000,9.00
2015-10-14,9.00,9.02,8.85,8.97,55100,8.97
2015-10-13,9.40,9.40,8.618,9.00,49700,9.00
2015-10-12,9.75,9.96,9.105,9.34,39100,9.34
2015-10-09,9.86,9.925,9.752,9.80,9600,9.80
2015-10-08,9.85,9.89,9.63,9.75,7000,9.75
2015-10-07,9.96,9.96,9.55,9.78,28800,9.78
2015-10-06,9.95,9.95,9.564,9.90,1900,9.90
2015-10-05,9.25,9.97,9.25,9.95,23600,9.95
2015-10-02,9.45,9.65,8.51,9.27,49900,9.27
2015-10-01,9.504,9.85,9.03,9.66,70800,9.66
2015-09-30,9.96,9.96,9.75,9.75,53600,9.75
2015-09-29,9.90,10.19,9.72,9.83,44400,9.83
2015-09-28,9.95,10.30,9.77,10.11,19800,10.11
2015-09-25,9.90,10.30,9.75,9.91,9300,9.91
2015-09-24,9.756,10.30,9.75,9.812,10800,9.812
2015-09-23,9.78,10.30,9.75,9.81,14200,9.81
2015-09-22,9.793,9.92,9.75,9.75,10700,9.75
2015-09-21,10.19,10.31,9.75,9.76,13400,9.76
