Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,1.80,1.89,1.68,1.88,12700,1.88
2016-01-22,1.68,1.84,1.66,1.84,9100,1.84
2016-01-21,1.73,1.78,1.66,1.75,1000,1.75
2016-01-20,1.82,1.83,1.58,1.71,2000,1.71
2016-01-19,1.94,1.94,1.57,1.77,27900,1.77
2016-01-15,1.92,1.92,1.55,1.74,36800,1.74
2016-01-14,1.78,2.10,1.66,1.87,55600,1.87
2016-01-13,1.57,1.86,1.56,1.58,16700,1.58
2016-01-12,1.58,1.83,1.49,1.60,13800,1.60
2016-01-11,1.92,1.92,1.48,1.64,62900,1.64
2016-01-08,2.13,2.21,1.58,1.80,25300,1.80
2016-01-07,2.20,2.25,2.06,2.09,5800,2.09
2016-01-06,2.10,2.36,2.10,2.22,1900,2.22
2016-01-05,2.10,2.10,1.95,2.09,16400,2.09
2016-01-04,1.78,2.09,1.78,1.99,8800,1.99
2015-12-31,1.99,2.10,1.82,2.06,18800,2.06
2015-12-30,2.25,2.25,1.94,2.24,5000,2.24
2015-12-29,2.19,2.34,2.10,2.19,14900,2.19
2015-12-28,2.24,2.35,2.10,2.18,42500,2.18
2015-12-24,2.14,2.30,1.91,2.19,49500,2.19
2015-12-23,1.61,2.18,1.55,2.15,80600,2.15
2015-12-22,1.60,1.69,1.46,1.54,37900,1.54
2015-12-21,1.72,1.79,1.44,1.69,72600,1.69
2015-12-18,2.18,2.24,1.66,1.66,82300,1.66
2015-12-17,2.26,2.26,2.03,2.15,13300,2.15
2015-12-16,2.07,2.20,1.85,2.20,65600,2.20
2015-12-15,2.34,2.35,2.05,2.14,35900,2.14
2015-12-14,2.15,2.47,2.07,2.25,30100,2.25
2015-12-11,2.24,2.30,2.01,2.16,44800,2.16
2015-12-10,2.20,2.30,2.12,2.15,55000,2.15
2015-12-09,2.45,2.45,2.09,2.25,69400,2.25
2015-12-08,2.50,2.55,2.41,2.47,33900,2.47
2015-12-07,2.52,2.60,2.45,2.55,20400,2.55
