Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,30.26,30.26,30.26,30.26,3300,30.26
2016-01-22,30.10,30.365999,30.10,30.271,400,30.271
2016-01-21,30.09,30.309999,30.09,30.09,2700,30.09
2016-01-20,29.660999,30.110001,29.660999,30.110001,2800,30.110001
2016-01-19,30.190001,30.299999,30.030001,30.115,2200,30.115
2016-01-15,29.84,30.25,29.84,30.25,1100,30.25
2016-01-14,30.610001,30.621,30.586,30.621,900,30.621
2016-01-13,30.860001,30.860001,30.253,30.253,500,30.253
2016-01-12,31.02,31.02,31.02,31.02,000,31.02
2016-01-11,30.959999,31.059999,30.780001,31.02,800,31.02
2016-01-08,31.34,31.34,31.121,31.121,1000,31.121
2016-01-07,31.646,31.646,31.250999,31.250999,1000,31.250999
2016-01-06,32.029999,32.118999,32.004002,32.118999,2700,32.118999
2016-01-05,32.25,32.279999,32.099998,32.259998,4900,32.259998
2016-01-04,32.459999,32.459999,32.07,32.210999,6900,32.210999
2015-12-31,33.048,33.18,32.91,32.91,5800,32.91
2015-12-30,33.580002,33.59,33.50,33.50,54000,33.50
2015-12-29,33.549999,33.610001,33.549999,33.599998,12000,33.599998
2015-12-28,33.27,33.27,33.27,33.27,200,33.27
2015-12-24,33.618999,33.618999,33.618999,33.618999,000,33.618999
2015-12-23,33.560001,33.618999,33.560001,33.618999,1200,33.618999
2015-12-22,32.68,32.68,32.68,32.68,400,32.68
2015-12-21,32.689999,32.689999,32.68,32.68,500,32.68
2015-12-18,32.75,32.75,32.75,32.75,100,32.75
2015-12-17,33.319,33.319,33.319,33.319,300,33.319
2015-12-16,33.110001,33.110001,33.110001,33.110001,800,33.110001
2015-12-15,32.75,32.93,32.75,32.889,900,32.889
2015-12-14,32.43,32.578999,32.360001,32.487999,1100,32.487999
2015-12-11,32.709999,32.709999,32.709999,32.709999,100,32.709999
2015-12-10,33.32,33.32,33.240002,33.240002,600,33.240002
2015-12-09,33.68,33.68,33.68,33.68,000,33.68
2015-12-08,33.68,33.68,33.68,33.68,000,33.68
2015-12-07,33.68,33.68,33.68,33.68,1000,33.68
2015-12-04,33.970001,34.136002,33.970001,34.064999,600,34.064999
2015-12-03,34.567001,34.567001,33.967999,33.967999,2200,33.967999
2015-12-02,34.630001,34.630001,34.389999,34.389999,400,34.389999
2015-12-01,34.341,34.341,34.341,34.341,000,34.341
2015-11-30,34.341,34.341,34.341,34.341,000,34.341
2015-11-27,34.341,34.341,34.341,34.341,000,34.341
2015-11-25,34.490002,34.490002,34.209999,34.341,9100,34.341
2015-11-24,34.040001,34.299999,33.919998,34.299999,4100,34.299999
2015-11-23,34.09,34.150002,34.02,34.119999,3200,34.119999
2015-11-20,34.080002,34.09,34.00,34.09,4200,34.09
2015-11-19,33.759998,33.759998,33.720001,33.73,300,33.73
2015-11-18,33.439999,33.650002,33.419998,33.650002,5800,33.650002
2015-11-17,33.34,33.639999,33.240002,33.299999,55700,33.299999
2015-11-16,33.124001,33.450001,33.07,33.450001,272000,33.450001
2015-11-13,33.076,33.076,33.076,33.076,100,33.076
2015-11-12,33.610001,33.610001,33.359001,33.359001,300,33.359001
2015-11-11,33.93,33.93,33.916,33.916,500,33.916
2015-11-10,34.049999,34.049999,34.026001,34.026001,800,34.026001
2015-11-09,33.810001,33.91,33.759998,33.900002,27000,33.900002
2015-11-06,34.130001,34.169998,33.900002,34.169998,14200,34.169998
2015-11-05,34.200001,34.200001,34.200001,34.200001,500,34.200001
2015-11-04,34.240002,34.240002,34.240002,34.240002,000,34.240002
2015-11-03,34.009998,34.240002,33.93,34.240002,400,34.240002
2015-11-02,34.150002,34.150002,34.141998,34.141998,300,34.141998
2015-10-30,33.703999,33.703999,33.703999,33.703999,000,33.703999
2015-10-29,33.703999,33.703999,33.703999,33.703999,300,33.703999
2015-10-28,33.779999,33.779999,33.779999,33.779999,000,33.779999
2015-10-27,33.779999,33.779999,33.779999,33.779999,000,33.779999
2015-10-26,33.779999,33.779999,33.779999,33.779999,600,33.779999
