Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,13.98,14.99,13.838,14.65,144000,14.65
2016-01-22,14.97,15.41,13.11,14.00,38200,14.00
2016-01-21,14.59,15.58,14.39,14.46,79400,14.46
2016-01-20,12.13,15.445,12.13,14.84,116100,14.84
2016-01-19,13.50,15.39,12.25,12.61,47100,12.61
2016-01-15,13.59,14.45,12.81,13.25,24900,13.25
2016-01-14,14.54,15.20,13.38,14.05,45300,14.05
2016-01-13,15.53,17.200001,14.21,14.36,113900,14.36
2016-01-12,14.72,15.69,14.35,15.50,74100,15.50
2016-01-11,14.17,15.10,13.71,14.32,93900,14.32
2016-01-08,15.69,16.00,13.69,14.21,90700,14.21
2016-01-07,16.799999,17.635,15.27,15.52,98400,15.52
2016-01-06,19.030001,19.67,16.799999,16.969999,82800,16.969999
2016-01-05,20.48,20.559999,19.07,19.43,73400,19.43
2016-01-04,20.34,20.940001,19.15,20.459999,110400,20.459999
2015-12-31,20.719999,21.50,20.00,20.870001,63800,20.870001
2015-12-30,21.540001,21.719999,20.389999,20.799999,43400,20.799999
2015-12-29,22.27,22.27,21.52,21.67,57400,21.67
2015-12-28,22.559999,22.889999,21.290001,21.889999,62000,21.889999
2015-12-24,22.190001,22.950001,22.156,22.540001,32300,22.540001
2015-12-23,20.360001,23.00,20.360001,22.49,88000,22.49
2015-12-22,21.00,21.209999,19.959999,19.959999,78200,19.959999
2015-12-21,21.27,21.459999,19.83,20.24,185900,20.24
2015-12-18,21.309999,23.00,19.202,20.65,1147500,20.65
2015-12-17,20.370001,22.50,20.280001,20.690001,169700,20.690001
2015-12-16,18.200001,21.559999,17.76,20.58,235100,20.58
2015-12-15,16.889999,19.08,16.75,18.299999,196700,18.299999
2015-12-14,19.23,19.27,16.559999,17.139999,67600,17.139999
2015-12-11,18.790001,19.950001,18.110001,19.129999,72000,19.129999
2015-12-10,21.389999,21.719999,18.01,19.43,55700,19.43
2015-12-09,21.700001,23.783001,21.200001,21.51,104500,21.51
2015-12-08,22.90,22.90,21.48,21.940001,52700,21.940001
2015-12-07,23.93,23.93,22.046,22.219999,81400,22.219999
2015-12-04,22.67,23.67,22.209999,23.66,33100,23.66
2015-12-03,21.83,23.50,21.219999,21.67,94100,21.67
2015-12-02,21.719999,24.68,21.639999,22.10,314800,22.10
2015-12-01,19.10,21.889999,19.10,21.889999,52300,21.889999
2015-11-30,19.200001,19.25,18.75,19.209999,23200,19.209999
2015-11-27,18.780001,20.489,18.780001,19.200001,36400,19.200001
2015-11-25,17.50,19.26,17.50,18.74,62800,18.74
2015-11-24,15.50,17.860001,15.50,17.83,73300,17.83
2015-11-23,14.71,16.00,14.63,16.00,33400,16.00
2015-11-20,15.31,15.40,14.74,14.81,21700,14.81
2015-11-19,14.28,15.19,14.10,15.19,29000,15.19
2015-11-18,14.09,14.68,13.295,14.64,44100,14.64
2015-11-17,12.50,13.97,12.50,13.89,56200,13.89
2015-11-16,12.36,12.75,12.19,12.74,38900,12.74
2015-11-13,12.21,12.68,12.17,12.45,19200,12.45
2015-11-12,11.80,12.49,11.80,12.48,29000,12.48
2015-11-11,12.26,12.40,12.00,12.07,19800,12.07
2015-11-10,12.44,12.60,12.00,12.39,33100,12.39
2015-11-09,12.87,12.87,11.20,12.26,41600,12.26
2015-11-06,10.48,11.84,10.48,11.42,27800,11.42
2015-11-05,11.19,11.58,10.529,10.62,36600,10.62
2015-11-04,12.65,12.65,11.041,11.44,27100,11.44
2015-11-03,11.40,12.89,11.30,12.30,66500,12.30
2015-11-02,10.84,11.469,10.75,11.19,56800,11.19
2015-10-30,10.08,10.44,10.01,10.40,14900,10.40
2015-10-29,10.22,10.705,10.06,10.20,69600,10.20
2015-10-28,9.88,10.99,9.77,10.50,21700,10.50
2015-10-27,11.95,11.95,10.00,10.00,122900,10.00
2015-10-26,9.70,11.24,9.70,10.81,59800,10.81
2015-10-23,9.25,10.31,9.25,9.70,52700,9.70
2015-10-22,9.29,9.98,9.191,9.30,47300,9.30
2015-10-21,11.29,11.29,9.01,9.58,71200,9.58
2015-10-20,10.67,11.376,10.528,10.64,54900,10.64
2015-10-19,12.95,12.95,10.142,10.85,85300,10.85
2015-10-16,13.40,13.40,12.51,12.66,25400,12.66
2015-10-15,13.61,13.61,12.663,13.22,61600,13.22
2015-10-14,12.25,13.85,12.25,13.26,96700,13.26
2015-10-13,12.40,12.77,12.25,12.33,45100,12.33
2015-10-12,12.95,13.01,12.21,12.58,68300,12.58
2015-10-09,12.95,13.23,12.25,12.40,72300,12.40
2015-10-08,16.00,17.02,12.76,12.90,1000400,12.90
