Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,22.528999,22.528999,22.528999,22.528999,000,22.528999
2016-01-22,22.528999,22.528999,22.528999,22.528999,000,22.528999
2016-01-21,22.528999,22.528999,22.528999,22.528999,100,22.528999
2016-01-20,22.00,22.00,22.00,22.00,200,22.00
2016-01-19,22.790001,22.879999,22.778,22.778,3400,22.778
2016-01-15,22.639999,22.639999,22.49,22.49,600,22.49
2016-01-14,23.049999,23.049999,23.049999,23.049999,300,23.049999
2016-01-13,23.440001,23.440001,23.440001,23.440001,000,23.440001
2016-01-12,23.440001,23.440001,23.440001,23.440001,200,23.440001
2016-01-11,23.34,23.34,23.34,23.34,100,23.34
2016-01-08,23.549999,23.639999,23.445,23.445,1700,23.445
2016-01-07,23.74,23.74,23.530001,23.530001,4400,23.530001
2016-01-06,23.959999,24.08,23.959999,24.00,1900,24.00
2016-01-05,24.40,24.40,24.40,24.40,100,24.40
2016-01-04,24.41,24.41,24.41,24.41,100,24.41
2015-12-31,24.959999,24.99,24.93,24.99,7100,24.99
2015-12-30,25.16,25.16,25.16,25.16,1100,25.16
2015-12-29,25.43,25.43,25.43,25.43,900,25.43
