Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,24.059999,24.059999,23.620001,23.639999,8600,23.639999
2016-01-22,24.02,24.23,23.99,24.17,8600,24.156
2016-01-21,23.610001,24.030001,23.610001,23.73,9200,23.716254
2016-01-20,23.34,23.870001,22.860001,23.719999,25100,23.70626
2016-01-19,24.200001,24.200001,23.48,23.629999,14400,23.616312
2016-01-15,23.60,23.83,23.290001,23.83,4900,23.816197
2016-01-14,24.07,24.280001,23.83,24.18,5800,24.165994
2016-01-13,24.60,24.629999,24.23,24.23,7400,24.215965
2016-01-12,24.68,24.719999,24.209999,24.540001,5500,24.525786
2016-01-11,24.709999,24.709999,24.33,24.360001,11100,24.34589
2016-01-08,25.10,25.10,24.719999,24.790001,8100,24.775642
2016-01-07,25.18,25.299999,24.98,25.030001,7700,25.015502
2016-01-06,25.709999,25.76,25.469999,25.60,18500,25.585172
2016-01-05,25.98,26.030001,25.860001,26.01,2100,25.994934
2016-01-04,25.959999,26.07,25.77,26.01,7600,25.994934
2015-12-31,26.67,26.790001,26.530001,26.530001,6700,26.514634
2015-12-30,27.059999,27.08,26.870001,26.879999,27700,26.864429
2015-12-29,27.030001,27.15,26.889999,27.059999,53100,27.044325
2015-12-28,26.860001,26.889999,26.73,26.809999,36900,26.79447
2015-12-24,26.99,27.17,26.99,27.040001,1200,27.024338
2015-12-23,26.76,27.07,26.76,27.07,7900,27.05432
2015-12-22,26.370001,26.719999,26.309999,26.67,15300,26.654552
2015-12-21,26.34,26.360001,26.219999,26.27,1600,26.254784
2015-12-18,26.540001,26.540001,26.309999,26.370001,3300,26.203814
2015-12-17,26.950001,26.950001,26.74,26.780001,6500,26.61123
2015-12-16,26.809999,27.02,26.709999,27.02,3800,26.849717
2015-12-15,26.540001,26.65,26.41,26.549999,18300,26.382678
2015-12-14,26.57,26.57,26.290001,26.35,7000,26.18394
2015-12-11,26.77,26.77,26.42,26.52,3000,26.352868
2015-12-10,27.01,27.190001,27.01,27.059999,2100,26.889464
2015-12-09,27.309999,27.309999,27.02,27.120001,7300,26.949087
2015-12-08,27.25,27.440001,27.23,27.34,7500,27.1677
2015-12-07,27.67,27.67,27.48,27.51,89800,27.336629
2015-12-04,27.76,27.940001,27.76,27.90,2600,27.724171
2015-12-03,28.02,28.110001,27.629999,27.68,6300,27.505558
2015-12-02,28.42,28.42,28.08,28.09,5700,27.912974
2015-12-01,28.440001,28.440001,28.23,28.389999,1800,28.211082
2015-11-30,28.51,28.52,28.27,28.27,6700,28.09184
2015-11-27,28.379999,28.540001,28.370001,28.469999,4500,28.290578
2015-11-25,28.15,28.370001,28.15,28.370001,3600,28.19121
2015-11-24,27.73,28.200001,27.73,28.16,9700,27.982532
2015-11-23,27.74,27.950001,27.74,27.790001,1600,27.614865
2015-11-20,27.82,27.93,27.73,27.790001,16800,27.580085
2015-11-19,27.709999,27.709999,27.540001,27.559999,5400,27.351821
2015-11-18,27.32,27.66,27.25,27.639999,22100,27.431217
2015-11-17,27.379999,27.51,27.16,27.200001,4500,26.994542
2015-11-16,26.959999,27.139999,26.879999,27.139999,1100,26.934994
2015-11-13,27.129999,27.190001,26.90,26.90,8300,26.696807
2015-11-12,27.60,27.60,27.26,27.26,12800,27.054088
2015-11-11,27.99,27.99,27.799999,27.809999,61300,27.599933
2015-11-10,27.799999,27.959999,27.799999,27.950001,1200,27.738877
2015-11-09,28.16,28.16,27.73,27.809999,15100,27.599933
2015-11-06,28.139999,28.24,27.860001,28.24,6100,28.026685
2015-11-05,28.09,28.27,28.09,28.27,6800,28.056459
2015-11-04,28.379999,28.379999,28.09,28.09,5400,27.877818
2015-11-03,28.120001,28.41,28.10,28.389999,4400,28.175552
2015-11-02,27.74,28.200001,27.66,28.120001,16600,27.907593
2015-10-30,27.66,27.93,27.66,27.68,4100,27.470916
2015-10-29,27.74,27.90,27.610001,27.73,31100,27.520537
2015-10-28,27.41,27.83,27.41,27.83,5400,27.619782
2015-10-27,27.50,27.50,27.040001,27.09,1800,26.885372
2015-10-26,27.75,27.780001,27.629999,27.639999,5400,27.431217
2015-10-23,27.90,27.93,27.639999,27.84,7800,27.629707
2015-10-22,27.639999,27.790001,27.58,27.66,6100,27.451066
2015-10-21,27.66,27.66,27.299999,27.299999,1000,27.093785
2015-10-20,27.59,27.77,27.50,27.690001,7500,27.48084
2015-10-19,27.559999,27.65,27.41,27.469999,31000,27.262501
2015-10-16,27.48,27.58,27.41,27.58,2000,27.371671
2015-10-15,27.27,27.50,27.049999,27.469999,7300,27.262501
2015-10-14,27.540001,27.540001,27.26,27.26,6800,27.054088
2015-10-13,27.540001,27.790001,27.459999,27.49,20600,27.28235
2015-10-12,27.77,27.77,27.67,27.719999,1800,27.510613
2015-10-09,27.75,27.790001,27.719999,27.74,10600,27.530462
2015-10-08,27.299999,27.299999,27.299999,27.299999,1300,27.093785
2015-10-07,27.129999,27.25,26.99,27.25,3000,27.044163
2015-10-06,27.190001,27.190001,26.99,27.049999,10000,26.845673
2015-10-05,26.67,27.07,26.67,27.07,5700,26.865523
2015-10-02,25.85,26.280001,25.74,26.280001,2500,26.081491
2015-10-01,26.219999,26.219999,25.85,25.959999,600,25.763907
2015-09-30,26.02,26.040001,25.85,25.98,6100,25.783756
2015-09-29,25.92,26.01,25.690001,25.690001,11400,25.495948
2015-09-28,26.280001,26.280001,25.85,25.85,5300,25.654739
2015-09-25,26.780001,26.780001,26.40,26.459999,5300,26.26013
2015-09-24,26.40,26.57,26.32,26.57,3500,26.3693
2015-09-23,26.65,26.65,26.50,26.59,3800,26.389149
2015-09-22,26.639999,26.639999,26.58,26.58,600,26.379224
2015-09-21,26.93,27.110001,26.91,26.91,14000,26.706731
2015-09-18,27.10,27.18,26.82,26.879999,9100,26.607487
2015-09-17,27.59,27.65,27.41,27.41,2700,27.132115
2015-09-16,27.16,27.41,27.16,27.41,2600,27.132115
2015-09-15,26.92,27.139999,26.92,27.139999,6100,26.864852
2015-09-14,27.040001,27.040001,26.84,26.85,6400,26.577793
2015-09-11,26.799999,26.99,26.799999,26.99,8800,26.716373
2015-09-10,26.98,27.15,26.870001,26.870001,4300,26.59759
2015-09-09,27.43,27.43,27.07,27.129999,9100,26.854953
2015-09-08,27.110001,27.25,27.07,27.25,5800,26.973737
2015-09-04,26.77,26.85,26.610001,26.82,5300,26.548096
2015-09-03,26.90,27.139999,26.90,26.940001,5200,26.66688
2015-09-02,26.76,26.809999,26.60,26.719999,10200,26.449109
2015-09-01,27.02,27.030001,26.51,26.629999,17400,26.360022
2015-08-31,27.040001,27.379999,27.00,27.280001,11400,27.003433
2015-08-28,27.27,27.290001,27.049999,27.24,16000,26.963838
2015-08-27,26.74,27.10,26.66,26.790001,8800,26.518401
2015-08-26,26.35,26.52,26.00,26.52,10600,26.251138
2015-08-25,27.200001,27.200001,25.92,25.92,22000,25.657221
2015-08-24,25.700001,27.120001,24.82,26.440001,120200,26.171949
2015-08-21,27.32,27.52,27.09,27.17,10700,26.894548
2015-08-20,28.00,28.00,27.639999,27.709999,9000,27.429072
2015-08-19,28.309999,28.309999,28.07,28.26,21300,27.973498
2015-08-18,28.700001,28.700001,28.459999,28.549999,4400,28.260557
2015-08-17,28.440001,28.68,28.379999,28.68,3500,28.38924
2015-08-14,28.26,28.389999,28.26,28.389999,1000,28.102179
2015-08-13,28.370001,28.440001,28.26,28.26,6200,27.973498
2015-08-12,28.030001,28.450001,28.030001,28.450001,5500,28.161572
2015-08-11,28.450001,28.540001,28.370001,28.540001,3800,28.25066
2015-08-10,28.559999,28.700001,28.540001,28.66,5000,28.369442
2015-08-07,28.35,28.35,28.23,28.23,1800,27.943801
2015-08-06,28.389999,28.459999,28.23,28.35,4700,28.062585
2015-08-05,28.58,28.66,28.379999,28.43,2700,28.141774
2015-08-04,28.58,28.58,28.24,28.26,2400,27.973498
2015-08-03,28.43,28.450001,28.26,28.26,11800,27.973498
2015-07-31,28.530001,28.690001,28.51,28.51,1900,28.220963
