Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,28.459999,28.49,28.139999,28.17,59400,28.17
2016-01-22,28.50,28.610001,28.34,28.549999,149700,28.524999
2016-01-21,28.030001,28.32,27.780001,28.139999,100600,28.115359
2016-01-20,27.790001,28.200001,27.24,27.969999,175500,27.945507
2016-01-19,28.459999,28.48,28.00,28.200001,579300,28.175307
2016-01-15,27.93,28.26,27.860001,28.190001,133100,28.165316
2016-01-14,28.299999,28.85,28.08,28.66,366300,28.634904
2016-01-13,29.139999,29.139999,28.219999,28.280001,267600,28.255237
2016-01-12,29.02,29.07,28.639999,29.01,362300,28.984598
2016-01-11,28.799999,28.799999,28.42,28.74,78500,28.714834
2016-01-08,29.10,29.129999,28.60,28.67,210900,28.644895
2016-01-07,29.09,29.370001,28.84,28.950001,290500,28.924651
2016-01-06,29.639999,29.76,29.440001,29.59,132000,29.56409
2016-01-05,30.040001,30.059999,29.799999,29.98,110700,29.953748
2016-01-04,29.93,29.93,29.559999,29.91,190100,29.883809
2015-12-31,30.620001,30.620001,30.35,30.35,1351800,30.323424
2015-12-30,30.889999,30.889999,30.66,30.68,191400,30.653135
2015-12-29,30.809999,30.91,30.76,30.84,203900,30.812995
2015-12-28,30.52,30.549999,30.370001,30.540001,90800,30.513259
2015-12-24,30.620001,30.709999,30.610001,30.620001,56100,30.593188
2015-12-23,30.48,30.68,30.48,30.639999,157200,30.613169
2015-12-22,30.200001,30.41,30.040001,30.379999,179900,30.353397
2015-12-21,29.93,30.00,29.790001,29.969999,114900,29.943756
2015-12-18,30.27,30.280001,29.83,29.83,245100,29.705964
2015-12-17,30.73,30.969999,30.389999,30.389999,86500,30.263635
2015-12-16,30.59,30.889999,30.440001,30.860001,117700,30.731682
2015-12-15,30.42,30.57,30.40,30.450001,130600,30.323387
2015-12-14,30.030001,30.209999,29.790001,30.209999,84300,30.084384
2015-12-11,30.27,30.34,30.00,30.059999,109100,29.935008
2015-12-10,30.58,30.83,30.530001,30.629999,1265100,30.502637
2015-12-09,30.67,31.02,30.43,30.549999,72700,30.42297
2015-12-08,30.719999,30.93,30.610001,30.76,112400,30.632098
2015-12-07,31.17,31.17,30.889999,31.01,148100,30.881058
2015-12-04,30.709999,31.27,30.709999,31.200001,140100,31.070269
2015-12-03,31.120001,31.120001,30.49,30.59,237700,30.462804
2015-12-02,31.32,31.40,31.01,31.01,85300,30.881058
2015-12-01,31.25,31.379999,31.139999,31.379999,90400,31.249519
2015-11-30,31.309999,31.309999,31.10,31.15,66200,31.020475
2015-11-27,31.200001,31.299999,31.18,31.26,24200,31.130019
2015-11-25,31.299999,31.299999,31.209999,31.24,184600,31.110101
2015-11-24,31.01,31.299999,30.959999,31.219999,115400,31.090184
2015-11-23,31.219999,31.280001,31.09,31.18,139500,31.050351
2015-11-20,31.190001,31.34,31.190001,31.23,86000,31.035414
2015-11-19,31.049999,31.16,31.049999,31.10,130400,30.906225
2015-11-18,30.73,31.09,30.68,31.049999,96700,30.856536
2015-11-17,30.74,30.83,30.530001,30.620001,146700,30.429216
2015-11-16,30.15,30.610001,30.15,30.610001,172300,30.419279
2015-11-13,30.40,30.450001,30.129999,30.129999,93200,29.942268
2015-11-12,30.74,30.77,30.459999,30.49,68300,30.300025
2015-11-11,31.030001,31.049999,30.870001,30.870001,52700,30.677659
2015-11-10,30.98,31.030001,30.870001,30.969999,51200,30.777034
2015-11-09,31.299999,31.299999,30.870001,31.030001,196500,30.836662
2015-11-06,31.309999,31.35,31.120001,31.35,76500,31.154668
2015-11-05,31.440001,31.469999,31.23,31.370001,432800,31.174543
2015-11-04,31.700001,31.700001,31.379999,31.43,87200,31.234169
2015-11-03,31.48,31.700001,31.41,31.59,187500,31.393172
2015-11-02,31.24,31.530001,31.24,31.50,1350000,31.303733
2015-10-30,31.33,31.379999,31.139999,31.139999,49300,30.945975
2015-10-29,31.17,31.50,31.10,31.200001,158500,31.005603
2015-10-28,31.00,31.24,30.85,31.24,43100,31.045352
2015-10-27,30.93,30.969999,30.83,30.90,75500,30.707471
2015-10-26,31.040001,31.10,31.00,31.049999,67400,30.856536
2015-10-23,31.110001,31.16,30.93,31.120001,129200,30.926101
2015-10-22,30.469999,30.90,30.469999,30.82,632400,30.627969
2015-10-21,30.42,30.49,30.190001,30.24,72700,30.051583
2015-10-20,30.27,30.43,30.25,30.34,283600,30.15096
2015-10-19,30.280001,30.360001,30.219999,30.360001,148600,30.170836
2015-10-16,30.25,30.43,30.190001,30.360001,86300,30.170836
2015-10-15,29.98,30.27,29.93,30.27,95100,30.081397
2015-10-14,30.040001,30.120001,29.85,29.92,248600,29.733577
2015-10-13,30.10,30.290001,30.030001,30.040001,45400,29.85283
2015-10-12,30.24,30.25,30.129999,30.24,73100,30.051583
2015-10-09,30.25,30.33,30.15,30.280001,74200,30.091335
2015-10-08,29.77,30.25,29.77,30.219999,135400,30.031707
2015-10-07,29.68,29.92,29.60,29.879999,127800,29.693825
2015-10-06,29.690001,29.77,29.52,29.60,67700,29.415571
2015-10-05,29.35,29.700001,29.35,29.67,167600,29.485135
2015-10-02,28.290001,29.110001,28.24,29.110001,169400,28.928625
2015-10-01,28.65,28.790001,28.33,28.639999,32300,28.461552
2015-09-30,28.389999,28.620001,28.33,28.620001,32600,28.441678
2015-09-29,28.15,28.32,27.950001,28.120001,94100,27.944793
2015-09-28,28.639999,28.639999,28.01,28.059999,495100,27.885166
2015-09-25,29.040001,29.040001,28.559999,28.73,67000,28.550991
2015-09-24,28.629999,28.790001,28.35,28.74,132100,28.560929
2015-09-23,28.90,28.959999,28.74,28.85,38200,28.670244
2015-09-22,28.82,28.950001,28.74,28.93,90400,28.749746
2015-09-21,29.32,29.48,29.139999,29.280001,47300,29.097565
2015-09-18,29.08,29.49,29.08,29.23,57000,28.968374
2015-09-17,29.700001,30.16,29.65,29.66,72800,29.394525
2015-09-16,29.60,29.790001,29.530001,29.76,176100,29.493631
2015-09-15,29.299999,29.549999,29.27,29.50,60500,29.235958
2015-09-14,29.16,29.190001,29.08,29.139999,46900,28.879179
2015-09-11,28.98,29.25,28.940001,29.25,68100,28.988195
2015-09-10,29.030001,29.290001,28.91,29.110001,68700,28.849449
2015-09-09,29.75,29.75,28.93,28.959999,40700,28.70079
2015-09-08,29.08,29.379999,29.040001,29.379999,44700,29.117031
2015-09-04,28.84,28.84,28.52,28.67,173300,28.413387
2015-09-03,29.09,29.40,29.02,29.15,59800,28.88909
2015-09-02,28.889999,28.940001,28.60,28.940001,104300,28.68097
2015-09-01,28.790001,28.84,28.32,28.459999,196800,28.205265
2015-08-31,29.42,29.50,29.209999,29.299999,46500,29.037747
2015-08-28,29.35,29.549999,29.34,29.52,61000,29.255779
2015-08-27,29.200001,29.459999,28.959999,29.42,313600,29.156674
2015-08-26,28.66,28.82,27.91,28.780001,1471000,28.522403
2015-08-25,29.17,29.17,27.74,27.74,111900,27.49171
2015-08-24,27.75,28.969999,25.50,28.18,238900,27.927773
2015-08-21,30.00,30.08,29.290001,29.290001,451100,29.027838
2015-08-20,30.58,30.66,30.25,30.27,64500,29.999066
2015-08-19,31.030001,31.030001,30.67,30.860001,58900,30.583785
2015-08-18,31.17,31.17,31.040001,31.10,39900,30.821637
2015-08-17,30.809999,31.16,30.77,31.16,108200,30.881099
2015-08-14,30.860001,31.00,30.82,30.99,67500,30.712621
2015-08-13,30.93,31.00,30.809999,30.870001,141500,30.593696
2015-08-12,30.57,30.93,30.40,30.889999,205600,30.613516
2015-08-11,30.91,30.959999,30.719999,30.860001,114900,30.583785
2015-08-10,31.07,31.280001,31.07,31.24,48900,30.960383
2015-08-07,30.969999,30.969999,30.719999,30.82,46200,30.544142
2015-08-06,31.290001,31.290001,30.82,30.950001,49100,30.67298
2015-08-05,31.26,31.34,31.129999,31.17,74600,30.89101
2015-08-04,31.17,31.200001,30.969999,31.08,114300,30.801816
2015-08-03,31.33,31.33,30.959999,31.09,21000,30.811726
2015-07-31,31.42,31.42,31.26,31.280001,44900,31.000026
2015-07-30,31.290001,31.35,31.110001,31.32,69500,31.039667
2015-07-29,31.139999,31.32,31.110001,31.32,32000,31.039667
2015-07-28,30.83,31.10,30.690001,31.08,115300,30.801816
2015-07-27,30.58,30.709999,30.530001,30.57,43400,30.29638
2015-07-24,31.219999,31.219999,30.780001,30.83,52400,30.554053
2015-07-23,31.530001,31.530001,31.129999,31.16,53000,30.881099
2015-07-22,31.42,31.43,31.280001,31.360001,108100,31.07931
2015-07-21,31.610001,31.67,31.42,31.51,37900,31.227967
2015-07-20,31.77,31.77,31.639999,31.700001,99400,31.416267
2015-07-17,31.73,31.73,31.549999,31.639999,79200,31.356803
2015-07-16,31.82,31.82,31.629999,31.73,302100,31.445997
2015-07-15,31.59,31.68,31.49,31.530001,120600,31.247789
2015-07-14,31.639999,31.700001,31.48,31.65,86500,31.366713
2015-07-13,31.59,31.620001,31.49,31.620001,196100,31.336983
2015-07-10,31.219999,31.280001,31.09,31.23,54100,30.950473
2015-07-09,31.129999,31.24,30.860001,30.870001,59100,30.593696
2015-07-08,31.209999,31.209999,30.780001,30.85,66600,30.573875
2015-07-07,31.18,31.379999,30.780001,31.35,350100,31.069399
2015-07-06,31.02,31.219999,30.950001,31.07,50100,30.791905
2015-07-02,31.219999,31.389999,31.110001,31.25,775300,30.970294
2015-07-01,31.290001,31.290001,31.07,31.200001,51600,30.920742
2015-06-30,31.209999,31.209999,30.90,31.030001,129300,30.752264
2015-06-29,31.459999,31.459999,30.90,30.950001,133700,30.67298
2015-06-26,31.719999,31.719999,31.51,31.60,73500,31.317162
2015-06-25,31.85,31.879999,31.57,31.610001,302400,31.327072
2015-06-24,31.76,31.90,31.639999,31.66,68500,31.376624
2015-06-23,32.009998,32.009998,31.860001,31.889999,40000,31.604565
2015-06-22,32.040001,32.040001,31.879999,31.959999,42500,31.673938
2015-06-19,32.040001,32.040001,31.860001,31.870001,49000,31.584745
2015-06-18,31.67,32.07,31.67,31.98,43300,31.69376
2015-06-17,31.700001,31.74,31.48,31.639999,129000,31.356803
2015-06-16,31.309999,31.59,31.309999,31.559999,30600,31.277519
2015-06-15,31.33,31.450001,31.219999,31.370001,120800,31.089221
2015-06-12,31.77,31.77,31.50,31.57,57800,31.28743
2015-06-11,31.809999,31.84,31.719999,31.76,60100,31.475729
2015-06-10,31.42,31.73,31.42,31.700001,38300,31.416267
2015-06-09,31.42,31.42,31.23,31.33,31200,31.049578
2015-06-08,31.48,31.48,31.32,31.33,52900,31.049578
2015-06-05,31.389999,31.57,31.389999,31.48,30700,31.198235
2015-06-04,31.67,31.82,31.530001,31.549999,62800,31.267608
2015-06-03,31.93,31.98,31.780001,31.85,118900,31.564924
2015-06-02,31.639999,31.90,31.58,31.77,57500,31.48564
2015-06-01,31.940001,31.940001,31.65,31.809999,115600,31.525281
2015-05-29,32.00,32.00,31.719999,31.75,25500,31.465819
2015-05-28,31.860001,32.009998,31.860001,31.950001,87300,31.664029
2015-05-27,31.709999,32.029999,31.709999,32.00,28100,31.713581
2015-05-26,32.040001,32.040001,31.639999,31.700001,39400,31.416267
2015-05-22,32.169998,32.169998,31.99,32.049999,127100,31.763133
2015-05-21,32.169998,32.27,32.119999,32.18,33100,31.833498
2015-05-20,32.25,32.25,32.09,32.119999,52000,31.774142
2015-05-19,32.279999,32.279999,32.07,32.150002,24300,31.803822
2015-05-18,32.18,32.189999,32.029999,32.16,74100,31.813713
2015-05-15,32.130001,32.130001,32.02,32.110001,54700,31.764252
2015-05-14,31.83,32.049999,31.83,32.040001,137200,31.695006
2015-05-13,31.75,31.93,31.68,31.690001,235600,31.348774
2015-05-12,31.75,31.84,31.51,31.77,30400,31.427913
2015-05-11,32.00,32.00,31.83,31.83,91400,31.487266
2015-05-08,31.969999,32.02,31.84,32.00,114700,31.655436
2015-05-07,31.370001,31.65,31.370001,31.57,44800,31.230065
2015-05-06,31.719999,31.719999,31.24,31.450001,130600,31.111359
2015-05-05,31.91,31.91,31.51,31.559999,89200,31.220173
2015-05-04,31.91,32.060001,31.90,31.92,29800,31.576297
2015-05-01,31.51,31.879999,31.51,31.83,104200,31.487266
2015-04-30,31.719999,31.73,31.35,31.48,92400,31.141034
2015-04-29,31.73,31.91,31.67,31.74,31300,31.398235
2015-04-28,31.90,31.99,31.700001,31.969999,37300,31.625758
2015-04-27,31.98,32.09,31.83,31.83,31000,31.487266
2015-04-24,31.98,31.98,31.870001,31.959999,30500,31.615865
2015-04-23,31.76,31.959999,31.719999,31.83,35100,31.487266
2015-04-22,31.83,31.889999,31.620001,31.860001,50100,31.516944
