Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,5.70,5.75,5.65,5.70,800,5.70
2016-01-22,5.69,5.75,5.69,5.75,4500,5.75
2016-01-21,5.31,5.47,5.31,5.47,1300,5.47
2016-01-20,5.32,5.32,4.91,5.30,5900,5.30
2016-01-19,5.30,5.30,5.30,5.30,300,5.30
2016-01-15,5.24,5.24,5.24,5.24,100,5.24
2016-01-14,5.50,5.51,4.996,4.996,1500,4.996
2016-01-13,5.515,5.515,5.515,5.515,000,5.515
2016-01-12,5.47,5.548,5.304,5.515,1100,5.515
2016-01-11,6.17,6.17,6.17,6.17,500,6.17
2016-01-08,6.32,6.32,5.84,5.852,1200,5.852
2016-01-07,5.85,5.85,5.85,5.85,000,5.85
2016-01-06,5.79,5.99,5.75,5.85,1200,5.85
2016-01-05,6.10,6.10,6.10,6.10,000,6.10
2016-01-04,6.64,6.64,6.10,6.10,1400,6.10
2015-12-31,6.62,6.62,6.62,6.62,000,6.62
2015-12-30,6.62,6.62,6.62,6.62,900,6.62
2015-12-29,5.79,6.01,5.79,5.96,1200,5.96
2015-12-28,5.34,5.86,5.34,5.80,3200,5.80
2015-12-24,6.328,6.328,6.328,6.328,400,6.328
2015-12-23,6.24,6.24,6.00,6.01,6300,6.01
2015-12-22,5.98,5.98,5.98,5.98,2300,5.98
2015-12-21,6.05,6.05,6.05,6.05,4000,6.05
2015-12-18,6.15,6.16,5.92,6.10,9000,6.10
2015-12-17,6.20,6.26,6.13,6.13,3400,6.13
2015-12-16,6.21,6.21,6.11,6.11,900,6.11
2015-12-15,5.75,6.01,5.75,6.01,5100,6.01
2015-12-14,6.04,6.04,6.04,6.04,000,6.04
2015-12-11,6.04,6.04,6.04,6.04,000,6.04
2015-12-10,6.04,6.04,6.04,6.04,500,6.04
2015-12-09,6.04,6.04,6.04,6.04,000,6.04
2015-12-08,6.12,6.13,5.72,6.04,2000,6.04
2015-12-07,6.16,6.16,6.16,6.16,000,6.16
2015-12-04,6.16,6.20,6.11,6.16,5400,6.16
2015-12-03,6.28,6.32,6.25,6.25,1700,6.25
2015-12-02,6.36,6.36,6.36,6.36,000,6.36
2015-12-01,6.06,6.36,6.06,6.36,11300,6.349
2015-11-30,6.25,6.25,6.25,6.25,000,6.23919
2015-11-27,6.45,6.49,6.25,6.25,5600,6.23919
2015-11-25,6.073,6.43,6.073,6.425,6700,6.413888
2015-11-24,6.60,6.60,6.58,6.58,1600,6.568619
2015-11-23,6.00,6.00,6.00,6.00,000,5.989623
2015-11-20,6.00,6.00,6.00,6.00,000,5.989623
2015-11-19,6.00,6.00,6.00,6.00,200,5.989623
2015-11-18,6.04,6.04,6.04,6.04,000,6.029553
2015-11-17,6.04,6.04,6.04,6.04,400,6.029553
2015-11-16,5.88,6.18,5.85,6.01,2700,5.999606
2015-11-13,6.40,6.40,6.40,6.40,000,6.388931
2015-11-12,6.40,6.40,6.40,6.40,000,6.388931
2015-11-11,6.40,6.40,6.40,6.40,000,6.388931
2015-11-10,6.40,6.40,6.40,6.40,000,6.388931
