Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.58,9.58,9.58,9.58,100,9.58
2016-01-22,9.583,9.63,9.583,9.587,1200,9.587
2016-01-21,9.69,9.69,9.69,9.69,000,9.69
2016-01-20,9.69,9.69,9.69,9.69,000,9.69
2016-01-19,9.69,9.69,9.69,9.69,000,9.69
2016-01-15,9.69,9.69,9.69,9.69,000,9.69
2016-01-14,9.69,9.69,9.69,9.69,000,9.69
2016-01-13,9.69,9.69,9.69,9.69,000,9.69
2016-01-12,9.69,9.69,9.69,9.69,000,9.69
2016-01-11,9.69,9.69,9.69,9.69,000,9.69
2016-01-08,9.66,9.69,9.66,9.69,600,9.69
2016-01-07,9.69,9.69,9.69,9.69,100,9.69
2016-01-06,9.41,9.66,9.39,9.39,1400,9.39
2016-01-05,9.90,9.90,9.90,9.90,000,9.90
2016-01-04,9.90,9.90,9.90,9.90,000,9.90
2015-12-31,10.25,10.25,9.75,9.90,17700,9.90
2015-12-30,9.90,9.90,9.90,9.90,000,9.90
2015-12-29,9.00,9.90,9.00,9.90,700,9.90
2015-12-28,9.55,9.55,9.55,9.55,000,9.55
2015-12-24,9.55,9.55,9.55,9.55,000,9.55
2015-12-23,9.55,9.55,9.55,9.55,400000,9.55
2015-12-22,9.66,9.66,9.55,9.65,101000,9.65
2015-12-21,9.65,9.88,9.65,9.82,11200,9.82
2015-12-18,9.90,9.90,9.90,9.90,000,9.90
