Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.95,9.95,9.95,9.95,000,9.95
2016-01-22,9.95,9.95,9.95,9.95,10800,9.95
2016-01-21,9.95,9.95,9.95,9.95,000,9.95
2016-01-20,9.95,9.95,9.95,9.95,000,9.95
2016-01-19,9.95,9.95,9.95,9.95,000,9.95
2016-01-15,9.95,9.95,9.95,9.95,000,9.95
2016-01-14,9.95,9.95,9.95,9.95,29200,9.95
2016-01-13,9.95,9.95,9.95,9.95,000,9.95
2016-01-12,9.95,9.95,9.95,9.95,000,9.95
2016-01-11,9.95,9.95,9.95,9.95,000,9.95
2016-01-08,9.95,9.95,9.95,9.95,000,9.95
2016-01-07,9.95,9.95,9.95,9.95,000,9.95
2016-01-06,9.95,9.95,9.95,9.95,000,9.95
2016-01-05,9.95,9.95,9.95,9.95,000,9.95
2016-01-04,9.95,9.95,9.95,9.95,200,9.95
