Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.53,9.53,9.53,9.53,300,9.53
2016-01-22,9.59,9.59,9.54,9.54,200,9.54
2016-01-21,9.53,9.53,9.53,9.53,000,9.53
2016-01-20,9.55,9.55,9.53,9.53,720900,9.53
2016-01-19,9.85,9.85,9.53,9.53,161900,9.53
2016-01-15,9.59,9.59,9.59,9.59,000,9.59
2016-01-14,9.59,9.59,9.59,9.59,000,9.59
2016-01-13,9.59,9.59,9.59,9.59,000,9.59
2016-01-12,9.59,9.59,9.59,9.59,000,9.59
2016-01-11,9.59,9.59,9.59,9.59,000,9.59
2016-01-08,9.59,9.59,9.59,9.59,000,9.59
2016-01-07,9.59,9.59,9.59,9.59,000,9.59
2016-01-06,9.59,9.59,9.59,9.59,000,9.59
2016-01-05,9.59,9.59,9.59,9.59,300,9.59
2016-01-04,9.52,9.57,9.52,9.53,475400,9.53
2015-12-31,9.63,9.65,9.50,9.64,5000,9.64
2015-12-30,9.51,9.51,9.51,9.51,000,9.51
2015-12-29,9.51,9.51,9.51,9.51,000,9.51
2015-12-28,9.51,9.51,9.51,9.51,000,9.51
2015-12-24,9.51,9.51,9.51,9.51,000,9.51
2015-12-23,9.52,9.52,9.51,9.51,1000,9.51
2015-12-22,9.55,9.55,9.52,9.53,359800,9.53
2015-12-21,9.52,9.52,9.51,9.51,1000,9.51
2015-12-18,9.51,9.55,9.51,9.55,4700,9.55
2015-12-17,9.51,9.51,9.51,9.51,300,9.51
2015-12-16,9.80,9.80,9.80,9.80,000,9.80
2015-12-15,9.51,9.80,9.50,9.80,10900,9.80
2015-12-14,9.53,9.53,9.53,9.53,000,9.53
2015-12-11,9.53,9.53,9.53,9.53,000,9.53
2015-12-10,9.53,9.53,9.53,9.53,000,9.53
2015-12-09,9.63,9.63,9.53,9.53,246100,9.53
2015-12-08,9.63,9.63,9.60,9.61,1481100,9.61
2015-12-07,9.63,9.63,9.63,9.63,000,9.63
2015-12-04,9.65,9.65,9.61,9.63,1262400,9.63
2015-12-03,9.60,9.64,9.60,9.63,3200,9.63
2015-12-02,9.58,9.60,9.58,9.60,130500,9.60
2015-12-01,9.65,9.65,9.65,9.65,000,9.65
2015-11-30,9.65,9.65,9.65,9.65,10000,9.65
2015-11-27,9.51,9.51,9.51,9.51,000,9.51
2015-11-25,9.519,9.52,9.50,9.51,4100,9.51
2015-11-24,9.55,9.55,9.55,9.55,000,9.55
2015-11-23,9.55,9.55,9.55,9.55,000,9.55
2015-11-20,9.55,9.55,9.55,9.55,000,9.55
2015-11-19,9.55,9.55,9.55,9.55,000,9.55
2015-11-18,9.55,9.55,9.55,9.55,500000,9.55
2015-11-17,9.55,9.55,9.55,9.55,100000,9.55
2015-11-16,9.65,9.65,9.65,9.65,000,9.65
2015-11-13,9.65,9.65,9.65,9.65,000,9.65
2015-11-12,9.65,9.65,9.65,9.65,000,9.65
2015-11-11,9.65,9.65,9.65,9.65,000,9.65
2015-11-10,9.65,9.65,9.65,9.65,000,9.65
2015-11-09,9.65,9.65,9.65,9.65,000,9.65
2015-11-06,9.65,9.65,9.65,9.65,000,9.65
2015-11-05,9.65,9.65,9.65,9.65,000,9.65
2015-11-04,9.65,9.65,9.65,9.65,000,9.65
2015-11-03,9.65,9.65,9.65,9.65,000,9.65
2015-11-02,9.65,9.65,9.65,9.65,000,9.65
2015-10-30,9.65,9.65,9.65,9.65,5000,9.65
2015-10-29,9.70,9.70,9.70,9.70,000,9.70
2015-10-28,9.70,9.70,9.70,9.70,400,9.70
2015-10-27,9.70,9.70,9.70,9.70,000,9.70
2015-10-26,9.70,9.70,9.70,9.70,400,9.70
2015-10-23,9.85,9.85,9.85,9.85,000,9.85
2015-10-22,9.85,9.85,9.85,9.85,000,9.85
2015-10-21,9.85,9.85,9.85,9.85,000,9.85
2015-10-20,9.85,9.85,9.85,9.85,500,9.85
2015-10-19,9.54,9.54,9.54,9.54,000,9.54
2015-10-16,9.54,9.54,9.54,9.54,000,9.54
2015-10-15,9.54,9.54,9.54,9.54,000,9.54
2015-10-14,9.54,9.54,9.54,9.54,300,9.54
2015-10-13,9.52,9.52,9.52,9.52,000,9.52
2015-10-12,9.52,9.52,9.52,9.52,200,9.52
2015-10-09,9.63,9.63,9.63,9.63,000,9.63
2015-10-08,9.63,9.63,9.63,9.63,000,9.63
2015-10-07,9.63,9.63,9.63,9.63,000,9.63
2015-10-06,9.63,9.63,9.63,9.63,000,9.63
2015-10-05,9.63,9.63,9.63,9.63,000,9.63
2015-10-02,9.63,9.63,9.63,9.63,000,9.63
2015-10-01,9.63,9.63,9.63,9.63,000,9.63
2015-09-30,9.65,9.70,9.57,9.63,115200,9.63
2015-09-29,9.52,9.52,9.52,9.52,000,9.52
2015-09-28,9.52,9.52,9.52,9.52,300000,9.52
2015-09-25,9.60,9.60,9.60,9.60,20000,9.60
